 rseg,lseg,Shortname,Landuse_Type,const,lbs
EL0_6610_0000,A51131,NonUrbStrmRest,trp,TN,3.6118965
EL0_6610_0000,A51131,NonUrbStrmRest,trp,TP,0.45148706
EL0_6610_0000,A51131,NonUrbStrmRest,trp,SED,361.18967
EL0_6920_0000,A51131,NonUrbStrmRest,trp,TN,2.4778993
EL0_6920_0000,A51131,NonUrbStrmRest,trp,TP,0.30973741
EL0_6920_0000,A51131,NonUrbStrmRest,trp,SED,247.78995
EL0_7060_0000,A51131,NonUrbStrmRest,trp,TN,2.1058464
EL0_7060_0000,A51131,NonUrbStrmRest,trp,TP,0.2632308
EL0_7060_0000,A51131,NonUrbStrmRest,trp,SED,210.58464
EL0_7220_0000,A51131,NonUrbStrmRest,trp,TN,2.5996423
EL0_7220_0000,A51131,NonUrbStrmRest,trp,TP,0.32495528
EL0_7220_0000,A51131,NonUrbStrmRest,trp,SED,259.96423
