 rseg,lseg,Shortname,Landuse_Type,const,lbs
ZZ0_9999_9999,B42009,UrbStrmRest,imh,TN,0
ZZ0_9999_9999,B42009,UrbStrmRest,imh,TP,0
ZZ0_9999_9999,B42009,UrbStrmRest,imh,SED,0
ZZ0_9999_9999,B42009,UrbStrmRest,iml,TN,0
ZZ0_9999_9999,B42009,UrbStrmRest,iml,TP,0
ZZ0_9999_9999,B42009,UrbStrmRest,iml,SED,0
ZZ0_9999_9999,B42009,UrbStrmRest,puh,TN,0
ZZ0_9999_9999,B42009,UrbStrmRest,puh,TP,0
ZZ0_9999_9999,B42009,UrbStrmRest,puh,SED,0
ZZ0_9999_9999,B42009,UrbStrmRest,pul,TN,0
ZZ0_9999_9999,B42009,UrbStrmRest,pul,TP,0
ZZ0_9999_9999,B42009,UrbStrmRest,pul,SED,0
ZZ0_9999_9999,B42009,DirtGravelDSAOut,for,SED,131.03731
ZZ0_9999_9999,B42009,DirtGravelDSA,for,SED,92.833549
ZZ0_9999_9999,B42009,DirtGravelnoDSA,for,SED,914.74841
ZZ0_9999_9999,A42021,UrbStrmRest,imh,TN,4.2007081E-3
ZZ0_9999_9999,A42021,UrbStrmRest,imh,TP,5.2508852E-4
ZZ0_9999_9999,A42021,UrbStrmRest,imh,SED,0.42007083
ZZ0_9999_9999,A42021,UrbStrmRest,iml,TN,1.8195101E-3
ZZ0_9999_9999,A42021,UrbStrmRest,iml,TP,2.2743877E-4
ZZ0_9999_9999,A42021,UrbStrmRest,iml,SED,0.18195102
ZZ0_9999_9999,A42021,UrbStrmRest,puh,TN,2.7178123E-3
ZZ0_9999_9999,A42021,UrbStrmRest,puh,TP,3.3972654E-4
ZZ0_9999_9999,A42021,UrbStrmRest,puh,SED,0.27178124
ZZ0_9999_9999,A42021,UrbStrmRest,pul,TN,0.00892526
ZZ0_9999_9999,A42021,UrbStrmRest,pul,TP,1.1156575E-3
ZZ0_9999_9999,A42021,UrbStrmRest,pul,SED,0.89252603
ZZ0_9999_9999,A42021,DirtGravelnoDSA,for,SED,6334.4043
ZZ0_9999_9999,A42021,DirtGravelDSA,for,SED,5188
ZZ0_9999_9999,A42021,DirtGravelDSAOut,for,SED,4448.1807
ZZ0_9999_9999,A42023,DirtGravelDSAOut,for,SED,61.243862
ZZ0_9999_9999,A42023,DirtGravelDSA,for,SED,106.07222
ZZ0_9999_9999,A42023,DirtGravelnoDSA,for,SED,1536.3723
ZZ0_9999_9999,A42029,DirtGravelnoDSA,for,SED,514.54004
ZZ0_9999_9999,A42029,DirtGravelDSAOut,for,SED,2956.3716
ZZ0_9999_9999,A42033,UrbStrmRest,imh,TN,1.1420068E-8
ZZ0_9999_9999,A42033,UrbStrmRest,imh,TP,1.4275086E-9
ZZ0_9999_9999,A42033,UrbStrmRest,imh,SED,1.1420069E-6
ZZ0_9999_9999,A42033,UrbStrmRest,iml,TN,8.5084793E-9
ZZ0_9999_9999,A42033,UrbStrmRest,iml,TP,1.0635599E-9
ZZ0_9999_9999,A42033,UrbStrmRest,iml,SED,8.5084793E-7
ZZ0_9999_9999,A42033,UrbStrmRest,puh,TN,9.0063157E-9
ZZ0_9999_9999,A42033,UrbStrmRest,puh,TP,1.1257895E-9
ZZ0_9999_9999,A42033,UrbStrmRest,puh,SED,9.0063156E-7
ZZ0_9999_9999,A42033,UrbStrmRest,pul,TN,4.9481937E-8
ZZ0_9999_9999,A42033,UrbStrmRest,pul,TP,6.1852421E-9
ZZ0_9999_9999,A42033,UrbStrmRest,pul,SED,4.9481937E-6
ZZ0_9999_9999,A42033,DirtGravelDSAOut,for,SED,15962.823
ZZ0_9999_9999,A42033,DirtGravelnoDSA,for,SED,10179.127
ZZ0_9999_9999,A42033,DirtGravelDSA,for,SED,3338.376
ZZ0_9999_9999,A42063,DirtGravelnoDSA,for,SED,80727.469
ZZ0_9999_9999,A42069,DirtGravelnoDSA,for,SED,1926.0793
ZZ0_9999_9999,A42069,DirtGravelDSAOut,for,SED,5942.3838
ZZ0_9999_9999,A42071,DirtGravelDSAOut,for,SED,309.10489
ZZ0_9999_9999,A42071,DirtGravelnoDSA,for,SED,1295.011
ZZ0_9999_9999,A42071,DirtGravelDSA,for,SED,263.58395
ZZ0_9999_9999,A42075,DirtGravelnoDSA,for,SED,705.68219
ZZ0_9999_9999,A42075,DirtGravelDSAOut,for,SED,834.19391
ZZ0_9999_9999,A42079,DirtGravelDSAOut,for,SED,9276.8516
ZZ0_9999_9999,A42079,DirtGravelnoDSA,for,SED,3938.3958
ZZ0_9999_9999,A42079,DirtGravelDSA,for,SED,2728.6074
ZZ0_9999_9999,A42105,DirtGravelDSA,for,SED,29432.277
ZZ0_9999_9999,A42105,DirtGravelnoDSA,for,SED,45395.02
ZZ0_9999_9999,A42105,DirtGravelDSAOut,for,SED,29659.035
ZZ0_9999_9999,A42107,DirtGravelDSAOut,for,SED,14405.963
ZZ0_9999_9999,A42107,DirtGravelnoDSA,for,SED,3775.876
ZZ0_9999_9999,A42107,DirtGravelDSA,for,SED,5125.9492
ZZ0_9999_9999,A42111,DirtGravelnoDSA,for,SED,6633.1572
