 rseg,lseg,Shortname,Landuse_Type,const,lbs
EL0_4592_0000,A24019,UrbStrmRest,iml,SED,0.55575377
EL0_4592_0000,A24019,UrbStrmRest,puh,TN,1.9163922E-3
EL0_4592_0000,A24019,UrbStrmRest,puh,TP,2.3954903E-4
EL0_4592_0000,A24019,UrbStrmRest,puh,SED,0.19163923
EL0_4592_0000,A24019,UrbStrmRest,pul,TN,3.2652374E-2
EL0_4592_0000,A24019,UrbStrmRest,pul,TP,4.0815468E-3
EL0_4592_0000,A24019,UrbStrmRest,pul,SED,3.2652376
EL0_4593_0000,A24019,UrbStrmRest,imh,TN,2.9630374E-2
EL0_4593_0000,A24019,UrbStrmRest,imh,TP,3.7037968E-3
EL0_4593_0000,A24019,UrbStrmRest,imh,SED,2.9630375
EL0_4593_0000,A24019,UrbStrmRest,iml,TN,1.6952701E-2
EL0_4593_0000,A24019,UrbStrmRest,iml,TP,2.1190876E-3
EL0_4593_0000,A24019,UrbStrmRest,iml,SED,1.6952702
EL0_4593_0000,A24019,UrbStrmRest,puh,TN,2.1448852E-2
EL0_4593_0000,A24019,UrbStrmRest,puh,TP,2.6811066E-3
EL0_4593_0000,A24019,UrbStrmRest,puh,SED,2.1448853
EL0_4593_0000,A24019,UrbStrmRest,pul,TN,0.12603964
EL0_4593_0000,A24019,UrbStrmRest,pul,TP,1.5754955E-2
EL0_4593_0000,A24019,UrbStrmRest,pul,SED,12.603965
EL0_4593_0000,A24045,UrbStrmRest,imh,TN,3.2431254E-4
EL0_4593_0000,A24045,UrbStrmRest,imh,TP,4.0539067E-5
EL0_4593_0000,A24045,UrbStrmRest,imh,SED,3.2431256E-2
EL0_4593_0000,A24045,UrbStrmRest,iml,TN,3.5379551E-4
EL0_4593_0000,A24045,UrbStrmRest,iml,TP,4.4224438E-5
EL0_4593_0000,A24045,UrbStrmRest,iml,SED,3.5379551E-2
EL0_4593_0000,A24045,UrbStrmRest,puh,TN,1.0319035E-4
EL0_4593_0000,A24045,UrbStrmRest,puh,TP,1.2898794E-5
EL0_4593_0000,A24045,UrbStrmRest,puh,SED,1.0319036E-2
EL0_4593_0000,A24045,UrbStrmRest,pul,TN,5.0563277E-3
EL0_4593_0000,A24045,UrbStrmRest,pul,TP,6.3204096E-4
EL0_4593_0000,A24045,UrbStrmRest,pul,SED,0.50563276
EL0_4594_0000,A24045,UrbStrmRest,imh,TN,3.8696382E-2
EL0_4594_0000,A24045,UrbStrmRest,imh,TP,4.8370478E-3
EL0_4594_0000,A24045,UrbStrmRest,imh,SED,3.8696384
EL0_4594_0000,A24045,UrbStrmRest,iml,TN,2.0564362E-2
EL0_4594_0000,A24045,UrbStrmRest,iml,TP,2.5705453E-3
EL0_4594_0000,A24045,UrbStrmRest,iml,SED,2.0564363
EL0_4594_0000,A24045,UrbStrmRest,puh,TN,3.8475264E-2
EL0_4594_0000,A24045,UrbStrmRest,puh,TP,4.809408E-3
EL0_4594_0000,A24045,UrbStrmRest,puh,SED,3.8475263
EL0_4594_0000,A24045,UrbStrmRest,pul,TN,0.12825087
EL0_4594_0000,A24045,UrbStrmRest,pul,TP,1.6031358E-2
EL0_4594_0000,A24045,UrbStrmRest,pul,SED,12.825088
EL0_4595_0000,A24045,UrbStrmRest,imh,TN,1.6215626E-2
EL0_4595_0000,A24045,UrbStrmRest,imh,TP,2.0269533E-3
EL0_4595_0000,A24045,UrbStrmRest,imh,SED,1.6215627
EL0_4595_0000,A24045,UrbStrmRest,iml,TN,3.2799792E-2
EL0_4595_0000,A24045,UrbStrmRest,iml,TP,4.0999739E-3
EL0_4595_0000,A24045,UrbStrmRest,iml,SED,3.2799792
EL0_4595_0000,A24045,UrbStrmRest,puh,TN,1.5920797E-2
EL0_4595_0000,A24045,UrbStrmRest,puh,TP,1.9900997E-3
EL0_4595_0000,A24045,UrbStrmRest,puh,SED,1.5920798
EL0_4595_0000,A24045,UrbStrmRest,pul,TN,0.21080317
EL0_4595_0000,A24045,UrbStrmRest,pul,TP,2.6350396E-2
EL0_4595_0000,A24045,UrbStrmRest,pul,SED,21.080317
EL0_4596_0000,A24045,UrbStrmRest,imh,TN,4.7909806E-4
EL0_4596_0000,A24045,UrbStrmRest,imh,TP,5.9887258E-5
EL0_4596_0000,A24045,UrbStrmRest,imh,SED,4.7909807E-2
EL0_4596_0000,A24045,UrbStrmRest,iml,TN,7.9603987E-3
EL0_4596_0000,A24045,UrbStrmRest,iml,TP,9.9504984E-4
EL0_4596_0000,A24045,UrbStrmRest,iml,SED,0.79603988
EL0_4596_0000,A24045,UrbStrmRest,puh,TN,5.08581E-4
EL0_4596_0000,A24045,UrbStrmRest,puh,TP,6.3572625E-5
EL0_4596_0000,A24045,UrbStrmRest,puh,SED,5.0858103E-2
EL0_4596_0000,A24045,UrbStrmRest,pul,TN,5.8597378E-2
EL0_4596_0000,A24045,UrbStrmRest,pul,TP,7.3246723E-3
EL0_4596_0000,A24045,UrbStrmRest,pul,SED,5.8597379
EL2_4630_0000,A24011,UrbStrmRest,imh,TN,2.3586366E-4
EL2_4630_0000,A24011,UrbStrmRest,imh,TP,2.9482957E-5
EL2_4630_0000,A24011,UrbStrmRest,imh,SED,2.3586366E-2
EL2_4630_0000,A24011,UrbStrmRest,iml,TN,4.8646884E-4
EL2_4630_0000,A24011,UrbStrmRest,iml,TP,6.0808605E-5
EL2_4630_0000,A24011,UrbStrmRest,iml,SED,4.8646886E-2
EL2_4630_0000,A24011,UrbStrmRest,puh,TN,2.5060514E-4
EL2_4630_0000,A24011,UrbStrmRest,puh,TP,3.1325642E-5
EL2_4630_0000,A24011,UrbStrmRest,puh,SED,2.5060516E-2
EL2_4630_0000,A24011,UrbStrmRest,pul,TN,3.1251933E-3
EL2_4630_0000,A24011,UrbStrmRest,pul,TP,3.9064916E-4
EL2_4630_0000,A24011,UrbStrmRest,pul,SED,0.31251934
EL2_4630_0000,A24019,UrbStrmRest,imh,TN,1.4299236E-3
EL2_4630_0000,A24019,UrbStrmRest,imh,TP,1.7874045E-4
EL2_4630_0000,A24019,UrbStrmRest,imh,SED,0.14299236
EL2_4630_0000,A24019,UrbStrmRest,iml,TN,4.3118824E-3
EL2_4630_0000,A24019,UrbStrmRest,iml,TP,5.389853E-4
EL2_4630_0000,A24019,UrbStrmRest,iml,SED,0.43118826
EL2_4630_0000,A24019,UrbStrmRest,puh,TN,1.5183722E-3
EL2_4630_0000,A24019,UrbStrmRest,puh,TP,1.8979653E-4
EL2_4630_0000,A24019,UrbStrmRest,puh,SED,0.15183723
EL2_4630_0000,A24019,UrbStrmRest,pul,TN,3.5232134E-2
EL2_4630_0000,A24019,UrbStrmRest,pul,TP,4.4040168E-3
EL2_4630_0000,A24019,UrbStrmRest,pul,SED,3.5232136
EL2_4630_0000,A24045,UrbStrmRest,imh,TN,1.6215627E-4
EL2_4630_0000,A24045,UrbStrmRest,imh,TP,2.0269534E-5
EL2_4630_0000,A24045,UrbStrmRest,imh,SED,1.6215628E-2
EL2_4630_0000,A24045,UrbStrmRest,iml,TN,0
EL2_4630_0000,A24045,UrbStrmRest,iml,TP,0
EL2_4630_0000,A24045,UrbStrmRest,iml,SED,0
EL2_4630_0000,A24045,UrbStrmRest,puh,TN,1.69527E-4
EL2_4630_0000,A24045,UrbStrmRest,puh,TP,2.1190875E-5
EL2_4630_0000,A24045,UrbStrmRest,puh,SED,1.6952701E-2
EL2_4630_0000,A24045,UrbStrmRest,pul,TN,0
EL2_4630_0000,A24045,UrbStrmRest,pul,TP,0
EL2_4630_0000,A24045,UrbStrmRest,pul,SED,0
EL0_4633_0000,A24045,UrbStrmRest,imh,TN,1.6215627E-4
EL0_4633_0000,A24045,UrbStrmRest,imh,TP,2.0269534E-5
EL0_4633_0000,A24045,UrbStrmRest,imh,SED,1.6215628E-2
EL0_4633_0000,A24045,UrbStrmRest,iml,TN,1.3046209E-3
EL0_4633_0000,A24045,UrbStrmRest,iml,TP,1.6307761E-4
EL0_4633_0000,A24045,UrbStrmRest,iml,SED,0.1304621
EL0_4633_0000,A24045,UrbStrmRest,puh,TN,1.69527E-4
EL0_4633_0000,A24045,UrbStrmRest,puh,TP,2.1190875E-5
EL0_4633_0000,A24045,UrbStrmRest,puh,SED,1.6952701E-2
EL0_4633_0000,A24045,UrbStrmRest,pul,TN,6.8253051E-3
EL0_4633_0000,A24045,UrbStrmRest,pul,TP,8.5316313E-4
EL0_4633_0000,A24045,UrbStrmRest,pul,SED,0.68253052
EL0_5040_0000,A24045,UrbStrmRest,imh,TN,2.4618272E-2
EL0_5040_0000,A24045,UrbStrmRest,imh,TP,3.077284E-3
EL0_5040_0000,A24045,UrbStrmRest,imh,SED,2.4618273
EL0_5040_0000,A24045,UrbStrmRest,iml,TN,1.5404846E-2
EL0_5040_0000,A24045,UrbStrmRest,iml,TP,1.9256057E-3
EL0_5040_0000,A24045,UrbStrmRest,iml,SED,1.5404845
EL0_5040_0000,A24045,UrbStrmRest,puh,TN,2.0269534E-2
EL0_5040_0000,A24045,UrbStrmRest,puh,TP,2.5336917E-3
EL0_5040_0000,A24045,UrbStrmRest,puh,SED,2.0269535
EL0_5040_0000,A24045,UrbStrmRest,pul,TN,0.10982402
EL0_5040_0000,A24045,UrbStrmRest,pul,TP,1.3728002E-2
EL0_5040_0000,A24045,UrbStrmRest,pul,SED,10.982402
EL2_5110_5270,A24045,UrbStrmRest,imh,TN,1.6805286E-3
EL2_5110_5270,A24045,UrbStrmRest,imh,TP,2.1006608E-4
EL2_5110_5270,A24045,UrbStrmRest,imh,SED,0.16805287
EL2_5110_5270,A24045,UrbStrmRest,iml,TN,3.6853696E-3
EL2_5110_5270,A24045,UrbStrmRest,iml,TP,4.606712E-4
EL2_5110_5270,A24045,UrbStrmRest,iml,SED,0.36853698
EL2_5110_5270,A24045,UrbStrmRest,puh,TN,1.5994505E-3
EL2_5110_5270,A24045,UrbStrmRest,puh,TP,1.9993131E-4
EL2_5110_5270,A24045,UrbStrmRest,puh,SED,0.15994506
EL2_5110_5270,A24045,UrbStrmRest,pul,TN,2.0638069E-2
EL2_5110_5270,A24045,UrbStrmRest,pul,TP,2.5797586E-3
EL2_5110_5270,A24045,UrbStrmRest,pul,SED,2.063807
EL2_5110_5270,A24047,UrbStrmRest,imh,TN,8.1078135E-5
EL2_5110_5270,A24047,UrbStrmRest,imh,TP,1.0134767E-5
EL2_5110_5270,A24047,UrbStrmRest,imh,SED,8.107814E-3
EL2_5110_5270,A24047,UrbStrmRest,iml,TN,5.1595176E-5
EL2_5110_5270,A24047,UrbStrmRest,iml,TP,6.449397E-6
EL2_5110_5270,A24047,UrbStrmRest,iml,SED,5.1595178E-3
EL2_5110_5270,A24047,UrbStrmRest,puh,TN,8.1078135E-5
EL2_5110_5270,A24047,UrbStrmRest,puh,TP,1.0134767E-5
EL2_5110_5270,A24047,UrbStrmRest,puh,SED,8.107814E-3
EL2_5110_5270,A24047,UrbStrmRest,pul,TN,4.422444E-4
EL2_5110_5270,A24047,UrbStrmRest,pul,TP,5.528055E-5
EL2_5110_5270,A24047,UrbStrmRest,pul,SED,4.4224441E-2
EL1_5150_0001,A24019,UrbStrmRest,imh,TN,5.0858101E-3
EL1_5150_0001,A24019,UrbStrmRest,imh,TP,6.3572626E-4
EL1_5150_0001,A24019,UrbStrmRest,imh,SED,0.50858104
EL1_5150_0001,A24019,UrbStrmRest,iml,TN,2.1891098E-3
EL1_5150_0001,A24019,UrbStrmRest,iml,TP,2.7363873E-4
EL1_5150_0001,A24019,UrbStrmRest,iml,SED,0.21891098
EL1_5150_0001,A24019,UrbStrmRest,puh,TN,3.8327845E-3
EL1_5150_0001,A24019,UrbStrmRest,puh,TP,4.7909806E-4
EL1_5150_0001,A24019,UrbStrmRest,puh,SED,0.38327846
EL1_5150_0001,A24019,UrbStrmRest,pul,TN,2.1375146E-2
EL1_5150_0001,A24019,UrbStrmRest,pul,TP,2.6718932E-3
EL1_5150_0001,A24019,UrbStrmRest,pul,SED,2.1375146
EL0_5151_0000,A24019,UrbStrmRest,imh,TN,5.2037418E-2
EL0_5151_0000,A24019,UrbStrmRest,imh,TP,6.5046772E-3
EL0_5151_0000,A24019,UrbStrmRest,imh,SED,5.203742
EL0_5151_0000,A24019,UrbStrmRest,iml,TN,2.7640274E-2
EL0_5151_0000,A24019,UrbStrmRest,iml,TP,3.4550342E-3
EL0_5151_0000,A24019,UrbStrmRest,iml,SED,2.7640274
EL0_5151_0000,A24019,UrbStrmRest,puh,TN,4.9457662E-2
EL0_5151_0000,A24019,UrbStrmRest,puh,TP,6.1822077E-3
EL0_5151_0000,A24019,UrbStrmRest,puh,SED,4.9457664
EL0_5151_0000,A24019,UrbStrmRest,pul,TN,0.1805831
EL0_5151_0000,A24019,UrbStrmRest,pul,TP,2.2572888E-2
