CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.17174955E+03,   0.13808098E+03,   0.21113519E+03,   0.14813246E+02,   0.18660556E+02
1986,   0.74812008E+02,   0.63237419E+02,   0.87883463E+02,   0.52496263E+01,   0.62921531E+01
1987,   0.19753372E+03,   0.16764441E+03,   0.23119254E+03,   0.11976313E+02,   0.16223295E+02
1988,   0.73950427E+02,   0.65330333E+02,   0.83384210E+02,   0.34517106E+01,   0.46075464E+01
1989,   0.18394778E+03,   0.16432845E+03,   0.20524804E+03,   0.69650685E+01,   0.10442368E+02
1990,   0.14388825E+03,   0.12905360E+03,   0.15994797E+03,   0.45077382E+01,   0.78838167E+01
1991,   0.10369452E+03,   0.91442930E+02,   0.11711985E+03,   0.28127084E+01,   0.65531104E+01
1992,   0.99756878E+02,   0.89325324E+02,   0.11106321E+03,   0.24406782E+01,   0.55472640E+01
1993,   0.31976209E+03,   0.28584683E+03,   0.35656556E+03,   0.99334450E+01,   0.18046808E+02
1994,   0.23758681E+03,   0.20963804E+03,   0.26820035E+03,   0.73553939E+01,   0.14945862E+02
1995,   0.14239644E+03,   0.12966391E+03,   0.15603095E+03,   0.38693958E+01,   0.67279344E+01
1996,   0.31259851E+03,   0.27947018E+03,   0.34854555E+03,   0.10372821E+02,   0.17627427E+02
1997,   0.13426594E+03,   0.12139209E+03,   0.14812280E+03,   0.35782925E+01,   0.68209924E+01
1998,   0.34163093E+03,   0.30095151E+03,   0.38624095E+03,   0.12351671E+02,   0.21767220E+02
1999,   0.10794978E+03,   0.93482240E+02,   0.12401020E+03,   0.31270868E+01,   0.77922095E+01
2000,   0.10951949E+03,   0.97688452E+02,   0.12237835E+03,   0.30147347E+01,   0.63007339E+01
2001,   0.95019421E+02,   0.81373949E+02,   0.11028764E+03,   0.31424589E+01,   0.73808385E+01
2002,   0.71599748E+02,   0.62199768E+02,   0.82011244E+02,   0.30580504E+01,   0.50567208E+01
2003,   0.54435067E+03,   0.47030911E+03,   0.62667942E+03,   0.30495582E+02,   0.39913980E+02
2004,   0.23762885E+03,   0.20155291E+03,   0.27827164E+03,   0.14919607E+02,   0.19585742E+02
