TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.038279,0.100000,0.,9.317019,0.038279,na,na,0.038279,0.011655,0.,9.317019,0.038279,na,na,0.000100,0.100000,0.100E-04,0.504239,0.200000,na,na,0.000100,0.100000,0.100E-04,0.084038,0.000100,21706.17,11850.53,0.001,1.07,46.06982,759.4601,0.001,1.07,0.100000,47.95947,0.001,1.07,0.100000,47.95947,0.001,1.07,na,na,na,na,na,na
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.028832,0.100000,0.,7.712351,0.028832,na,na,0.028832,0.018483,0.,7.712351,0.028832,na,na,0.000100,0.100000,0.100E-04,0.212680,0.200000,na,na,0.000100,0.100000,0.100E-04,0.056200,0.000100,32310.18,15783.52,0.001,1.07,30.95001,570.2151,0.001,1.07,0.100000,41.62417,0.001,1.07,0.100000,41.62417,0.001,1.07,na,na,na,na,na,na
A24017,0.4,11.38160131,93.82588115,60,72.46194161,79.66073934,74.2061067,75.88794563,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.340891,0.011389,0.,10.00000,0.340891,na,na,0.340891,0.000683,0.,10.00000,0.340891,na,na,0.000100,0.100000,0.100E-04,0.010000,0.200000,na,na,0.000100,0.100000,0.100E-04,0.010000,0.000100,28260.24,10076.77,0.001,1.07,35.38539,893.1441,0.001,1.07,0.100000,25.32928,0.001,1.07,0.100000,25.32928,0.001,1.07,na,na,na,na,na,na
A24019,0.4,11.70814521,90.67459023,60,67.97859963,74.00500344,77.94094908,79.73221888,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.318036,0.012628,0.,10.00000,0.318036,na,na,0.318036,0.000757,0.,10.00000,0.318036,na,na,0.000100,0.100000,0.100E-04,0.010000,0.200000,na,na,0.000100,0.100000,0.100E-04,0.010000,0.000100,29338.91,10617.57,0.001,1.07,34.08443,847.6517,0.001,1.07,0.100000,26.47317,0.001,1.07,0.100000,26.47317,0.001,1.07,na,na,na,na,na,na
A24021,0.4,8.89553794,86.16254679,60,74.64399958,82.41340547,54.50520348,55.60980594,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.038648,0.100000,0.,9.534100,0.038648,na,na,0.038648,0.011949,0.,9.534100,0.038648,na,na,0.000100,0.100000,0.100E-04,0.481785,0.200000,na,na,0.000100,0.100000,0.100E-04,0.080297,0.000100,25699.88,12651.02,0.001,1.07,38.91071,711.4052,0.001,1.07,0.100000,49.01339,0.001,1.07,0.100000,49.01339,0.001,1.07,na,na,na,na,na,na
A24023,0.4,8.592249922,84.09700285,60,75.90991824,84.01036186,51.66532222,52.68671617,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.242170,0.018606,0.,10.00000,0.242170,na,na,0.242170,0.001115,0.,10.00000,0.242170,na,na,0.000100,0.100000,0.100E-04,0.082362,0.200000,na,na,0.000100,0.100000,0.100E-04,0.046339,0.000100,18347.26,12447.85,0.001,1.07,54.50406,723.0164,0.001,1.07,0.100000,43.54152,0.001,1.07,0.100000,43.54152,0.001,1.07,na,na,na,na,na,na
A24025,0.4,9.829871706,76.05981816,60,74.10626944,81.7350589,70.96881411,72.55580036,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.027128,0.100000,0.,7.068695,0.027128,na,na,0.027128,0.019646,0.,7.068695,0.027128,na,na,0.000100,0.100000,0.100E-04,0.131978,0.200000,na,na,0.000100,0.100000,0.100E-04,0.099288,0.000100,31508.38,15934.14,0.001,1.07,31.73759,564.8253,0.001,1.07,0.100000,50.97221,0.001,1.07,0.100000,50.97221,0.001,1.07,na,na,na,na,na,na
A24027,0.4,9.197760165,69.92606107,60,72.0840588,79.18404018,69.37935528,70.91977039,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.030897,0.100000,0.,8.736860,0.030897,na,na,0.030897,0.015759,0.,8.736860,0.030897,na,na,0.000100,0.100000,0.100E-04,0.245574,0.200000,na,na,0.000100,0.100000,0.100E-04,0.057753,0.000100,27001.21,14186.74,0.001,1.07,37.03537,634.3959,0.001,1.07,0.100000,45.26785,0.001,1.07,0.100000,45.26785,0.001,1.07,na,na,na,na,na,na
A24029,0.4,11.48586698,84.6611575,60,76.52072595,84.78089578,86.57554961,88.61981322,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.054862,0.100000,0.,9.578283,0.054862,na,na,0.054862,0.007202,0.,9.578283,0.054862,na,na,0.000100,0.100000,0.100E-04,0.010000,0.200000,na,na,0.000100,0.100000,0.100E-04,0.010000,0.000100,33659.13,14628.34,0.001,1.07,29.70964,615.2438,0.001,1.07,0.100000,33.55671,0.001,1.07,0.100000,33.55671,0.001,1.07,na,na,na,na,na,na
A24031,0.4,8.755937943,66.26503337,60,74.40415743,82.1108446,65.6992694,67.13185799,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.033239,0.100000,0.,7.634227,0.033239,na,na,0.033239,0.014325,0.,7.634227,0.033239,na,na,0.000100,0.100000,0.100E-04,0.486026,0.200000,na,na,0.000100,0.100000,0.100E-04,0.081005,0.000100,27135.07,13068.82,0.001,1.07,36.85270,688.6624,0.001,1.07,0.100000,49.93672,0.001,1.07,0.100000,49.93672,0.001,1.07,na,na,na,na,na,na
