TABLE->,ICE-FLAG,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT2,SNOW-INIT2,SNOW-INIT2
VARS->,ICFG,LAT,ELEV,SHADE,SNOWCF,COVIND,RDCSN,TSNOW,SNOEVP,CCFACT,MWATER,MGMELT,PACK-SNOW,PACK-ICE,PACK-WATR,RDENPF,DULL,PAKTMP,COVINX,XLNMLT,SKYCLR
A10001,1,39.09577448,38.55,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A10003,1,39.57783556,139.04,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A10005,1,38.68298606,24.67,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A11001,1,38.90463114,181.00,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24001,1,39.63393082,812.98,0.2,1.3,1.65,0.12,32,0.13,0.5,0.03,0.03,0.558,0,0,0.15,100,30,1.65,0,0.9
A24003,1,38.99395932,80.27,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24005,1,39.44290335,371.02,0.2,1.3,1.69,0.12,32,0.13,0.5,0.03,0.03,0.48,0,0,0.15,100,30,1.69,0,0.9
A24009,1,38.53458119,92.18,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24011,1,38.8714198,42.42,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24013,1,39.56297719,703.31,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24015,1,39.5623102,202.34,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24017,1,38.47365178,154.53,0.2,1.3,1.24,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.24,0,0.9
A24019,1,38.42237417,17.17,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24021,1,39.45505262,456.10,0.2,1.3,1.49,0.12,32,0.13,0.5,0.03,0.03,0.084,0,0,0.15,100,30,1.49,0,0.9
A24023,1,39.52840549,2472.20,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24025,1,39.53633713,317.63,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24027,1,39.25090323,427.04,0.2,1.3,1.6,0.12,32,0.13,0.5,0.03,0.03,0.084,0,0,0.15,100,30,1.6,0,0.9
A24029,1,39.23513022,40.94,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24031,1,39.13657915,396.89,0.2,1.3,1.68,0.12,32,0.13,0.5,0.03,0.03,0.186,0,0,0.15,100,30,1.68,0,0.9
A24033,1,38.82964837,166.98,0.2,1.3,1.15,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.15,0,0.9
A24035,1,39.03758187,24.01,0.2,1.3,1.08,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.08,0,0.9
A24037,1,38.21570335,80.80,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24039,1,38.08017153,9.32,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24041,1,38.74910347,25.68,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24043,1,39.60369237,584.63,0.2,1.3,1.75,0.12,32,0.13,0.5,0.03,0.03,0.822,0,0,0.15,100,30,1.75,0,0.9
A24045,1,38.36955921,35.47,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24047,1,38.21640935,18.99,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24510,1,39.3009778,265.33,0.2,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A36003,1,42.25714282,1606.59,0.2,1.3,2.61,0.12,32,0.13,0.5,0.03,0.03,4.224,0,0,0.15,100,30,2.61,0,0.9
A36007,1,42.1599927,1029.91,0.2,1.3,2.27,0.12,32,0.13,0.5,0.03,0.03,2.742,0,0,0.15,100,30,2.27,0,0.9
A36015,1,42.14119967,956.65,0.2,1.3,2.26,0.12,32,0.13,0.5,0.03,0.03,2.628,0,0,0.15,100,30,2.26,0,0.9
A36017,1,42.49305234,1124.19,0.2,1.3,2.32,0.12,32,0.13,0.5,0.03,0.03,2.946,0,0,0.15,100,30,2.32,0,0.9
A36023,1,42.59485998,1208.34,0.2,1.3,2.46,0.12,32,0.13,0.5,0.03,0.03,4.128,0,0,0.15,100,30,2.46,0,0.9
A36025,1,42.19805435,1349.28,0.2,1.3,3.63,0.12,32,0.13,0.5,0.03,0.03,5.166,0,0,0.15,100,30,3.63,0,0.9
A36043,1,43.41749787,749.47,0.2,1.3,2.99,0.12,32,0.13,0.5,0.03,0.03,4.89,0,0,0.15,100,30,2.99,0,0.9
A36051,1,42.72783023,847.32,0.2,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.452,0,0,0.15,100,30,2.7,0,0.9
A36053,1,42.91274293,728.85,0.2,1.3,2.73,0.12,32,0.13,0.5,0.03,0.03,4.638,0,0,0.15,100,30,2.73,0,0.9
A36065,1,43.2414881,632.39,0.2,1.3,2.99,0.12,32,0.13,0.5,0.03,0.03,4.866,0,0,0.15,100,30,2.99,0,0.9
A36067,1,43.00564109,550.24,0.2,1.3,3.1,0.12,32,0.13,0.5,0.03,0.03,4.92,0,0,0.15,100,30,3.1,0,0.9
A36069,1,42.85281042,714.87,0.2,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.47,0,0,0.15,100,30,2.7,0,0.9
A36077,1,42.63366354,1270.36,0.2,1.3,3.47,0.12,32,0.13,0.5,0.03,0.03,5.148,0,0,0.15,100,30,3.47,0,0.9
A36095,1,42.58808667,1041.88,0.2,1.3,3.47,0.12,32,0.13,0.5,0.03,0.03,5.112,0,0,0.15,100,30,3.47,0,0.9
A36097,1,42.39498061,1015.96,0.2,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.32,0,0,0.15,100,30,2.7,0,0.9
A36101,1,42.26753494,1252.29,0.2,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.302,0,0,0.15,100,30,2.7,0,0.9
A36107,1,42.1701684,959.70,0.2,1.3,2.05,0.12,32,0.13,0.5,0.03,0.03,2.382,0,0,0.15,100,30,2.05,0,0.9
A36109,1,42.45191831,947.34,0.2,1.3,2.31,0.12,32,0.13,0.5,0.03,0.03,2.91,0,0,0.15,100,30,2.31,0,0.9
A36123,1,42.6347822,885.62,0.2,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.434,0,0,0.15,100,30,2.7,0,0.9
A37001,1,36.0438799,726.90376,0.2,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37005,1,36.45358986,3231.59048,0.2,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37009,1,36.44363847,3392.0448,0.2,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37033,1,36.39331268,577.55552,0.2,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37067,1,36.13040098,854.27272,0.2,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37077,1,36.30378745,439.23136,0.2,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37081,1,36.07937454,877.21304,0.2,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37131,1,36.41780686,150.068528,0.2,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37135,1,36.06125158,690.13168,0.2,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37145,1,36.39005908,537.3296,0.2,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
