TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A37005,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37009,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37033,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37067,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37077,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37081,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37131,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37135,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37145,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37157,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37169,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37171,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37181,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37185,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37189,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A42001,50,1.000000,28.05570,1.5,20.00000,0.891085,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42009,50,1.000000,2.005983,1.5,20.00000,12.46272,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42011,50,1.000000,0.806118,1.5,20.00000,31.01282,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42013,50,1.000000,1.461883,1.5,20.00000,17.10122,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42015,50,1.000000,13.73259,1.5,20.00000,1.820489,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42021,50,1.000000,17.41063,1.5,20.00000,1.435905,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42023,50,1.000000,0.347039,1.5,20.00000,72.03815,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42025,50,1.000000,5.348538,1.5,20.00000,4.674171,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42027,50,1.000000,30.98001,1.5,20.00000,0.806973,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42029,50,1.000000,0.888894,1.5,20.00000,28.12482,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42033,50,1.000000,25.57678,1.5,20.00000,0.977449,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42035,50,1.000000,2.300137,1.5,20.00000,10.86891,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42037,50,1.000000,3.399372,1.5,20.00000,7.354295,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42041,50,1.000000,18.79334,1.5,20.00000,1.330258,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42043,50,1.000000,26.25448,1.5,20.00000,0.952219,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42047,50,1.000000,19.91308,1.5,20.00000,1.255456,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42055,50,1.000000,33.62025,1.5,20.00000,0.743600,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42057,50,1.000000,34.21524,1.5,20.00000,0.730668,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
