TABLE->,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1
VARS->,CSNO,RTOP,UZFG,VCS,VUZ,VNN,VIFW,VIRC,VLE,FOREST,LZSN,INFILT,LSUR,SLSUR,KVARY,AGWR,PETMAX,PETMIN,INFEXP,INFILD,DEEPFR,BASETPR,AGWETP,CEPSC,UZSN,NSUR,INTFW,IRC,LZETP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,CEPS,SURS,UZS,IFWS,LZS,AGWS,GWVS
A24013,1,1,0,1,1,1,0,0,1,0,12.00000,0.035126,284,0.070,0.,0.944966,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.272629,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.225701294,0.225701294,0.223793224,0.222005558,0.19898948,0.262226985,0.316715207,0.302027073,0.277543036,0.212334917,0.213704389,0.215982945,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24015,1,1,0,1,1,1,0,0,1,0,12.00000,0.042400,359,0.036,0.,0.958721,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.000000,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.197306567,0.197306567,0.194885852,0.192584746,0.18845569,0.259128436,0.316177706,0.302931025,0.277410879,0.199354732,0.194449125,0.193366899,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24017,1,1,0,1,1,1,0,0,1,0,8.000000,0.027914,364,0.034,0.,0.920000,40,35,2,2,0,0,0.049478,NA,0.7,NA,3.496762,0.312914,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.672000,0.672000,0.672000,0.672000,0.672000,0.784000,1.064000,1.120000,1.120000,0.896000,0.784000,0.728000,0.173898067,0.176485733,0.1752683,0.178371939,0.188621555,0.206177522,0.209414759,0.205872398,0.197568337,0.17473361,0.171642746,0.172375911,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24019,1,1,0,1,1,1,0,0,1,0,8.000000,0.038983,555,0.006,0.,0.941183,40,35,2,2,0,0,0.046308,NA,0.7,NA,2.000000,0.468756,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.672000,0.672000,0.672000,0.672000,0.672000,0.784000,1.064000,1.120000,1.120000,0.896000,0.784000,0.728000,0.222563667,0.235329466,0.234148417,0.236608886,0.208006173,0.21544807,0.216582342,0.212392022,0.208518097,0.20549174,0.206484751,0.215054373,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24021,1,1,0,1,1,1,0,0,1,0,12.00000,0.034065,305,0.058,0.,0.950195,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.000000,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.235737829,0.235737829,0.233883444,0.232150917,0.203417955,0.266017672,0.320533985,0.305267969,0.280764875,0.218084716,0.220997914,0.224200607,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24023,1,1,0,1,1,1,0,0,1,0,8.000000,0.050168,247,0.098,0.,0.943111,40,35,2,2,0,0,0.050000,NA,0.7,NA,2.417807,0.478174,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.672000,0.672000,0.672000,0.672000,0.672000,0.784000,1.064000,1.120000,1.120000,0.896000,0.784000,0.728000,0.242621717,0.259725703,0.258719218,0.26556245,0.278461926,0.339655007,0.335648684,0.316304917,0.288077687,0.215230455,0.220634818,0.23256055,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24025,1,1,0,1,1,1,0,0,1,0,12.00000,0.072053,294,0.064,0.,0.960349,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.347544,0.300948,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.204423713,0.204423713,0.202068113,0.199857499,0.192227183,0.270942822,0.338238749,0.322059736,0.291764377,0.202597783,0.199476011,0.199130959,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24027,1,1,0,1,1,1,0,0,1,0,12.00000,0.042183,289,0.067,0.,0.959213,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.037923,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.203219584,0.203219584,0.201859934,0.200578685,0.184337898,0.226754628,0.262476213,0.252801907,0.236796944,0.194142178,0.194866108,0.196423503,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24029,1,1,0,1,1,1,0,0,1,0,12.00000,0.061174,464,0.014,0.,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.000000,0.336429,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.211126845,0.217627182,0.214485837,0.224467198,0.275026996,0.343940685,0.35087697,0.335830469,0.303716877,0.212822439,0.205603588,0.207303118,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24031,1,1,0,1,1,1,0,0,1,0,12.00000,0.038906,311,0.055,0.,0.939492,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.008452,0.424086,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.212930471,0.212930471,0.21143417,0.210001232,0.189088424,0.227239394,0.256661886,0.248202873,0.235190231,0.201858219,0.202674791,0.204717068,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
