YEAR,MONTH,DAY,LOAD (KG/DAY),LOWER 95% CI,UPPER 95% CI,SE,SEP,Q
1985,   1,   1,   0.26680473E+05,   0.16487711E+05,   0.40914778E+05,   0.76627880E+03,   0.62701056E+04,   0.44400000E+04
1985,   1,   2,   0.22552992E+05,   0.13937417E+05,   0.34584537E+05,   0.64545659E+03,   0.52998396E+04,   0.38500000E+04
1985,   1,   3,   0.21619937E+05,   0.13360932E+05,   0.33153462E+05,   0.61793407E+03,   0.50804766E+04,   0.37200000E+04
1985,   1,   4,   0.20896841E+05,   0.12914169E+05,   0.32044415E+05,   0.59660866E+03,   0.49104760E+04,   0.36200000E+04
1985,   1,   5,   0.19837423E+05,   0.12259547E+05,   0.30419659E+05,   0.56576615E+03,   0.46614548E+04,   0.34700000E+04
1985,   1,   6,   0.19190805E+05,   0.11860005E+05,   0.29427970E+05,   0.54689251E+03,   0.45094582E+04,   0.33800000E+04
1985,   1,   7,   0.18278166E+05,   0.11296039E+05,   0.28028395E+05,   0.52057161E+03,   0.42949682E+04,   0.32500000E+04
1985,   1,   8,   0.17438692E+05,   0.10777264E+05,   0.26741063E+05,   0.49649406E+03,   0.40976896E+04,   0.31300000E+04
1985,   1,   9,   0.16405390E+05,   0.10138664E+05,   0.25156585E+05,   0.46714363E+03,   0.38548959E+04,   0.29800000E+04
1985,   1,  10,   0.15182941E+05,   0.93831111E+04,   0.23282177E+05,   0.43277638E+03,   0.35677017E+04,   0.28000000E+04
1985,   1,  11,   0.13191976E+05,   0.81524266E+04,   0.20229654E+05,   0.37767272E+03,   0.31000629E+04,   0.25000000E+04
1985,   1,  12,   0.12519867E+05,   0.77369478E+04,   0.19199236E+05,   0.35923006E+03,   0.29422176E+04,   0.24000000E+04
1985,   1,  13,   0.11853715E+05,   0.73251258E+04,   0.18177999E+05,   0.34110651E+03,   0.27857903E+04,   0.23000000E+04
1985,   1,  14,   0.11193821E+05,   0.69171465E+04,   0.17166407E+05,   0.32331346E+03,   0.26308526E+04,   0.22000000E+04
1985,   1,  15,   0.10540513E+05,   0.65132119E+04,   0.16164964E+05,   0.30586263E+03,   0.24774822E+04,   0.21000000E+04
1985,   1,  16,   0.98941491E+04,   0.61135423E+04,   0.15174221E+05,   0.28876586E+03,   0.23257638E+04,   0.20000000E+04
1985,   1,  17,   0.92551228E+04,   0.57183803E+04,   0.14194784E+05,   0.27203492E+03,   0.21757905E+04,   0.19000000E+04
1985,   1,  18,   0.86238683E+04,   0.53279932E+04,   0.13227318E+05,   0.25568108E+03,   0.20276650E+04,   0.18000000E+04
1985,   1,  19,   0.74018638E+04,   0.45721725E+04,   0.11354653E+05,   0.22453103E+03,   0.17409921E+04,   0.16000000E+04
1985,   1,  20,   0.73866619E+04,   0.45627697E+04,   0.11331357E+05,   0.22414437E+03,   0.17374261E+04,   0.16000000E+04
1985,   1,  21,   0.67818573E+04,   0.41886412E+04,   0.10404623E+05,   0.20897627E+03,   0.15955832E+04,   0.15000000E+04
1985,   1,  22,   0.67678008E+04,   0.41799463E+04,   0.10383084E+05,   0.20862136E+03,   0.15922863E+04,   0.15000000E+04
1985,   1,  23,   0.73408332E+04,   0.45344287E+04,   0.11261118E+05,   0.22294717E+03,   0.17266717E+04,   0.16000000E+04
1985,   1,  24,   0.79183254E+04,   0.48916462E+04,   0.12146033E+05,   0.23748487E+03,   0.18621212E+04,   0.17000000E+04
1985,   1,  25,   0.84996064E+04,   0.52511863E+04,   0.13036794E+05,   0.25221335E+03,   0.19984755E+04,   0.18000000E+04
1985,   1,  26,   0.72947652E+04,   0.45059476E+04,   0.11190497E+05,   0.22169614E+03,   0.17158549E+04,   0.16000000E+04
1985,   1,  27,   0.78684741E+04,   0.48608358E+04,   0.12069593E+05,   0.23607506E+03,   0.18504087E+04,   0.17000000E+04
1985,   1,  28,   0.72639803E+04,   0.44869197E+04,   0.11143296E+05,   0.22083357E+03,   0.17086232E+04,   0.16000000E+04
1985,   1,  29,   0.66688370E+04,   0.41187552E+04,   0.10231390E+05,   0.20597460E+03,   0.15690557E+04,   0.15000000E+04
1985,   1,  30,   0.66546676E+04,   0.41099976E+04,   0.10209663E+05,   0.20557447E+03,   0.15657268E+04,   0.15000000E+04
1985,   1,  31,   0.55093725E+04,   0.34013939E+04,   0.84550000E+04,   0.17740519E+03,   0.12972254E+04,   0.13000000E+04
1985,   2,   1,   0.54976261E+04,   0.33941331E+04,   0.84369907E+04,   0.17707660E+03,   0.12944664E+04,   0.13000000E+04
1985,   2,   2,   0.60448878E+04,   0.37327602E+04,   0.92753673E+04,   0.19039543E+03,   0.14227412E+04,   0.14000000E+04
1985,   2,   3,   0.54741673E+04,   0.33796350E+04,   0.84010187E+04,   0.17640520E+03,   0.12889543E+04,   0.13000000E+04
1985,   2,   4,   0.54624613E+04,   0.33724019E+04,   0.83830660E+04,   0.17606258E+03,   0.12862028E+04,   0.13000000E+04
1985,   2,   5,   0.49045459E+04,   0.30271662E+04,   0.75284009E+04,   0.16246716E+03,   0.11554435E+04,   0.12000000E+04
1985,   2,   6,   0.48940514E+04,   0.30206827E+04,   0.75123041E+04,   0.16215317E+03,   0.11529759E+04,   0.12000000E+04
1985,   2,   7,   0.54274760E+04,   0.33507897E+04,   0.83294008E+04,   0.17500837E+03,   0.12779751E+04,   0.13000000E+04
1985,   2,   8,   0.48731364E+04,   0.30077640E+04,   0.74802187E+04,   0.16151293E+03,   0.11480560E+04,   0.12000000E+04
1985,   2,   9,   0.43313404E+04,   0.26724698E+04,   0.66503125E+04,   0.14834936E+03,   0.10211003E+04,   0.11000000E+04
1985,   2,  10,   0.48523388E+04,   0.29949213E+04,   0.74483066E+04,   0.16085704E+03,   0.11431610E+04,   0.12000000E+04
1985,   2,  11,   0.53812559E+04,   0.33222496E+04,   0.82584776E+04,   0.17354545E+03,   0.12670957E+04,   0.13000000E+04
1985,   2,  12,   0.11130748E+05,   0.68788865E+04,   0.17068281E+05,   0.31698667E+03,   0.26154790E+04,   0.23000000E+04
1985,   2,  13,   0.47251872E+05,   0.29212747E+05,   0.72436693E+05,   0.12758260E+04,   0.11094895E+05,   0.80000000E+04
1985,   2,  14,   0.12508295E+06,   0.77287181E+05,   0.19183599E+06,   0.36562342E+04,   0.29403267E+05,   0.20800000E+05
1985,   2,  15,   0.90578061E+05,   0.55991769E+05,   0.13886851E+06,   0.24902238E+04,   0.21273197E+05,   0.15000000E+05
1985,   2,  16,   0.62093264E+05,   0.38389527E+05,   0.95185838E+05,   0.16677297E+04,   0.14578691E+05,   0.10400000E+05
1985,   2,  17,   0.41140322E+05,   0.25435067E+05,   0.63066388E+05,   0.11061712E+04,   0.96593505E+04,   0.71000000E+04
1985,   2,  18,   0.36037851E+05,   0.22280270E+05,   0.55244879E+05,   0.97022914E+03,   0.84614830E+04,   0.63100000E+04
1985,   2,  19,   0.31905890E+05,   0.19725516E+05,   0.48911075E+05,   0.86022334E+03,   0.74914639E+04,   0.56700000E+04
1985,   2,  20,   0.29438148E+05,   0.18199780E+05,   0.45128228E+05,   0.79420544E+03,   0.69121003E+04,   0.52900000E+04
