YEAR,MONTH,DAY,LOAD (KG/DAY),LOWER 95% CI,UPPER 95% CI,SE,SEP,Q
1985,   2,  15,   0.24189443E+04,   0.14882059E+04,   0.37224800E+04,   0.10759365E+03,   0.57357399E+03,   0.14500000E+04
1985,   2,  16,   0.26728055E+04,   0.16443272E+04,   0.41132651E+04,   0.11913895E+03,   0.63381657E+03,   0.15900000E+04
1985,   2,  17,   0.30197207E+04,   0.18576181E+04,   0.46474067E+04,   0.13514989E+03,   0.71618551E+03,   0.17800000E+04
1985,   2,  18,   0.32057060E+04,   0.19719511E+04,   0.49337951E+04,   0.14379283E+03,   0.76035579E+03,   0.18800000E+04
1985,   2,  19,   0.26286691E+04,   0.16172400E+04,   0.40452124E+04,   0.11690078E+03,   0.62329941E+03,   0.15600000E+04
1985,   2,  20,   0.15274697E+04,   0.93980686E+03,   0.23504791E+04,   0.67683849E+02,   0.36214158E+03,   0.93800000E+03
1985,   2,  21,   0.11152677E+04,   0.68610730E+03,   0.17163456E+04,   0.49764120E+02,   0.26447907E+03,   0.69800000E+03
1985,   2,  22,   0.98574019E+03,   0.60638205E+03,   0.15170885E+04,   0.44150503E+02,   0.23379368E+03,   0.62100000E+03
1985,   2,  23,   0.91604594E+03,   0.56348564E+03,   0.14098733E+04,   0.41125775E+02,   0.21728220E+03,   0.57900000E+03
1985,   2,  24,   0.87519886E+03,   0.53834580E+03,   0.13470330E+04,   0.39347588E+02,   0.20760398E+03,   0.55400000E+03
1985,   2,  25,   0.84619419E+03,   0.52049544E+03,   0.13024096E+04,   0.38081136E+02,   0.20073097E+03,   0.53600000E+03
1985,   2,  26,   0.86954202E+03,   0.53487119E+03,   0.13383166E+04,   0.39072961E+02,   0.20625829E+03,   0.54900000E+03
1985,   2,  27,   0.95598368E+03,   0.58808640E+03,   0.14712741E+04,   0.42780189E+02,   0.22672907E+03,   0.59900000E+03
1985,   2,  28,   0.10123744E+04,   0.62280401E+03,   0.15580050E+04,   0.45188592E+02,   0.24008147E+03,   0.63100000E+03
1985,   3,   1,   0.10072859E+04,   0.61967640E+03,   0.15501686E+04,   0.44950073E+02,   0.23887262E+03,   0.62700000E+03
1985,   3,   2,   0.93705514E+03,   0.57644755E+03,   0.14421323E+04,   0.41911420E+02,   0.22223572E+03,   0.58500000E+03
1985,   3,   3,   0.85674112E+03,   0.52701112E+03,   0.13185871E+04,   0.38440681E+02,   0.20321107E+03,   0.53700000E+03
1985,   3,   4,   0.79194900E+03,   0.48712986E+03,   0.12189173E+04,   0.35637006E+02,   0.18786257E+03,   0.49800000E+03
1985,   3,   5,   0.74931867E+03,   0.46089122E+03,   0.11533361E+04,   0.33786230E+02,   0.17776283E+03,   0.47200000E+03
1985,   3,   6,   0.71518201E+03,   0.43988122E+03,   0.11008197E+04,   0.32300664E+02,   0.16967470E+03,   0.45100000E+03
1985,   3,   7,   0.68781676E+03,   0.42303961E+03,   0.10587189E+04,   0.31106432E+02,   0.16319032E+03,   0.43400000E+03
1985,   3,   8,   0.65537287E+03,   0.40307189E+03,   0.10088058E+04,   0.29692569E+02,   0.15550292E+03,   0.41400000E+03
1985,   3,   9,   0.68386991E+03,   0.42061735E+03,   0.10526334E+04,   0.30906711E+02,   0.16224985E+03,   0.43000000E+03
1985,   3,  10,   0.70916990E+03,   0.43619542E+03,   0.10915421E+04,   0.31980317E+02,   0.16823906E+03,   0.44400000E+03
1985,   3,  11,   0.69192198E+03,   0.42558171E+03,   0.10650040E+04,   0.31222353E+02,   0.16415104E+03,   0.43300000E+03
1985,   3,  12,   0.68148311E+03,   0.41915958E+03,   0.10489394E+04,   0.30757266E+02,   0.16167566E+03,   0.42600000E+03
1985,   3,  13,   0.67274274E+03,   0.41378306E+03,   0.10354874E+04,   0.30365171E+02,   0.15960254E+03,   0.42000000E+03
1985,   3,  14,   0.67598503E+03,   0.41578303E+03,   0.10404666E+04,   0.30488231E+02,   0.16036732E+03,   0.42100000E+03
1985,   3,  15,   0.63639581E+03,   0.39141626E+03,   0.97956363E+03,   0.28768972E+02,   0.15098799E+03,   0.39700000E+03
1985,   3,  16,   0.59852147E+03,   0.36810557E+03,   0.92129760E+03,   0.27121633E+02,   0.14201448E+03,   0.37400000E+03
1985,   3,  17,   0.57600667E+03,   0.35425006E+03,   0.88665724E+03,   0.26135126E+02,   0.13667872E+03,   0.36000000E+03
1985,   3,  18,   0.56200276E+03,   0.34563362E+03,   0.86510844E+03,   0.25515423E+02,   0.13335878E+03,   0.35100000E+03
