YEAR,MONTH,DAY,LOAD (KG/DAY),LOWER 95% CI,UPPER 95% CI,SE,SEP,Q
1985,   1,   1,   0.19932553E+03,   0.64922748E+02,   0.47335159E+03,   0.19647168E+02,   0.10786460E+03,   0.36000000E+03
1985,   1,   2,   0.21942851E+03,   0.71479798E+02,   0.52105166E+03,   0.21551892E+02,   0.11872932E+03,   0.39800000E+03
1985,   1,   3,   0.27431820E+03,   0.89385052E+02,   0.65128584E+03,   0.26737328E+02,   0.14839206E+03,   0.50600000E+03
1985,   1,   4,   0.37976158E+03,   0.12377842E+03,   0.90147814E+03,   0.36719134E+02,   0.20537846E+03,   0.72300000E+03
1985,   1,   5,   0.46879415E+03,   0.15280909E+03,   0.11127737E+04,   0.45229479E+02,   0.25351054E+03,   0.91300000E+03
1985,   1,   6,   0.50964445E+03,   0.16612655E+03,   0.12097320E+04,   0.49155424E+02,   0.27559848E+03,   0.10000000E+04
1985,   1,   7,   0.53374580E+03,   0.17398424E+03,   0.12669345E+04,   0.51467567E+02,   0.28862946E+03,   0.10500000E+04
1985,   1,   8,   0.54893798E+03,   0.17893856E+03,   0.13029864E+04,   0.52914265E+02,   0.29684156E+03,   0.10800000E+04
1985,   1,   9,   0.55971606E+03,   0.18245464E+03,   0.13285582E+04,   0.53930261E+02,   0.30266579E+03,   0.11000000E+04
1985,   1,  10,   0.50799098E+03,   0.16560169E+03,   0.12057466E+04,   0.48876637E+02,   0.27468309E+03,   0.98100000E+03
1985,   1,  11,   0.39562915E+03,   0.12896479E+03,   0.93908217E+03,   0.38130706E+02,   0.21393789E+03,   0.73700000E+03
1985,   1,  12,   0.33452537E+03,   0.10903201E+03,   0.79410603E+03,   0.32364114E+02,   0.18091769E+03,   0.60900000E+03
1985,   1,  13,   0.30510888E+03,   0.99434572E+02,   0.72431799E+03,   0.29599802E+02,   0.16502332E+03,   0.54800000E+03
1985,   1,  14,   0.28525854E+03,   0.92957743E+02,   0.67722672E+03,   0.27738035E+02,   0.15429841E+03,   0.50700000E+03
1985,   1,  15,   0.27487772E+03,   0.89570568E+02,   0.65260053E+03,   0.26765116E+02,   0.14868992E+03,   0.48500000E+03
1985,   1,  16,   0.26069081E+03,   0.84941243E+02,   0.61894633E+03,   0.25437514E+02,   0.14102547E+03,   0.45600000E+03
1985,   1,  17,   0.24680069E+03,   0.80408641E+02,   0.58599669E+03,   0.24138585E+02,   0.13352154E+03,   0.42800000E+03
1985,   1,  18,   0.24496231E+03,   0.79808650E+02,   0.58163614E+03,   0.23967425E+02,   0.13252852E+03,   0.42300000E+03
1985,   1,  19,   0.25535221E+03,   0.83199084E+02,   0.60628262E+03,   0.24938916E+02,   0.13814148E+03,   0.44100000E+03
1985,   1,  20,   0.26150941E+03,   0.85208397E+02,   0.62088803E+03,   0.25513794E+02,   0.14146765E+03,   0.45100000E+03
1985,   1,  21,   0.24738759E+03,   0.80599804E+02,   0.58739042E+03,   0.24196404E+02,   0.13383914E+03,   0.42300000E+03
1985,   1,  22,   0.27546871E+03,   0.89764167E+02,   0.65399924E+03,   0.26814110E+02,   0.14900806E+03,   0.47400000E+03
1985,   1,  23,   0.29490484E+03,   0.96107718E+02,   0.70009983E+03,   0.28621376E+02,   0.15950635E+03,   0.50900000E+03
1985,   1,  24,   0.27618091E+03,   0.89996801E+02,   0.65568773E+03,   0.26878789E+02,   0.14939248E+03,   0.47200000E+03
1985,   1,  25,   0.25005146E+03,   0.81468873E+02,   0.59371041E+03,   0.24447189E+02,   0.13527855E+03,   0.42200000E+03
1985,   1,  26,   0.25084524E+03,   0.81727894E+02,   0.59559343E+03,   0.24521479E+02,   0.13570739E+03,   0.42200000E+03
1985,   1,  27,   0.25273115E+03,   0.82343378E+02,   0.60006677E+03,   0.24697194E+02,   0.13672611E+03,   0.42400000E+03
1985,   1,  28,   0.25352167E+03,   0.82601377E+02,   0.60194184E+03,   0.24770793E+02,   0.13715311E+03,   0.42400000E+03
1985,   1,  29,   0.24270093E+03,   0.79069656E+02,   0.57627635E+03,   0.23764799E+02,   0.13130845E+03,   0.40300000E+03
1985,   1,  30,   0.23564197E+03,   0.76765726E+02,   0.55953335E+03,   0.23108453E+02,   0.12749566E+03,   0.38900000E+03
1985,   1,  31,   0.23299419E+03,   0.75901496E+02,   0.55325326E+03,   0.22862536E+02,   0.12606555E+03,   0.38300000E+03
1985,   2,   1,   0.30709617E+03,   0.10008971E+03,   0.72900364E+03,   0.29729733E+02,   0.16608691E+03,   0.51600000E+03
1985,   2,   2,   0.47207315E+03,   0.15394201E+03,   0.11202820E+04,   0.45001951E+02,   0.25518725E+03,   0.83000000E+03
1985,   2,   3,   0.60674527E+03,   0.19788078E+03,   0.14397775E+04,   0.57647787E+02,   0.32795273E+03,   0.11000000E+04
1985,   2,   4,   0.70372579E+03,   0.22950313E+03,   0.16699350E+04,   0.66916688E+02,   0.38038142E+03,   0.13000000E+04
1985,   2,   5,   0.76171974E+03,   0.24840605E+03,   0.18075987E+04,   0.72520165E+02,   0.41174425E+03,   0.14200000E+04
1985,   2,   6,   0.84185993E+03,   0.27451329E+03,   0.19978931E+04,   0.80384200E+02,   0.45510498E+03,   0.15900000E+04
1985,   2,   7,   0.97389149E+03,   0.31748536E+03,   0.23115754E+04,   0.93676594E+02,   0.52660205E+03,   0.18800000E+04
1985,   2,   8,   0.10204716E+04,   0.33264086E+03,   0.24222617E+04,   0.98405957E+02,   0.55183314E+03,   0.19800000E+04
1985,   2,   9,   0.88084193E+03,   0.28722568E+03,   0.20903998E+04,   0.84096466E+02,   0.47617670E+03,   0.16600000E+04
1985,   2,  10,   0.52189767E+03,   0.17021895E+03,   0.12383957E+04,   0.49501286E+02,   0.28207671E+03,   0.90600000E+03
1985,   2,  11,   0.39466634E+03,   0.12868696E+03,   0.93664228E+03,   0.37732520E+02,   0.21336303E+03,   0.66000000E+03
1985,   2,  12,   0.45788398E+03,   0.14932794E+03,   0.10865539E+04,   0.43538377E+02,   0.24749751E+03,   0.77700000E+03
1985,   2,  13,   0.62384151E+03,   0.20349106E+03,   0.14801977E+04,   0.58975302E+02,   0.33714140E+03,   0.11000000E+04
1985,   2,  14,   0.73292373E+03,   0.23906783E+03,   0.17390392E+04,   0.69328684E+02,   0.39609969E+03,   0.13200000E+04
1985,   2,  15,   0.79684491E+03,   0.25990633E+03,   0.18907572E+04,   0.75474325E+02,   0.43066249E+03,   0.14500000E+04
1985,   2,  16,   0.86463865E+03,   0.28199746E+03,   0.20517090E+04,   0.82076508E+02,   0.46733402E+03,   0.15900000E+04
1985,   2,  17,   0.95447229E+03,   0.31125175E+03,   0.22650669E+04,   0.90984484E+02,   0.51595573E+03,   0.17800000E+04
1985,   2,  18,   0.10022741E+04,   0.32681398E+03,   0.23786167E+04,   0.95761570E+02,   0.54183469E+03,   0.18800000E+04
1985,   2,  19,   0.85680517E+03,   0.27946455E+03,   0.20330268E+04,   0.81144720E+02,   0.46306704E+03,   0.15600000E+04
1985,   2,  20,   0.55180754E+03,   0.18000579E+03,   0.13092323E+04,   0.52066360E+02,   0.29819490E+03,   0.93800000E+03
1985,   2,  21,   0.42535093E+03,   0.13872062E+03,   0.10093423E+04,   0.40423068E+02,   0.22990875E+03,   0.69800000E+03
1985,   2,  22,   0.38381808E+03,   0.12515881E+03,   0.91085764E+03,   0.36617914E+02,   0.20748461E+03,   0.62100000E+03
1985,   2,  23,   0.36109960E+03,   0.11774070E+03,   0.85698559E+03,   0.34534478E+02,   0.19521828E+03,   0.57900000E+03
