CATCODE,STAID,UNIQID,STATE_CD,NAME,NOTES,Used in Calibration?,Do we have Data?
SW7_1320_0003,1551500,1320,42,"WB SUSQUEHANNA RIVER AT WILLIAMSPORT, PA","DB 1340 1220 gage is mid-poly, could just drain itself  1320",yes,yes
SW7_1640_0003,1553500,1760,42,"WEST BRANCH SUSQUEHANNA RIVER AT LEWISBURG, PA",DB 1570 1460 drain to this gage,yes,yes
TU2_8790_9070,3475000,8790,51,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",,yes,yes
TU2_8950_9040,3471500,8950,51,"S F HOLSTON RIVER AT RIVERSIDE NR CHILHOWIE, VA",,yes,yes
TU3_8650_8800,3488000,8650,51,"N F HOLSTON RIVER NEAR SALTVILLE, VA",,yes,yes
TU3_9180_0003,3473000,9180,51,"S F HOLSTON RIVER NEAR DAMASCUS, VA",DB 9200 9040 drain to this gage,yes,yes
TU3_9230_9260,3531500,9230,51,"POWELL RIVER NEAR JONESVILLE, VA",,yes,yes
TU4_8680_8810,3524000,8680,51,"CLINCH RIVER AT CLEVELAND, VA",,yes,yes
TU5_9280_0003,3527000,9280,51,"CLINCH RIVER AT SPEERS FERRY, VA",DB 9000 8970 drain to this gage,no,yes
WM1_3660_3910,1589300,3660,24,"GWYNNS FALLS AT VILLA NOVA, MD",,yes,yes
WM3_3880_4060,1589000,3880,24,"PATAPSCO RIVER AT HOLLOFIELD, MD",,yes,yes
WU1_3240_3330,1581700,3240,24,"WINTERS RUN NEAR BENSON, MD",,yes,yes
WU1_3350_3490,1583500,3350,24,"WESTERN RUN AT WESTERN RUN, MD",,yes,yes
WU2_3020_3320,1582500,3020,24,"GUNPOWDER FALLS AT GLENCOE, MD",,yes,yes
XL0_5320_0001,1594670,5320,24,"HUNTING CREEK NEAR HUNTINGTOWN, MD",,yes,yes
XL1_4690_0001,1594526,4690,24,WESTERN BRANCH AT UPPER MARLBORO MD,"gage inside poly, near downstream end",yes,yes
XU0_4130_4070,1591000,4130,24,"PATUXENT RIVER NEAR UNITY, MD",,yes,yes
XU2_4070_4330,1591610,4070,24,"PATUXENT RIVER BELOW BRIGHTON DAM NEAR BRIGHTON,MD",,yes,yes
XU2_4270_0003,1594000,4090,24,"LITTLE PATUXENT RIVER AT SAVAGE, MD",DB 4090 4091 drain to this gage,yes,yes
XU2_4330_4480,1592500,4330,24,"PATUXENT R NR LAUREL, MD",,yes,yes
XU3_4650_0001,1594440,4650,24,"PATUXENT RIVER NEAR BOWIE, MD",,yes,yes
YM2_6120_6430,1674000,6120,51,"MATTAPONI RIVER NEAR BOWLING GREEN, VA",,yes,yes
YM4_6620_0003,1674500,6620,51,"MATTAPONI RIVER NEAR BEULAHVILLE, VA",DB 6430 6370 drain to this gage,yes,yes
YP0_6860_6840,1673550,6860,51,"TOTOPOTOMOY CREEK NEAR STUDLEY, VA",,yes,yes
YP1_6570_6680,1671100,6570,51,"LITTLE RIVER NEAR DOSWELL, VA",,yes,yes
YP2_6390_6330,1670400,6390,51,"NORTH ANNA RIVER NEAR PARTLOW, VA",,yes,yes
YP3_6330_6700,1671020,6330,51,"NORTH ANNA RIVER AT HART CORNER NEAR DOSWELL, VA",,yes,yes
YP3_6470_6690,1672500,6470,51,"SOUTH ANNA RIVER NEAR ASHLAND, VA",,yes,yes
YP4_6720_6750,1673000,6720,51,"PAMUNKEY RIVER NEAR HANOVER, VA",,yes,yes
