CATCODE,STAID,UNIQID,STATE_CD,NAME,NOTES,Used in Calibration?,Do we have Data?
OD3_8630_8720,2073000,8630,51,"SMITH RIVER AT MARTINSVILLE, VA",,yes,yes
OD3_8720_8900,2074000,8720,37,"SMITH RIVER AT EDEN, NC",,yes,yes
OD3_8850_8931,2070000,8850,51,"NORTH MAYO RIVER NEAR SPENCER, VA",,yes,yes
OD4_9140_8990,2071000,9140,37,"DAN RIVER NEAR WENTWORTH, NC",,yes,yes
OD5_8770_0003,2075000,8770,51,"DAN RIVER AT DANVILLE, VA",DB 8890 8900 drain to this gage,yes,yes
OD5_8780_8660,2075500,8780,51,"DAN RIVER AT PACES, VA",,yes,yes
OR1_7700_7980,2065500,7700,51,"CUB CREEK AT PHENIX, VA",,yes,yes
OR1_8280_8020,2053800,8280,51,"S F ROANOKE RIVER NEAR SHAWSVILLE, VA",,yes,yes
OR1_8320_8271,2056900,8320,51,"BLACKWATER RIVER NEAR ROCKY MOUNT, VA",,yes,yes
OR2_7610_7780,2061500,7610,51,"BIG OTTER RIVER NEAR EVINGTON, VA",,yes,yes
OR2_7650_8070,2059500,7650,51,"GOOSE CREEK NEAR HUDDLESTON, VA",,yes,yes
OR2_7670_7840,2064000,7670,51,"FALLING RIVER NEAR NARUNA, VA",,yes,yes
OR2_7900_7740,2055000,7900,51,"ROANOKE RIVER AT ROANOKE, VA",,yes,yes
OR2_8020_8130,2054500,8020,51,"ROANOKE RIVER AT LAFAYETTE, VA",,yes,yes
OR2_8130_7900,2054530,8130,51,"ROANOKE RIVER AT GLENVAR, VA",,yes,yes
OR2_8460_8271,2058400,8460,51,"PIGG RIVER NEAR SANDY LEVEL, VA",,yes,yes
OR3_7740_8271,2056000,7740,51,"ROANOKE RIVER AT NIAGARA, VA",,yes,yes
OR4_8120_7890,2060500,8120,51,"ROANOKE RIVER AT ALTAVISTA, VA","Gage mid-polygon drains the poly it is inside 8120, or 8070 and 8270",yes,yes
OR5_7890_7970,2062500,7890,51,"ROANOKE (STAUNTON) RIVER AT BROOKNEAL, VA",,yes,yes
OR5_8200_8370,2066000,8200,51,"ROANOKE (STAUNTON) RIVER AT RANDOLPH, VA",,yes,yes
PL0_4510_0001,1651000,4510,24,"NW BRANCH ANACOSTIA RIVER NEAR HYATTSVILLE, MD","Gage inside poly, but close to downstream end",yes,yes
PL0_5000_0001,1653000,5000,51,"CAMERON RUN AT ALEXANDRIA, VA",,yes,yes
PL0_5010_5130,1654000,5010,51,"ACCOTINK CREEK NEAR ANNANDALE, VA",,yes,yes
PL0_5070_0001,1653600,5070,24,"PISCATAWAY CREEK AT PISCATAWAY, MD",,yes,yes
PL0_5510_0001,GIC0004,5510,24,,,no,no
PL0_5530_5710,CLA0019,5530,24,,,no,no
PL0_5540_5490,1658500,5540,51,"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA",,yes,yes
PL0_5720_0001,NAJ0110,5720,24,,,no,no
PL0_5730_5690,1660400,5730,51,"AQUIA CREEK NEAR GARRISONVILLE, VA",,yes,yes
