YEAR,MONTH,DAY,LOAD (KG/DAY),LOWER 95% CI,UPPER 95% CI,SE,SEP,Q
1985,   1,   1,   0.18462581E+02,   0.23927534E+01,   0.68498637E+02,   0.33519348E+01,   0.19184392E+02,   0.73000000E+02
1985,   1,   2,   0.16933947E+02,   0.21948094E+01,   0.62825327E+02,   0.30699145E+01,   0.17595211E+02,   0.67000000E+02
1985,   1,   3,   0.15418324E+02,   0.19984724E+01,   0.57201175E+02,   0.27923807E+01,   0.16019920E+02,   0.61000000E+02
1985,   1,   4,   0.15376891E+02,   0.19932746E+01,   0.57045522E+02,   0.27802252E+01,   0.15976060E+02,   0.61000000E+02
1985,   1,   5,   0.15335623E+02,   0.19880932E+01,   0.56890539E+02,   0.27682298E+01,   0.15932396E+02,   0.61000000E+02
1985,   1,   6,   0.14082669E+02,   0.18256924E+01,   0.52242113E+02,   0.25412283E+01,   0.14630540E+02,   0.56000000E+02
1985,   1,   7,   0.13803579E+02,   0.17896139E+01,   0.51205621E+02,   0.24880818E+01,   0.14340108E+02,   0.55000000E+02
1985,   1,   8,   0.13285555E+02,   0.17225107E+01,   0.49283318E+02,   0.23931449E+01,   0.13801679E+02,   0.53000000E+02
1985,   1,   9,   0.11334887E+02,   0.14694196E+01,   0.42049266E+02,   0.20466672E+01,   0.11776080E+02,   0.45000000E+02
1985,   1,  10,   0.10827943E+02,   0.14036822E+01,   0.40168857E+02,   0.19556390E+01,   0.11249492E+02,   0.43000000E+02
1985,   1,  11,   0.10323922E+02,   0.13383027E+01,   0.38299527E+02,   0.18657054E+01,   0.10726040E+02,   0.41000000E+02
1985,   1,  12,   0.10059587E+02,   0.13040292E+01,   0.37318983E+02,   0.18181331E+01,   0.10451443E+02,   0.40000000E+02
1985,   1,  13,   0.95605123E+01,   0.12392546E+01,   0.35468411E+02,   0.17300725E+01,   0.99333007E+01,   0.38000000E+02
1985,   1,  14,   0.92996900E+01,   0.12054104E+01,   0.34501192E+02,   0.16838374E+01,   0.96624761E+01,   0.37000000E+02
1985,   1,  15,   0.90402706E+01,   0.11717379E+01,   0.33539293E+02,   0.16381328E+01,   0.93931575E+01,   0.36000000E+02
1985,   1,  16,   0.87822371E+01,   0.11382349E+01,   0.32582648E+02,   0.15929483E+01,   0.91253260E+01,   0.35000000E+02
1985,   1,  17,   0.85255709E+01,   0.11048993E+01,   0.31631186E+02,   0.15482738E+01,   0.88589612E+01,   0.34000000E+02
1985,   1,  18,   0.82702514E+01,   0.10717286E+01,   0.30684828E+02,   0.15040992E+01,   0.85940409E+01,   0.33000000E+02
1985,   1,  19,   0.77836105E+01,   0.10084705E+01,   0.28881453E+02,   0.14208199E+01,   0.80892636E+01,   0.31000000E+02
1985,   1,  20,   0.77635628E+01,   0.10058711E+01,   0.28807087E+02,   0.14172125E+01,   0.80684378E+01,   0.31000000E+02
1985,   1,  21,   0.84380257E+01,   0.10935874E+01,   0.31306000E+02,   0.15314661E+01,   0.87678338E+01,   0.34000000E+02
1985,   1,  22,   0.91090787E+01,   0.11808653E+01,   0.33792224E+02,   0.16449687E+01,   0.94636708E+01,   0.37000000E+02
1985,   1,  23,   0.86256731E+01,   0.11180217E+01,   0.32000904E+02,   0.15624373E+01,   0.89622770E+01,   0.35000000E+02
1985,   1,  24,   0.83744274E+01,   0.10853586E+01,   0.31069890E+02,   0.15195579E+01,   0.87016859E+01,   0.34000000E+02
1985,   1,  25,   0.81244951E+01,   0.10528579E+01,   0.30143836E+02,   0.14771179E+01,   0.84424954E+01,   0.33000000E+02
1985,   1,  26,   0.81044828E+01,   0.10502635E+01,   0.30069597E+02,   0.14735078E+01,   0.84217048E+01,   0.33000000E+02
1985,   1,  27,   0.80846871E+01,   0.10476964E+01,   0.29996170E+02,   0.14699562E+01,   0.84011425E+01,   0.33000000E+02
1985,   1,  28,   0.82926319E+01,   0.10747632E+01,   0.30766358E+02,   0.15045633E+01,   0.86166673E+01,   0.34000000E+02
1985,   1,  29,   0.80457631E+01,   0.10426468E+01,   0.29851813E+02,   0.14630241E+01,   0.83607203E+01,   0.33000000E+02
1985,   1,  30,   0.75736193E+01,   0.98120116E+00,   0.28102969E+02,   0.13841487E+01,   0.78713182E+01,   0.31000000E+02
1985,   1,  31,   0.73297000E+01,   0.94944994E+00,   0.27199560E+02,   0.13435760E+01,   0.76185165E+01,   0.30000000E+02
1985,   2,   1,   0.79891103E+01,   0.10352934E+01,   0.29641750E+02,   0.14530399E+01,   0.83019054E+01,   0.33000000E+02
1985,   2,   2,   0.81956261E+01,   0.10621838E+01,   0.30406537E+02,   0.14871528E+01,   0.85159040E+01,   0.34000000E+02
1985,   2,   3,   0.77280963E+01,   0.10013230E+01,   0.28674957E+02,   0.14094781E+01,   0.80313573E+01,   0.32000000E+02
1985,   2,   4,   0.74866823E+01,   0.96989188E+00,   0.27780895E+02,   0.13694918E+01,   0.77811806E+01,   0.31000000E+02
1985,   2,   5,   0.72464306E+01,   0.93860585E+00,   0.26891207E+02,   0.13298512E+01,   0.75322376E+01,   0.30000000E+02
1985,   2,   6,   0.72304722E+01,   0.93652723E+00,   0.26832116E+02,   0.13272306E+01,   0.75157042E+01,   0.30000000E+02
1985,   2,   7,   0.69920618E+01,   0.90547284E+00,   0.25949339E+02,   0.12880955E+01,   0.72687075E+01,   0.29000000E+02
1985,   2,   8,   0.69770525E+01,   0.90351600E+00,   0.25893783E+02,   0.12856784E+01,   0.72531659E+01,   0.29000000E+02
1985,   2,   9,   0.69622818E+01,   0.90159041E+00,   0.25839109E+02,   0.12832965E+01,   0.72378710E+01,   0.29000000E+02
1985,   2,  10,   0.69477529E+01,   0.89969648E+00,   0.25785328E+02,   0.12809490E+01,   0.72228255E+01,   0.29000000E+02
1985,   2,  11,   0.69334685E+01,   0.89783465E+00,   0.25732449E+02,   0.12786352E+01,   0.72080323E+01,   0.29000000E+02
1985,   2,  12,   0.53116834E+02,   0.68885889E+01,   0.19701848E+03,   0.95181799E+01,   0.55171724E+02,   0.22900000E+03
1985,   2,  13,   0.56164962E+02,   0.72797914E+01,   0.20837048E+03,   0.10175315E+02,   0.58357012E+02,   0.24200000E+03
1985,   2,  14,   0.35330054E+02,   0.45939692E+01,   0.13090895E+03,   0.59937803E+01,   0.36640184E+02,   0.15500000E+03
1985,   2,  15,   0.27177632E+02,   0.35353033E+01,   0.10068607E+03,   0.45707348E+01,   0.28178937E+02,   0.12000000E+03
1985,   2,  16,   0.22133517E+02,   0.28787841E+01,   0.82003113E+02,   0.37331641E+01,   0.22950727E+02,   0.98000000E+02
1985,   2,  17,   0.20744804E+02,   0.26979710E+01,   0.76860165E+02,   0.35044129E+01,   0.21511632E+02,   0.92000000E+02
1985,   2,  18,   0.18252661E+02,   0.23732573E+01,   0.67633381E+02,   0.31005046E+01,   0.18930159E+02,   0.81000000E+02
1985,   2,  19,   0.18887278E+02,   0.24560818E+01,   0.69981423E+02,   0.31994504E+01,   0.19586884E+02,   0.84000000E+02
1985,   2,  20,   0.19299110E+02,   0.25098670E+01,   0.71504763E+02,   0.32625987E+01,   0.20012891E+02,   0.86000000E+02
1985,   2,  21,   0.20155462E+02,   0.26216014E+01,   0.74673529E+02,   0.33968909E+01,   0.20899209E+02,   0.90000000E+02
1985,   2,  22,   0.33224593E+02,   0.43224707E+01,   0.12308210E+03,   0.55712620E+01,   0.34446021E+02,   0.14800000E+03
1985,   2,  23,   0.12356868E+03,   0.15711667E+02,   0.46188726E+03,   0.29579999E+02,   0.12983900E+03,   0.51700000E+03
1985,   2,  24,   0.24276481E+03,   0.29633617E+02,   0.92180506E+03,   0.80781144E+02,   0.26118205E+03,   0.96800000E+03
1985,   2,  25,   0.23616852E+03,   0.28890985E+02,   0.89601603E+03,   0.77554449E+02,   0.25376813E+03,   0.94500000E+03
1985,   2,  26,   0.14359043E+03,   0.18133800E+02,   0.53814415E+03,   0.36907513E+02,   0.15147428E+03,   0.59700000E+03
1985,   2,  27,   0.94317373E+02,   0.12105577E+02,   0.35126061E+03,   0.20068510E+02,   0.98561999E+02,   0.40400000E+03
1985,   2,  28,   0.59529892E+02,   0.77142208E+01,   0.22087353E+03,   0.10830978E+02,   0.61861316E+02,   0.26200000E+03
1985,   3,   1,   0.44837612E+02,   0.58272050E+01,   0.16617139E+03,   0.76929315E+01,   0.46514483E+02,   0.20000000E+03
1985,   3,   2,   0.36248678E+02,   0.47162469E+01,   0.13428109E+03,   0.60683245E+01,   0.37579659E+02,   0.16300000E+03
1985,   3,   3,   0.30756694E+02,   0.40032994E+01,   0.11391842E+03,   0.51023444E+01,   0.31878532E+02,   0.13900000E+03
1985,   3,   4,   0.26684093E+02,   0.34735290E+01,   0.98830500E+02,   0.44173709E+01,   0.27655889E+02,   0.12100000E+03
1985,   3,   5,   0.24430506E+02,   0.31800849E+01,   0.90484840E+02,   0.40469221E+01,   0.25320648E+02,   0.11100000E+03
1985,   3,   6,   0.20441043E+02,   0.26600557E+01,   0.75716932E+02,   0.34072138E+01,   0.21189216E+02,   0.93000000E+02
1985,   3,   7,   0.18672970E+02,   0.24294898E+01,   0.69173084E+02,   0.31264417E+01,   0.19358675E+02,   0.85000000E+02
1985,   3,   8,   0.18435043E+02,   0.23985200E+01,   0.68291848E+02,   0.30870010E+01,   0.19112075E+02,   0.84000000E+02
1985,   3,   9,   0.17116061E+02,   0.22264814E+01,   0.63410549E+02,   0.28785510E+01,   0.17746663E+02,   0.78000000E+02
1985,   3,  10,   0.16020433E+02,   0.20835663E+01,   0.59355947E+02,   0.27056239E+01,   0.16612512E+02,   0.73000000E+02
1985,   3,  11,   0.16866064E+02,   0.21939837E+01,   0.62484125E+02,   0.28358654E+01,   0.17487351E+02,   0.77000000E+02
1985,   3,  12,   0.30899460E+02,   0.40230048E+01,   0.11443465E+03,   0.50931863E+01,   0.32021265E+02,   0.14100000E+03
1985,   3,  13,   0.22693288E+02,   0.29543779E+01,   0.84045848E+02,   0.37467433E+01,   0.23518153E+02,   0.10400000E+03
1985,   3,  14,   0.19627069E+02,   0.25544813E+01,   0.72697918E+02,   0.32613436E+01,   0.20343813E+02,   0.90000000E+02
1985,   3,  15,   0.18314242E+02,   0.23832316E+01,   0.67839550E+02,   0.30543583E+01,   0.18984836E+02,   0.84000000E+02
1985,   3,  16,   0.16794207E+02,   0.21849050E+01,   0.62214912E+02,   0.28160386E+01,   0.17411593E+02,   0.77000000E+02
1985,   3,  17,   0.16353255E+02,   0.21274064E+01,   0.60582854E+02,   0.27458893E+01,   0.16955044E+02,   0.75000000E+02
1985,   3,  18,   0.15486655E+02,   0.20143430E+01,   0.57376073E+02,   0.26097845E+01,   0.16058080E+02,   0.71000000E+02
1985,   3,  19,   0.14410978E+02,   0.18739837E+01,   0.53395820E+02,   0.24413131E+01,   0.14944798E+02,   0.66000000E+02
1985,   3,  20,   0.14189793E+02,   0.18451606E+01,   0.52576962E+02,   0.24055746E+01,   0.14715703E+02,   0.65000000E+02
1985,   3,  21,   0.12909247E+02,   0.16780608E+01,   0.47838742E+02,   0.22051436E+01,   0.13390430E+02,   0.59000000E+02
1985,   3,  22,   0.12902775E+02,   0.16772606E+01,   0.47814301E+02,   0.22028732E+01,   0.13383525E+02,   0.59000000E+02
1985,   3,  23,   0.58272668E+02,   0.75574367E+01,   0.21614000E+03,   0.10436613E+02,   0.60526076E+02,   0.26200000E+03
