TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A37001,1,0,0,1,0,1,0,1,0,0.000131,0.005894,0,0.000013,0.000131,0.500000,0.589E-05,0.586E-06
A37005,1,0,0,1,0,1,0,1,0,0.000114,0.005344,0,0.000011,0.000114,0.500000,0.534E-05,0.267E-06
A37009,1,0,0,1,0,1,0,1,0,0.000114,0.005750,0,0.000011,0.000114,0.500000,0.575E-05,0.222E-06
A37033,1,0,0,1,0,1,0,1,0,0.000164,0.008329,0,0.000017,0.000164,0.500000,0.870E-05,0.659E-06
A37067,1,0,0,1,0,1,0,1,0,0.000202,0.009553,0,0.000020,0.000202,0.500000,0.932E-05,0.527E-06
A37077,1,0,0,1,0,1,0,1,0,0.000106,0.005157,0,0.000011,0.000106,0.500000,0.515E-05,0.524E-06
A37081,1,0,0,1,0,1,0,1,0,0.000206,0.010576,0,0.000021,0.000206,0.500000,0.000010,0.490E-06
A37131,1,0,0,1,0,1,0,1,0,0.000160,0.007672,0,0.000016,0.000160,0.500000,0.767E-05,0.801E-06
A37135,1,0,0,1,0,1,0,1,0,0.000145,0.006561,0,0.000015,0.000145,0.500000,0.656E-05,0.583E-06
A37145,1,0,0,1,0,1,0,1,0,0.000141,0.007251,0,0.000014,0.000141,0.500000,0.725E-05,0.612E-06
A37157,1,0,0,1,0,1,0,1,0,0.000175,0.009038,0,0.000017,0.000175,0.500000,0.907E-05,0.533E-06
A37169,1,0,0,1,0,1,0,1,0,0.000145,0.007204,0,0.000014,0.000145,0.500000,0.721E-05,0.431E-06
A37171,1,0,0,1,0,1,0,1,0,0.000128,0.005784,0,0.000013,0.000128,0.500000,0.579E-05,0.325E-06
A37181,1,0,0,1,0,1,0,1,0,0.000103,0.005456,0,0.000010,0.000103,0.500000,0.545E-05,0.518E-06
A37185,1,0,0,1,0,1,0,1,0,0.000129,0.006056,0,0.000013,0.000129,0.500000,0.605E-05,0.582E-06
A37189,1,0,0,1,0,1,0,1,0,0.000078,0.003801,0,0.794E-05,0.000078,0.500000,0.380E-05,0.221E-06
A42001,1,0,0,1,0,1,0,1,0,0.000198,0.031211,0,0.000020,0.000198,0.500000,0.000031,0.007061
A42009,1,0,0,1,0,1,0,1,0,0.000200,0.031554,0,0.000020,0.000200,0.500000,0.000031,0.004131
A42011,1,0,0,1,0,1,0,1,0,0.000133,0.020924,0,0.000013,0.000133,0.500000,0.000021,0.003778
A42013,1,0,0,1,0,1,0,1,0,0.000269,0.042310,0,0.000027,0.000269,0.500000,0.000042,0.003496
A42015,1,0,0,1,0,1,0,1,0,0.000196,0.030927,0,0.000020,0.000196,0.500000,0.000031,0.005122
