landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A54037,0,0.5625,9.7159,1.0131,0.124,2.2239,2.8466,5.6102,0.4091,0.6341,0,0,5.2937,0.1225,2.038,2.0378,6.6108,19.4523,0,0.45,4.4881,1.7791,0.5073,4.235,0.098
A54057,0,0.5625,9.7159,1.0131,0.1208,2.2478,2.8466,7.1321,0.4091,0.7787,0,0,6.7427,0.1075,3.2086,3.203,5.8109,19.4523,0,0.45,5.7057,1.7982,0.623,5.3941,0.086
A54063,0,0.5625,9.7159,1.0131,0.1067,2.2235,2.8466,6.9493,0.4091,0.6398,0,0,6.5691,0.1135,2.9524,2.9448,6.1233,19.4523,0,0.45,5.5595,1.7788,0.5118,5.2553,0.0908
A54065,0,0.5625,9.7159,1.0131,0.1214,2.2323,2.8466,7.0237,0.4091,0.7084,0,0,6.6363,0.1089,2.8693,2.8718,5.8833,19.4523,0,0.45,5.619,1.7859,0.5667,5.3091,0.0871
A54071,0,0.5625,9.7159,1.0131,0.1128,2.2598,2.8466,7.4512,0.4091,1.0914,0,0,7.0302,0.136,2.4603,2.4567,7.2958,19.4523,0,0.45,5.961,1.8078,0.8731,5.6242,0.1088
A54077,0,0.5625,9.7159,1.0131,0.1379,2.3895,2.8466,6.9306,0.4091,0.6287,0,0,6.6338,0.1192,8.6659,8.6731,6.4389,19.4523,0,0.45,5.5445,1.9116,0.5029,5.3071,0.0954
A54093,0,0.5625,9.7159,1.0131,0.1358,2.304,2.8466,7.2252,0.4091,0.7347,0,0,7.026,0.1078,9.7345,9.7337,5.8329,19.4523,0,0.45,5.7802,1.8432,0.5878,5.6208,0.0862
B24001,0,0.5625,9.7159,1.0131,0.1204,2.1777,2.8466,7.2236,0.4091,0.6704,0,0,6.8155,0.1229,3.484,3.4827,6.6273,19.4523,0,0.45,5.7789,1.7421,0.5364,5.4524,0.0983
B24021,0,0.5625,9.7159,1.0131,0.136,2.1826,2.8466,5.7448,0.4091,0.5628,0,0,5.4198,0.2398,3.0943,3.0938,12.8771,19.4523,0,0.45,4.5958,1.7461,0.4502,4.3359,0.1919
B42001,0,0.5625,9.7159,1.0131,0.1388,2.2541,2.8466,6.7172,0.4091,0.8716,0,0,6.3419,0.1884,5.2007,5.2107,10.1137,19.4523,0,0.45,5.3738,1.8033,0.6973,5.0735,0.1507
B42009,0,0.5625,9.7159,1.0131,0.1243,2.197,2.8466,6.8476,0.4091,0.6354,0,0,6.4694,0.1745,3.9091,3.907,9.3843,19.4523,0,0.45,5.4781,1.7576,0.5083,5.1755,0.1396
B42015,0,0.5625,9.7159,1.0131,0.1265,2.3135,2.8466,6.5291,0.4091,0.6184,0,0,6.1777,0.1795,4.206,4.1979,9.655,19.4523,0,0.45,5.2233,1.8508,0.4947,4.9422,0.1436
B42027,0,0.5625,9.7159,1.0131,0.1254,3.1826,2.8466,6.0991,0.4091,0.6361,0,0,5.7636,0.1922,4.0269,4.0207,10.3323,19.4523,0,0.45,4.8792,2.5461,0.5089,4.6109,0.1538
B42035,0,0.5625,9.7159,1.0131,0.1279,2.1152,2.8466,6.3435,0.4091,0.6626,0,0,5.9955,0.2458,3.7952,3.7983,13.1898,19.4523,0,0.45,5.0748,1.6922,0.5301,4.7964,0.1967
B42041,0,0.5625,9.7159,1.0131,0.1358,2.2002,2.8466,6.6676,0.4091,0.6705,0,0,6.2973,0.2614,2.9992,3.0041,14.0276,19.4523,0,0.45,5.3341,1.7602,0.5364,5.0379,0.2091
B42043,0,0.5625,9.7159,1.0131,0.1467,2.2225,2.8466,6.9064,0.4091,0.7225,0,0,6.523,0.2507,4.2429,4.2421,13.4474,19.4523,0,0.45,5.5251,1.778,0.578,5.2184,0.2006
B42055,0,0.5625,9.7159,1.0131,0.133,2.221,2.8466,6.872,0.4091,0.6768,0,0,6.4908,0.3098,3.3526,3.3513,16.6052,19.4523,0,0.45,5.4976,1.7768,0.5414,5.1926,0.2478
B42079,0,0.5625,9.7159,1.0131,0.1253,2.2402,2.8466,6.0953,0.4091,0.6605,0,0,5.76,0.1631,5.6371,5.637,8.7793,19.4523,0,0.45,4.8763,1.7922,0.5284,4.608,0.1305
B42081,0,0.5625,9.7159,1.0131,0.1254,2.2524,2.8466,6.1137,0.4091,0.6347,0,0,5.7781,0.1783,3.3974,3.3923,9.5806,19.4523,0,0.45,4.891,1.802,0.5077,4.6225,0.1426
B42119,0,0.5625,9.7159,1.0131,0.1315,2.4743,2.8466,6.4551,0.4091,0.8933,0,0,6.0972,0.3106,3.7991,3.7938,16.6277,19.4523,0,0.45,5.1641,1.9794,0.7147,4.8778,0.2485
B42131,0,0.5625,9.7159,1.0131,0.125,2.1749,2.8466,6.232,0.4091,0.6392,0,0,5.8937,0.1521,4.9596,4.9435,8.1952,19.4523,0,0.45,4.9856,1.7399,0.5114,4.7149,0.1217
B51003,0,0.5625,9.7159,1.0131,0.1241,2.1737,2.8466,7.2944,0.4091,0.9416,0,0,6.872,0.1174,3.2841,3.3068,6.3372,19.4523,0,0.45,5.8355,1.739,0.7533,5.4976,0.0939
