landseg,alf,hom,hwm,hyw,lwm,nal,nhi,nho,nhy,nlo,npa,pas,trp,bar,ext,for,hvf,hyo,puh,pul,urs,afo,imh,iml,wat,css
A42011,178.413,135.339,105.357,140.428,105.357,178.413,105.357,135.339,140.428,105.357,0,213.114,124.974,0,0,0,0,96.965,215.192,215.192,104.423,0,0,0,0,0
A42013,179.198,133.079,120.307,112.2,120.307,179.198,120.307,133.079,112.2,120.307,0,219.692,123.078,0,0,0,0,91.929,203.371,203.371,105.412,0,0,0,0,0
A42015,138.238,116.23,105.248,118.901,105.248,138.238,105.248,116.23,118.901,105.248,0,89.198,122.173,0,0,0,0,81.139,225.769,225.769,105.412,0,0,0,0,0
A42021,142.919,120.019,74.179,118.806,74.179,142.919,74.179,120.019,118.806,74.32,0,79.789,113.397,0,0,0,0,97.274,185.14,185.14,105.412,0,0,0,0,0
A42023,130.177,121.589,117.148,104.571,107.178,134.573,117.148,122.289,104.571,107.178,0,207.600,146.554,0,0,0,0,79.444,225.112,225.112,105.412,0,0,0,0,0
A42025,160.599,111.39,70.387,117.659,0,161.5,70.387,111.393,117.659,0,0,82.412,128.916,0,0,0,0,98.884,196.463,196.463,105.412,0,0,0,0,0
A42027,162.255,85.511,104.156,120.921,104.156,162.255,104.156,85.511,120.921,104.156,0,101.689,117.438,0,0,0,0,94.607,217.865,217.865,105.412,0,0,0,0,0
A42029,188.606,117.465,125.332,139.156,125.332,188.606,125.332,117.465,139.156,125.332,0,151.387,123.527,0,0,0,0,79.311,201.468,201.468,105.412,0,0,0,0,0
A42033,126.195,112.965,81.245,103.805,81.245,126.195,81.245,111.059,103.805,81.245,0,68.903,115.25,0,0,0,0,93.516,204.775,204.775,105.412,0,0,0,0,0
A42035,162.553,98.519,108.481,120.949,108.481,162.553,108.481,98.519,120.949,108.481,0,150.953,115.649,0,0,0,0,89.309,220.696,220.696,105.412,0,0,0,0,0
A42037,154.316,89.949,88.808,117.668,88.808,154.316,88.808,89.949,117.668,88.808,0,89.087,118.506,0,0,0,0,103.334,223.459,223.459,105.412,0,0,0,0,0
A42041,168.104,135.946,93.212,120.431,93.212,168.104,93.212,135.946,120.431,93.212,0,166.962,114.058,0,0,0,0,93.727,222.439,222.439,105.11,0,0,0,0,0
A42043,165.933,125.981,87.709,134.649,87.709,165.933,87.709,125.981,134.65,87.709,0,154.405,115.038,0,0,0,0,101.784,215.713,215.713,105.412,0,0,0,0,0
A42047,136.826,108.223,78.383,117.717,78.383,136.826,78.383,108.223,117.717,78.852,0,57.821,112.881,0,0,0,0,84.289,211.003,211.003,105.412,0,0,0,0,0
A42055,168.106,177.048,100.364,133.932,100.364,168.106,100.364,177.048,133.932,100.364,0,212.885,117.481,0,0,0,0,97.027,222.054,222.054,105.412,0,0,0,0,0
A42057,153.322,109.553,79.511,126.33,79.511,153.322,79.511,109.553,126.33,79.511,0,74.123,117.001,0,0,0,0,94.31,226.38,226.38,105.412,0,0,0,0,0
A42061,162.004,122.544,104.175,109.774,104.175,162.004,104.175,122.544,109.774,104.175,0,94.203,119.974,0,0,0,0,92.683,219.405,219.405,105.412,0,0,0,0,0
A42063,145.573,112.501,86.857,123.25,86.857,143.469,84.437,108.106,117.527,84.437,0,79.325,120.566,0,0,0,0,92.7,217.797,217.797,105.412,0,0,0,0,0
A42065,130.443,112.178,84.366,111.139,84.366,126.795,88.273,108.986,106.026,88.273,0,64.211,114.617,0,0,0,0,91.724,213.901,213.901,105.412,0,0,0,0,0
A42067,159.638,161.886,87.684,132.921,87.684,159.638,87.684,161.886,132.921,87.684,0,146.085,118.996,0,0,0,0,101.957,225.927,225.927,105.412,0,0,0,0,0
A42069,132.248,114.363,100.411,121.062,100.411,132.248,100.411,114.363,121.062,100.411,0,72.740,115.762,0,0,0,0,74.136,197.754,197.754,105.412,0,0,0,0,0
A42071,203.969,98.108,128.85,139.126,128.85,203.969,128.85,98.108,139.126,128.85,0,352.876,122.449,0,0,0,0,99.585,221.488,221.488,105.412,0,0,0,0,0
A42075,183.825,100.473,116.359,136.003,116.359,183.825,116.359,100.473,136.003,116.359,0,274.666,122.494,0,0,0,0,90.755,222.122,222.122,105.412,0,0,0,0,0
A42079,136.811,114.281,84.142,109.002,84.142,136.811,84.142,114.281,109.002,84.142,0,74.686,117.817,0,0,0,0,96.336,200.857,200.857,103.095,0,0,0,0,0
A42081,148.558,124.639,92.139,112.412,92.139,148.558,92.139,124.639,112.412,92.139,0,87.514,122.337,0,0,0,0,98.048,219.858,219.858,105.412,0,0,0,0,0
A42083,123.143,114.79,104.162,116.901,102.385,122.909,103.922,112.935,116.901,94.498,0,45.283,128.026,0,0,0,0,75.791,213.743,213.743,105.412,0,0,0,0,0
A42087,186.293,137.933,114.959,126.921,114.959,186.293,114.959,137.933,126.921,114.959,0,155.993,116.431,0,0,0,0,95.849,217.48,217.48,105.412,0,0,0,0,0
A42093,153.802,99.765,93.104,126.467,93.104,153.802,93.104,99.765,126.467,93.104,0,109.611,115.208,0,0,0,0,100.391,220.039,220.039,105.412,0,0,0,0,0
A42097,168.497,100.391,94.65,134.565,94.65,168.497,94.65,100.391,134.565,94.65,0,112.132,114.407,0,0,0,0,102.287,220.764,220.764,105.412,0,0,0,0,0
A42099,156.477,126.324,84.323,127.527,84.323,156.477,84.323,126.324,127.527,84.323,0,118.044,118.403,0,0,0,0,98.945,222.756,222.756,105.412,0,0,0,0,0
A42105,140.544,104.139,106.172,120.486,106.172,140.544,106.172,104.139,120.486,106.172,0,64.650,128.55,0,0,0,0,91.499,222.439,222.439,105.412,0,0,0,0,0
A42107,166.818,127.455,80.132,123.135,80.132,166.818,80.132,127.455,123.135,80.132,0,112.405,115.353,0,0,0,0,99.379,208.217,208.217,105.412,0,0,0,0,0
A42109,160.603,129.999,84.028,129.148,84.028,160.603,84.028,129.999,129.148,84.028,0,156.519,118.983,0,0,0,0,102.694,223.798,223.798,105.412,0,0,0,0,0
A42111,138.553,121.553,92.262,127.867,92.262,136.801,95.35,127.859,125.914,95.35,0,100.348,120.916,0,0,0,0,97.33,214.468,214.468,105.412,0,0,0,0,0
A42113,138.759,124.943,105.089,117.432,105.089,138.759,105.089,124.943,117.432,105.089,0,80.724,123.769,0,0,0,0,63.401,222.915,222.915,105.412,0,0,0,0,0
A42115,134.089,110.051,115.132,119.881,115.132,134.089,115.132,110.051,119.881,115.132,0,62.853,121.804,0,0,0,0,75.138,222.439,222.439,105.412,0,0,0,0,0
A42117,138.483,120.95,100.828,122.269,100.828,138.483,100.828,120.95,122.269,100.828,0,61.585,129.849,0,0,0,0,81.981,222.915,222.915,105.412,0,0,0,0,0
A42119,167.457,108.706,103.025,120.405,103.025,167.457,103.025,108.706,120.405,103.025,0,210.871,118.383,0,0,0,0,100.637,225.972,225.972,105.412,0,0,0,0,0
A42127,134.544,127.184,116.521,120.009,116.521,134.544,116.521,127.184,120.009,116.521,0,70.953,126.37,0,0,0,0,54.487,141.386,141.386,105.412,0,0,0,0,0
A42131,140.822,124.088,104.425,118.066,104.425,140.822,104.425,124.088,118.066,104.425,0,63.776,125.609,0,0,0,0,85.189,218.839,218.839,105.412,0,0,0,0,0
A42133,169.139,121.464,96.295,129.17,96.295,169.139,96.295,121.464,129.17,96.295,0,112.314,124.389,0,0,0,0,96.655,217.049,217.049,105.412,0,0,0,0,0
A51001,135.88,84.961,101.716,120.978,101.716,0,110.778,87.544,113.448,110.778,139.59,61.046,135.699,0,0,0,0,103.355,218.68,218.68,105.412,0,0,0,0,0
A51003,132.317,182.338,92.201,115.55,92.201,0,96.099,181.24,116.631,96.099,126.622,30.183,127.214,0,0,0,0,56.806,200.019,200.019,105.412,0,0,0,0,0
A51005,130.663,143.987,115.503,101.976,115.503,0,118.323,157.487,102.163,118.323,123.484,15.109,123.221,0,0,0,0,78.479,207.741,207.741,105.412,0,0,0,0,0
A51007,165.543,87.016,103.515,122.215,103.515,0,108.005,86.859,127.942,108.005,124.695,60.362,120.435,0,0,0,0,100.79,225.995,225.995,105.412,0,0,0,0,0
A51009,114.778,155.142,109.309,116.765,109.309,0,120.751,161.44,122.626,120.751,129.698,27.703,127.018,0,0,0,0,76.314,192.07,192.07,105.412,0,0,0,0,0
A51011,125.895,91.991,81.914,110.165,81.914,0,84.658,92.587,116.044,84.658,120.282,35.503,118.191,0,0,0,0,92.642,223.368,223.368,105.412,0,0,0,0,0
A51013,152.141,0,0,146.631,0,0,0,0,0,0,0,12.185,85.647,0,0,0,0,65.559,209.191,209.191,0,0,0,0,0,0
A51015,156.246,115.644,108.781,134.607,108.781,0,115.455,112.233,139.225,115.455,141.771,45.744,139.517,0,0,0,0,69.306,219.541,219.541,105.412,0,0,0,0,0
A51017,122.984,115.326,111.87,108.573,111.87,0,121.28,113.29,106.95,121.28,129.761,19.597,127.012,0,0,0,0,58.272,224.931,224.931,105.412,0,0,0,0,0
A51019,121.825,146.848,87.731,117.647,87.731,0,100.037,150.327,124.531,100.037,125.979,34.410,124.333,0,0,0,0,72.223,189.85,189.85,105.412,0,0,0,0,0
A51023,150.606,163.286,100.116,108.504,100.116,0,101.04,155.265,111.854,101.04,133.049,29.802,130.827,0,0,0,0,63.834,208.489,208.489,105.412,0,0,0,0,0
A51029,127.207,92.566,72.389,120.677,72.389,0,80.162,100.225,125.956,80.162,114.71,42.425,112.44,0,0,0,0,77.168,226.471,226.471,105.412,0,0,0,0,0
A51031,117.389,86.644,77.593,107.399,77.593,0,81.268,95.23,106.848,81.268,125.32,33.689,121.218,0,0,0,0,95.292,192.659,192.659,105.412,0,0,0,0,0
A51033,153.966,112.252,113.774,114.595,113.774,0,118.234,115.164,109.231,118.234,122.462,30.956,126.063,0,0,0,0,93.781,213.222,213.222,105.412,0,0,0,0,0
A51036,129.397,93.22,120.834,109.555,120.834,0,126.518,167.732,108.125,126.518,121.983,41.930,129.375,0,0,0,0,104.833,226.471,226.471,105.412,0,0,0,0,0
A51041,113.367,99.491,90.583,101.564,90.583,0,98.768,105.829,101.215,98.768,121.132,43.762,119.895,0,0,0,0,83.967,155.517,155.517,105.412,0,0,0,0,0
A51043,146.77,184.043,105.231,113.11,105.231,0,115.888,180.044,116.997,115.888,129.375,33.874,127.239,0,0,0,0,81.173,216.211,216.211,105.412,0,0,0,0,0
A51045,116.145,139.768,109.462,115.241,109.462,0,118.451,151.694,120.936,118.451,126.341,23.711,124.683,0,0,0,0,66.578,226.471,226.471,105.412,0,0,0,0,0
A51047,155.327,121.16,101.006,124.592,101.006,0,106.84,115.809,124.982,106.84,128.773,41.641,125.167,0,0,0,0,75.057,222.009,222.009,105.412,0,0,0,0,0
A51049,136.125,97.101,91.235,120.225,91.235,0,93.555,96.252,130.897,93.555,119.083,56.200,116.213,0,0,0,0,88.161,221.103,221.103,105.412,0,0,0,0,0
A51053,154.815,63.22,89.166,105.384,89.166,0,88.058,88.703,102.783,88.058,120.825,51.307,120.79,0,0,0,0,99.204,217.638,217.638,105.412,0,0,0,0,0
A51057,137.795,114.644,113.237,126.26,113.237,0,118.619,117.524,132.246,118.619,138.517,40.990,132.112,0,0,0,0,105.144,217.751,217.751,105.412,0,0,0,0,0
A51059,116.51,114.858,95.714,106.885,95.714,0,102.227,125.347,101.249,102.227,129.078,57.615,124.238,0,0,0,0,93.198,181.743,181.743,105.412,0,0,0,0,0
A51061,151.26,172.179,102.613,122.92,102.613,0,113.593,179.609,125.028,113.593,137.316,35.674,134.551,0,0,0,0,76.832,211.116,211.116,105.412,0,0,0,0,0
A51065,127.513,116.743,84.076,117.659,84.076,0,67.893,113.683,118.65,67.893,124.447,29.969,120.366,0,0,0,0,75.616,164.44,164.44,105.412,0,0,0,0,0
A51069,158.556,194.223,85.06,108.406,85.06,0,93.894,193.614,115.089,93.894,128.043,29.465,126.849,0,0,0,0,66.815,206.405,206.405,105.412,0,0,0,0,0
A51071,114.82,114.877,103.187,115.589,103.187,0,104.109,122.413,125.589,104.109,148.436,21.978,129.867,0,0,0,0,86.543,206.971,206.971,105.412,0,0,0,0,0
A51073,146.322,131.125,107.185,108.228,107.185,0,109.958,118.358,113.739,109.958,122.192,46.785,117.689,0,0,0,0,96.107,202.419,202.419,105.412,0,0,0,0,0
A51075,122.175,118.208,96.757,123.926,96.757,0,104.554,123.584,127.891,104.554,119.571,41.796,120.99,0,0,0,0,85.632,215.102,215.102,105.412,0,0,0,0,0
A51079,122.856,137.595,102.178,126.437,102.178,0,118.958,140.507,139.623,118.958,123.939,41.188,118.798,0,0,0,0,70.851,195.965,195.965,0,0,0,0,0,0
A51085,155.976,91.327,108.355,129.631,108.355,0,117.709,95.021,135.248,117.709,121.645,48.976,120.926,0,0,0,0,90.722,195.444,195.444,105.412,0,0,0,0,0
A51087,154.346,104.614,104.137,107.85,104.137,0,111.172,111.751,111.457,111.172,113.136,37.538,115.553,0,0,0,0,86.437,197.437,197.437,105.412,0,0,0,0,0
A51091,137.166,104.424,150.07,121.196,145.836,0,156.414,104.473,127.608,148.477,134.968,16.286,132.172,0,0,0,0,61.016,226.471,226.471,105.412,0,0,0,0,0
A51093,164.858,53.589,97.521,111.264,97.521,0,96.944,27.245,120.971,96.944,127.393,77.073,124.594,0,0,0,0,104.805,212.905,212.905,105.412,0,0,0,0,0
A51095,133.667,123.285,102.497,115.336,102.497,0,91.353,133.463,109.96,91.353,117.502,51.854,113.018,0,0,0,0,86.571,172.231,172.231,105.412,0,0,0,0,0
A51097,121.604,100.73,104.419,103.742,104.419,0,108.563,87.857,107.919,108.563,127.391,29.283,119.275,0,0,0,0,104.849,225.474,225.474,105.412,0,0,0,0,0
A51099,127.257,121.903,108.326,106.457,108.326,0,115.794,119.171,102.896,115.794,136.811,39.384,137.608,0,0,0,0,94.144,214.604,214.604,105.412,0,0,0,0,0
A51101,154.991,113.177,110.854,115.514,110.854,0,114.979,91.82,116.775,114.979,137.795,44.764,134.387,0,0,0,0,102.038,207.379,207.379,105.412,0,0,0,0,0
A51103,135.775,129.621,114.708,143.16,114.708,0,126.213,141.82,150.186,126.213,122.765,31.732,122.765,0,0,0,0,105.277,202.533,202.533,0,0,0,0,0,0
A51107,145.812,140.852,90.81,120.454,90.81,0,99.156,128.118,118.17,99.156,124.083,36.292,121.663,0,0,0,0,83.722,218.34,218.34,105.412,0,0,0,0,0
A51109,141.754,109.633,91.523,124.479,91.523,0,104.392,112.778,127.626,104.392,122.532,45.067,119.385,0,0,0,0,86.562,212.996,212.996,105.412,0,0,0,0,0
A51113,172.483,165.036,111.843,138.431,111.843,0,122.11,164.928,147.677,122.11,134.077,45.366,129.789,0,0,0,0,80.947,226.199,226.199,105.412,0,0,0,0,0
A51115,142.498,109.303,91.31,111.436,91.31,0,93.649,92.438,119.219,93.649,125.265,36.686,121.357,0,0,0,0,104.471,193.564,193.564,0,0,0,0,0,0
