landseg,alf,hom,hwm,hyw,lwm,nal,nhi,nho,nhy,nlo,npa,pas,trp,bar,ext,for,hvf,hyo,puh,pul,urs,afo,imh,iml,wat,css
A51683,0,0,0,0,0,0,0,0,0,0,0,10.306,0,0,0,0,0,0,220.696,220.696,0,0,0,0,0,0
A51685,0,0,0,0,0,0,0,0,0,0,0,10.493,0,0,0,0,0,0,215.238,215.238,0,0,0,0,0,0
A51700,0,0,0,0,0,0,0,0,0,0,0,8.523,0,0,0,0,0,0,206.473,206.473,0,0,0,0,0,0
A51710,0,0,0,0,0,0,0,0,0,0,0,9.921,0,0,0,0,0,0,224.5,224.5,0,0,0,0,0,0
A51730,0,0,0,0,0,0,0,0,0,0,0,9.237,0,0,0,0,0,0,199.294,199.294,0,0,0,0,0,0
A51735,0,0,0,0,0,0,0,0,0,0,0,5.060,0,0,0,0,0,0,210.187,210.187,0,0,0,0,0,0
A51740,0,0,0,0,0,0,0,0,0,0,0,10.219,0,0,0,0,0,0,214.671,214.671,0,0,0,0,0,0
A51760,0,0,0,0,0,0,0,0,0,0,0,10.744,0,0,0,0,0,0,196.984,196.984,0,0,0,0,0,0
A51790,0,0,0,0,0,0,0,0,0,0,0,7.946,0,0,0,0,0,0,199.928,199.928,0,0,0,0,0,0
A51800,135.222,55.125,99.175,123.889,99.175,0,97.01,35.529,118.523,97.01,136.048,41.473,131.742,0,0,0,0,97.029,210.686,210.686,105.412,0,0,0,0,0
A51810,136.311,69,130.503,107.048,130.503,0,141.539,71.229,0,141.539,103.619,69.224,123.882,0,0,0,0,93.125,213.924,213.924,105.412,0,0,0,0,0
A51820,0,0,0,0,0,0,0,0,0,0,0,8.540,0,0,0,0,0,0,218.204,218.204,0,0,0,0,0,0
A51830,0,0,0,0,0,0,0,0,0,0,0,8.292,0,0,0,0,0,0,197.867,197.867,0,0,0,0,0,0
A51840,0,0,0,0,0,0,0,0,0,0,0,8.198,0,0,0,0,0,0,217.14,217.14,0,0,0,0,0,0
A54003,153.79,193.853,87.87,106.939,87.87,153.79,87.87,193.853,106.939,87.87,0,29.769,125.436,0,0,0,0,83.768,199.453,199.453,105.412,0,0,0,0,0
A54023,131.203,109.901,114.317,116.369,114.317,131.203,114.317,109.901,116.369,114.317,0,37.325,140.433,0,0,0,0,62.628,225.519,225.519,105.412,0,0,0,0,0
A54027,120.295,187.912,95.366,119.311,95.366,120.295,95.366,187.912,119.311,95.366,0,23.370,131.179,0,0,0,0,76.749,225.338,225.338,105.412,0,0,0,0,0
