landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
B51113,0,0.2475,0.375,0.443,0.0917,0.7147,1.0125,0.6213,0.18,0.186,0,0,0.621,0.1008,0.1635,0.1634,11.1027,8.505,0,0.198,0.497,0.5718,0.1488,0.4968,0.0806
B51125,0,0.2475,0.375,0.443,0.0804,0.7163,1.0125,0.5268,0.18,0.1751,0,0,0.5268,0.0865,0.1864,0.1864,9.5285,8.505,0,0.198,0.4215,0.5731,0.1401,0.4215,0.0692
B51139,0,0.2475,0.375,0.443,0.1016,0.6992,1.0125,0.7026,0.18,0.296,0,0,0.7021,0.1296,0.1161,0.1161,14.2793,8.505,0,0.198,0.562,0.5593,0.2368,0.5617,0.1037
B51157,0,0.2475,0.375,0.443,0.0913,0.7286,1.0125,0.5359,0.18,0.1751,0,0,0.5359,0.0868,0.1552,0.1552,9.5623,8.505,0,0.198,0.4287,0.5829,0.1401,0.4287,0.0694
B51163,0,0.2475,0.375,0.443,0.0717,0.7089,1.0125,0.5011,0.18,0.1904,0,0,0.5012,0.0883,0.1,0.0999,9.7299,8.505,0,0.198,0.4009,0.5672,0.1523,0.4009,0.0706
B51165,0,0.2475,0.375,0.443,0.0854,0.7115,1.0125,0.6796,0.18,0.3107,0,0,0.6793,0.1371,0.0958,0.0958,15.1098,8.505,0,0.198,0.5437,0.5692,0.2486,0.5434,0.1097
B51171,0,0.2475,0.375,0.443,0.0886,0.7308,1.0125,0.5016,0.18,0.2259,0,0,0.5016,0.1049,0.1355,0.1354,11.5608,8.505,0,0.198,0.4013,0.5847,0.1807,0.4013,0.0839
B51187,0,0.2475,0.375,0.443,0.0842,0.7146,1.0125,0.4851,0.18,0.1672,0,0,0.4852,0.087,0.0987,0.0987,9.5837,8.505,0,0.198,0.3881,0.5717,0.1338,0.3882,0.0696
B54023,0,0.2475,0.375,0.443,0.0811,0.7541,1.0125,0.6092,0.18,0.1443,0,0,0.609,0.0925,0.0768,0.0765,10.1973,8.505,0,0.198,0.4874,0.6033,0.1154,0.4872,0.074
B54031,0,0.2475,0.375,0.443,0.0827,0.737,1.0125,0.5771,0.18,0.1856,0,0,0.577,0.1151,0.0765,0.0762,12.6821,8.505,0,0.198,0.4617,0.5896,0.1484,0.4616,0.0921
B54057,0,0.2475,0.375,0.443,0.0724,0.7455,1.0125,0.5932,0.18,0.1306,0,0,0.5931,0.0814,0.0662,0.0661,8.9743,8.505,0,0.198,0.4746,0.5964,0.1045,0.4745,0.0651
B54071,0,0.2475,0.375,0.443,0.079,0.7514,1.0125,0.5964,0.18,0.1622,0,0,0.5962,0.0999,0.1155,0.1155,11.0142,8.505,0,0.198,0.4771,0.6011,0.1297,0.4769,0.08
C42009,0,0.2475,0.375,0.443,0.0895,0.7273,1.0125,0.5643,0.18,0.1178,0,0,0.5642,0.1299,0.1148,0.1148,14.3165,8.505,0,0.198,0.4514,0.5818,0.0942,0.4513,0.1039
C51015,0,0.2475,0.375,0.443,0.0725,0.6635,1.0125,0.541,0.18,0.226,0,0,0.541,0.0994,0.1257,0.1257,10.9514,8.505,0,0.198,0.4328,0.5308,0.1808,0.4328,0.0795
C51165,0,0.2475,0.375,0.443,0.0986,0.7201,1.0125,0.6866,0.18,0.3126,0,0,0.6862,0.1381,0.1242,0.1242,15.2159,8.505,0,0.198,0.5493,0.5761,0.2501,0.5489,0.1105
end,,,,,,,,,,,,,,,,,,,,,,,,,
