landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A54023,13.6228,0.0334,0.3231,0.1722,0.0031,0.1225,0.0321,0.0902,0.0189,0.1116,0.1075,0.1075,0.0919,0.0289,0.038,0.0378,0.3504,4.1962,0.1075,0.0301,0.2908,0.155,0.0028,0.1103,0.0289
A54027,3.8903,0.0334,0.3231,0.1722,0.0031,0.1218,0.0321,0.08,0.0189,0.0293,0.0783,0.0783,0.0815,0.0236,0.0162,0.016,0.2863,4.1962,0.0783,0.0301,0.2908,0.155,0.0028,0.1096,0.0289
A54031,32.0018,0.0334,0.3231,0.1722,0.0031,0.1217,0.0321,0.0988,0.0189,0.2741,0.081,0.081,0.1007,0.0421,0.0225,0.0223,0.5115,4.1962,0.081,0.0301,0.2908,0.155,0.0028,0.1095,0.0289
A54037,7.0662,0.0334,0.3231,0.1722,0.0031,0.122,0.0321,0.0761,0.0189,0.0242,0.0812,0.0812,0.0776,0.027,0.0122,0.0121,0.3274,4.1962,0.0812,0.0301,0.2908,0.155,0.0028,0.1098,0.0289
A54057,3.2521,0.0334,0.3231,0.1722,0.0031,0.1196,0.0321,0.0828,0.0189,0.0435,0.0912,0.0912,0.0844,0.0228,0.0233,0.0231,0.2764,4.1962,0.0912,0.0301,0.2908,0.155,0.0028,0.1077,0.0289
A54063,2.6848,0.0334,0.3231,0.1722,0.0031,0.119,0.0321,0.0815,0.0189,0.0272,0.0826,0.0826,0.0831,0.0249,0.0217,0.0215,0.3021,4.1962,0.0826,0.0301,0.2908,0.155,0.0028,0.1071,0.0289
A54065,1.2745,0.0334,0.3231,0.1722,0.0031,0.1225,0.0321,0.0845,0.0189,0.0337,0.083,0.083,0.0862,0.0231,0.0223,0.0223,0.2805,4.1962,0.083,0.0301,0.2908,0.155,0.0028,0.1102,0.0289
A54071,20.8968,0.0334,0.3231,0.1722,0.0031,0.1242,0.0321,0.0972,0.0189,0.1902,0.0756,0.0756,0.099,0.0342,0.0201,0.0199,0.4156,4.1962,0.0756,0.0301,0.2908,0.155,0.0028,0.1118,0.0289
A54077,1.959,0.0334,0.3231,0.1722,0.0031,0.1317,0.0321,0.0759,0.0189,0.0223,0.1229,0.1229,0.0789,0.0257,0.067,0.0669,0.3122,4.1962,0.1229,0.0301,0.2908,0.155,0.0028,0.1185,0.0289
A54093,1.0152,0.0334,0.3231,0.1722,0.0031,0.1249,0.0321,0.0869,0.0189,0.0343,0.1323,0.1323,0.0941,0.0223,0.0779,0.0775,0.2709,4.1962,0.1323,0.0301,0.2908,0.155,0.0028,0.1124,0.0289
B24001,1.5044,0.0334,0.3231,0.1722,0.0031,0.119,0.0321,0.0946,0.0189,0.0288,0.0916,0.0916,0.0964,0.0273,0.0246,0.0245,0.331,4.1962,0.0916,0.0301,0.2908,0.155,0.0028,0.1071,0.0289
B24021,3.3868,0.0334,0.3231,0.1722,0.0031,0.1185,0.0321,0.0785,0.0189,0.0146,0.0924,0.0924,0.0801,0.0591,0.0185,0.0184,0.7172,4.1962,0.0924,0.0301,0.2908,0.155,0.0028,0.1066,0.0289
B42001,14.6839,0.0334,0.3231,0.1722,0.0031,0.1215,0.0321,0.0853,0.0189,0.0634,0.1019,0.1019,0.0869,0.0465,0.0406,0.0406,0.5649,4.1962,0.1019,0.0301,0.2908,0.155,0.0028,0.1093,0.0289
B42009,3.7522,0.0334,0.3231,0.1722,0.0031,0.1213,0.0321,0.0831,0.0189,0.0254,0.0863,0.0863,0.0847,0.0411,0.0293,0.0291,0.4995,4.1962,0.0863,0.0301,0.2908,0.155,0.0028,0.1092,0.0289
B42015,4.1858,0.0334,0.3231,0.1722,0.0031,0.1217,0.0321,0.0732,0.0189,0.0231,0.0924,0.0924,0.0746,0.0426,0.0319,0.0316,0.5174,4.1962,0.0924,0.0301,0.2908,0.155,0.0028,0.1095,0.0289
