 ,alf,hom,hwm,hyw,lwm,nal,nhi,nho,nhy,nlo,npa,pas,trp,bar,ext,for,hvf,hyo,puh,pul,urs,afo,imh,iml,wat,css
A24510,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,32.469,32.469,0,0,0,0,0,0
A36003,21.856,15.52,16.702,18.735,16.702,21.807,17.702,16.21,18.807,17.702,0,9.712,18.809,0,0,0,0,17.668,33.07,33.07,15.812,0,0,0,0,0
A36007,20.019,21.953,18.953,17.356,18.953,17.722,19.103,21.354,17.033,19.103,0,9.501,19.747,0,0,0,0,19.641,30.349,30.349,15.812,0,0,0,0,0
A36015,22.212,26.308,15.327,16.314,15.261,19.184,15.522,23.844,16.02,15.584,0,7.504,18.597,0,0,0,0,17.56,32.85,32.85,15.812,0,0,0,0,0
A36017,22.155,17.484,18.97,19.263,18.97,21.433,19.445,15.525,18.848,19.445,0,10.094,19.878,0,0,0,0,21.257,33.536,33.536,15.812,0,0,0,0,0
A36023,22.354,17.168,18.564,20.871,18.564,22.07,18.712,17.662,20.098,18.712,0,10.969,20.581,0,0,0,0,18.806,33.682,33.682,15.812,0,0,0,0,0
A36025,21.873,20.37,20.481,18.83,20.794,20.504,20.043,20.408,17.096,20.414,0,8.674,19.932,0,0,0,0,23.502,33.128,33.128,15.812,0,0,0,0,0
A36043,21.109,17.865,17.916,19.236,17.916,20.866,18.609,19.262,18.419,18.609,0,11.645,19.679,0,0,0,0,18.637,32.218,32.218,15.812,0,0,0,0,0
A36051,25.143,31.704,15.545,18.16,15.545,24.688,15.835,31.269,18.634,15.835,0,13.958,18.329,0,0,0,0,16.784,33.458,33.458,15.812,0,0,0,0,0
A36053,23.99,21.513,17.12,19.254,17.12,22.887,18.141,22.599,19.219,18.141,0,13.224,20.049,0,0,0,0,19.503,31.946,31.946,15.812,0,0,0,0,0
A36065,23.616,15.228,16.806,19.795,16.806,22.558,17.629,14.749,20.707,17.629,0,11.503,19.025,0,0,0,0,20.398,31.868,31.868,15.812,0,0,0,0,0
A36067,24.235,26.239,15.655,19.036,15.655,24.119,16.509,24.858,20.094,16.509,0,19.846,18.733,0,0,0,0,16.501,31.732,31.732,15.812,0,0,0,0,0
A36069,23.795,25.95,14.609,17.232,14.609,23.678,14.747,27,17.367,14.747,0,17.212,18.3,0,0,0,0,16.328,33.41,33.41,15.812,0,0,0,0,0
A36077,21.348,18.029,18.244,18.474,18.244,21.352,18.294,18.69,16.767,18.294,0,9.414,19.879,0,0,0,0,19.168,32.51,32.51,15.812,0,0,0,0,0
A36095,19.8,25.18,18.465,17.816,18.465,18.7,18.714,25.318,17.193,18.714,0,10.569,19.199,0,0,0,0,21.491,33.617,33.617,15.812,0,0,0,0,0
A36097,19.892,25.708,14.921,16.597,14.921,19.67,15.955,25.294,16.126,15.955,0,8.232,20.077,0,0,0,0,17.909,33.529,33.529,15.812,0,0,0,0,0
A36101,21.017,24.06,14.591,17.841,14.591,20.892,15.097,23.402,17.487,15.097,0,8.087,19.326,0,0,0,0,17.946,33.023,33.023,15.812,0,0,0,0,0
A36107,19.314,22.938,16.401,17.226,16.401,18.893,16.443,22.275,16.993,16.443,0,10.274,19.601,0,0,0,0,18.059,32.408,32.408,15.812,0,0,0,0,0
A36109,24.195,31.138,15.347,18.786,15.347,24.012,15.714,30.938,18.338,15.714,0,14.419,18.549,0,0,0,0,17.101,32.455,32.455,15.812,0,0,0,0,0
A36123,21.712,27.787,14.797,16.565,14.797,20.36,14.842,27.28,16.704,14.842,0,14.223,17.192,0,0,0,0,16.795,32.523,32.523,15.812,0,0,0,0,0
A42001,24.137,29.018,11.619,19.858,11.619,24.137,11.619,29.018,19.858,11.619,0,21.471,18.772,0,0,0,0,18.042,33.125,33.125,15.812,0,0,0,0,0
A42009,24.026,26.65,15.769,17.433,15.769,24.026,15.769,26.65,17.433,15.769,0,17.476,18.354,0,0,0,0,17.154,33.325,33.325,15.812,0,0,0,0,0
A42011,26.762,24.755,14.759,20.987,14.759,26.762,14.759,24.755,20.987,14.759,0,46.762,18.746,0,0,0,0,17.657,32.279,32.279,15.664,0,0,0,0,0
