landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A10001,0,4.95,7.5,8.8594,1.0396,24.43,20.25,7.4068,3.6,1.4718,0,0,7.4136,4.0569,1.9872,1.9868,22.3534,170.1,0,3.96,5.9255,19.544,1.1774,5.9309,3.2455
A10003,0,4.95,7.5,8.8594,1.109,15.648,20.25,7.2045,3.6,1.1114,0,0,7.2117,3.4111,3.8087,3.8082,18.7952,170.1,0,3.96,5.7636,12.5184,0.8891,5.7694,2.7289
A10005,0,4.95,7.5,8.8594,1.1856,26.5104,20.25,8.3708,3.6,1.7734,0,0,8.3754,4.0468,3.1614,3.1615,22.2978,170.1,0,3.96,6.6966,21.2083,1.4187,6.7003,3.2374
A11001,0,4.95,7.5,8.8594,1.2746,12.7123,20.25,7.5036,3.6,1.1938,0,0,7.4863,1.4988,1.8825,1.8785,8.2586,170.1,0,3.96,6.0029,10.1698,0.9551,5.989,1.1991
A24001,0,4.95,7.5,8.8594,0.7741,14.3777,20.25,11.4329,3.6,2.4118,0,0,11.4304,1.8485,1.7304,1.7286,10.185,170.1,0,3.96,9.1463,11.5021,1.9295,9.1443,1.4788
A24003,0,4.95,7.5,8.8594,1.1591,12.2033,20.25,7.3792,3.6,1.4196,0,0,7.386,2.4386,3.5988,3.5985,13.4364,170.1,0,3.96,5.9033,9.7627,1.1357,5.9088,1.9508
A24005,0,4.95,7.5,8.8594,1.1416,16.4334,20.25,8.2436,3.6,2.6845,0,0,8.2485,2.8217,2.5689,2.568,15.5477,170.1,0,3.96,6.5949,13.1467,2.1476,6.5988,2.2574
A24009,0,4.95,7.5,8.8594,0.9916,14.8181,20.25,7.9991,3.6,1.5278,0,0,8.0045,2.0194,2.2502,2.2496,11.1267,170.1,0,3.96,6.3992,11.8545,1.2222,6.4036,1.6155
A24011,0,4.95,7.5,8.8594,1.1517,18.0032,20.25,9.0219,3.6,1.6815,0,0,9.0249,3.4789,3.7647,3.765,19.1689,170.1,0,3.96,7.2175,14.4026,1.3452,7.2199,2.7831
A24013,0,4.95,7.5,8.8594,1.094,22.6298,20.25,8.7388,3.6,2.5695,0,0,8.7425,3.1226,2.4054,2.4047,17.2058,170.1,0,3.96,6.9911,18.1038,2.0556,6.994,2.4981
A24015,0,4.95,7.5,8.8594,1.0894,16.0587,20.25,8.5769,3.6,2.6423,0,0,8.581,2.9861,2.2638,2.2628,16.4535,170.1,0,3.96,6.8616,12.8469,2.1139,6.8648,2.3889
A24017,0,4.95,7.5,8.8594,0.964,12.2094,20.25,7.4713,3.6,1.3127,0,0,7.478,2.2122,2.3479,2.3464,12.1894,170.1,0,3.96,5.9771,9.7675,1.0502,5.9824,1.7698
A24019,0,4.95,7.5,8.8594,0.8951,17.1039,20.25,6.993,3.6,1.5978,0,0,7.0008,2.487,3.2528,3.2529,13.7033,170.1,0,3.96,5.5944,13.6831,1.2782,5.6006,1.9896
A24021,0,4.95,7.5,8.8594,1.0615,14.5511,20.25,9.0039,3.6,2.4933,0,0,9.007,3.5361,2.3108,2.3099,19.4838,170.1,0,3.96,7.2031,11.6409,1.9947,7.2056,2.8289
A24023,0,4.95,7.5,8.8594,1.0371,15.2486,20.25,10.9098,3.6,2.4557,0,0,10.9085,2.2952,4.185,4.1847,12.6468,170.1,0,3.96,8.7278,12.1989,1.9646,8.7268,1.8362
A24025,0,4.95,7.5,8.8594,1.0865,16.5642,20.25,8.425,3.6,2.5277,0,0,8.4295,2.9082,3.1365,3.1359,16.0242,170.1,0,3.96,6.74,13.2514,2.0222,6.7436,2.3266
A24027,0,4.95,7.5,8.8594,1.1486,11.8008,20.25,8.3909,3.6,2.6739,0,0,8.3955,2.7596,2.541,2.5407,15.2053,170.1,0,3.96,6.7127,9.4407,2.1392,6.7164,2.2077
A24029,0,4.95,7.5,8.8594,1.0812,14.9975,20.25,9.1339,3.6,1.2055,0,0,9.1367,2.8405,3.5853,3.5851,15.6513,170.1,0,3.96,7.3071,11.998,0.9644,7.3093,2.2724
A24031,0,4.95,7.5,8.8594,1.13,11.4562,20.25,7.4072,3.6,2.5675,0,0,7.414,2.8425,2.1203,2.1194,15.6623,170.1,0,3.96,5.9258,9.1649,2.054,5.9312,2.274
