landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A51830,0,0.056,0.972,0.101,0.012,0.168,0.285,0.508,0.041,0.096,0,0,0.477,0.009,0.446,0.446,0.496,1.945,0,0.045,0.406,0.134,0.076,0.381,0.007
A51840,0,0.056,0.972,0.101,0.012,0.229,0.285,0.643,0.041,0.095,0,0,0.605,0.009,0.202,0.202,0.495,1.945,0,0.045,0.514,0.183,0.076,0.484,0.007
A54003,0,0.056,0.972,0.101,0.012,0.222,0.285,0.632,0.041,0.067,0,0,0.598,0.012,0.236,0.236,0.627,1.945,0,0.045,0.506,0.177,0.054,0.478,0.009
A54023,0,0.056,0.972,0.101,0.013,0.229,0.285,0.749,0.041,0.096,0,0,0.707,0.013,0.563,0.563,0.675,1.945,0,0.045,0.599,0.183,0.077,0.566,0.01
A54027,0,0.056,0.972,0.101,0.012,0.22,0.285,0.669,0.041,0.068,0,0,0.632,0.011,0.215,0.214,0.591,1.945,0,0.045,0.535,0.176,0.054,0.505,0.009
A54031,0,0.056,0.972,0.101,0.012,0.223,0.285,0.737,0.041,0.128,0,0,0.695,0.016,0.294,0.294,0.854,1.945,0,0.045,0.589,0.179,0.102,0.556,0.013
A54037,0,0.056,0.972,0.101,0.012,0.222,0.285,0.561,0.041,0.063,0,0,0.529,0.012,0.204,0.204,0.661,1.945,0,0.045,0.449,0.178,0.051,0.423,0.01
A54057,0,0.056,0.972,0.101,0.012,0.225,0.285,0.713,0.041,0.078,0,0,0.674,0.011,0.321,0.32,0.581,1.945,0,0.045,0.571,0.18,0.062,0.539,0.009
A54063,0,0.056,0.972,0.101,0.011,0.222,0.285,0.695,0.041,0.064,0,0,0.657,0.011,0.295,0.294,0.612,1.945,0,0.045,0.556,0.178,0.051,0.526,0.009
A54065,0,0.056,0.972,0.101,0.012,0.223,0.285,0.702,0.041,0.071,0,0,0.664,0.011,0.287,0.287,0.588,1.945,0,0.045,0.562,0.179,0.057,0.531,0.009
