rseg,lseg,landuse_type,shortName,Acres
ZZ0_9999_9999,B42009,hom,ConPlan,0.05752413
ZZ0_9999_9999,B42009,hwm,ConPlan,0.60322601
ZZ0_9999_9999,B42009,lwm,ConPlan,0.77113432
ZZ0_9999_9999,B42009,nhi,ConPlan,5.1823544E-4
ZZ0_9999_9999,B42009,nho,ConPlan,0
ZZ0_9999_9999,B42009,nlo,ConPlan,5.1823544E-4
ZZ0_9999_9999,B42009,npa,ConPlan,0
ZZ0_9999_9999,B42009,pas,ConPlan,0.19814654
ZZ0_9999_9999,A42011,hom,ConPlan,97.602608
ZZ0_9999_9999,A42011,hwm,ConPlan,1439.6329
ZZ0_9999_9999,A42011,lwm,ConPlan,1534.2555
ZZ0_9999_9999,A42011,nhi,ConPlan,29.083374
ZZ0_9999_9999,A42011,nho,ConPlan,1.9717605
ZZ0_9999_9999,A42011,nlo,ConPlan,30.994917
ZZ0_9999_9999,A42011,npa,ConPlan,0
ZZ0_9999_9999,A42011,pas,ConPlan,55.988201
ZZ0_9999_9999,A42023,hom,ConPlan,0
ZZ0_9999_9999,A42023,hwm,ConPlan,0
ZZ0_9999_9999,A42023,lwm,ConPlan,0
ZZ0_9999_9999,A42023,nhi,ConPlan,0
ZZ0_9999_9999,A42023,nho,ConPlan,0
ZZ0_9999_9999,A42023,nlo,ConPlan,0
ZZ0_9999_9999,A42023,npa,ConPlan,0
ZZ0_9999_9999,A42023,pas,ConPlan,0
ZZ0_9999_9999,A42025,hom,ConPlan,0.47721088
ZZ0_9999_9999,A42025,hwm,ConPlan,4.7960811
ZZ0_9999_9999,A42025,lwm,ConPlan,0
ZZ0_9999_9999,A42025,nhi,ConPlan,4.6647336E-5
ZZ0_9999_9999,A42025,nho,ConPlan,4.3191976E-6
ZZ0_9999_9999,A42025,nlo,ConPlan,0
ZZ0_9999_9999,A42025,npa,ConPlan,0
ZZ0_9999_9999,A42025,pas,ConPlan,0.98363835
ZZ0_9999_9999,A42033,hom,ConPlan,22.008362
ZZ0_9999_9999,A42033,hwm,ConPlan,370.133
ZZ0_9999_9999,A42033,lwm,ConPlan,108.65126
ZZ0_9999_9999,A42033,nhi,ConPlan,1.6418809E-2
ZZ0_9999_9999,A42033,nho,ConPlan,8.4199023E-4
ZZ0_9999_9999,A42033,nlo,ConPlan,4.6309461E-3
ZZ0_9999_9999,A42033,npa,ConPlan,0
ZZ0_9999_9999,A42033,pas,ConPlan,74.598862
ZZ0_9999_9999,A42047,hom,ConPlan,18.553278
ZZ0_9999_9999,A42047,hwm,ConPlan,163.04874
ZZ0_9999_9999,A42047,lwm,ConPlan,3.2649577
ZZ0_9999_9999,A42047,nhi,ConPlan,4.1769184E-2
ZZ0_9999_9999,A42047,nho,ConPlan,4.7931848E-3
ZZ0_9999_9999,A42047,nlo,ConPlan,7.9886417E-4
ZZ0_9999_9999,A42047,npa,ConPlan,0
ZZ0_9999_9999,A42047,pas,ConPlan,30.531738
ZZ0_9999_9999,A42063,hom,ConPlan,60.076031
ZZ0_9999_9999,A42063,hwm,ConPlan,570.61877
ZZ0_9999_9999,A42063,lwm,ConPlan,353.12009
ZZ0_9999_9999,A42063,nhi,ConPlan,0
ZZ0_9999_9999,A42063,nho,ConPlan,0
ZZ0_9999_9999,A42063,nlo,ConPlan,0
ZZ0_9999_9999,A42063,npa,ConPlan,0
ZZ0_9999_9999,A42063,pas,ConPlan,108.58833
ZZ0_9999_9999,A42065,hom,ConPlan,0.3581253
ZZ0_9999_9999,A42065,hwm,ConPlan,2.297756
ZZ0_9999_9999,A42065,lwm,ConPlan,6.8932686
ZZ0_9999_9999,A42065,nhi,ConPlan,0
ZZ0_9999_9999,A42065,nho,ConPlan,0
ZZ0_9999_9999,A42065,nlo,ConPlan,0
ZZ0_9999_9999,A42065,npa,ConPlan,0
ZZ0_9999_9999,A42065,pas,ConPlan,3.838793
ZZ0_9999_9999,A42069,hom,ConPlan,11.226399
ZZ0_9999_9999,A42069,hwm,ConPlan,13.159373
ZZ0_9999_9999,A42069,lwm,ConPlan,8.3098736
ZZ0_9999_9999,A42069,nhi,ConPlan,0.12439064
ZZ0_9999_9999,A42069,nho,ConPlan,0.10587668
ZZ0_9999_9999,A42069,nlo,ConPlan,7.8684315E-2
ZZ0_9999_9999,A42069,npa,ConPlan,0
ZZ0_9999_9999,A42069,pas,ConPlan,68.290237
ZZ0_9999_9999,A42071,hom,ConPlan,7.8161316
ZZ0_9999_9999,A42071,hwm,ConPlan,70.655243
ZZ0_9999_9999,A42071,lwm,ConPlan,36.585831
ZZ0_9999_9999,A42071,nhi,ConPlan,11.087984
ZZ0_9999_9999,A42071,nho,ConPlan,1.2265167
ZZ0_9999_9999,A42071,nlo,ConPlan,5.7415028
ZZ0_9999_9999,A42071,npa,ConPlan,0
ZZ0_9999_9999,A42071,pas,ConPlan,3.4200137
ZZ0_9999_9999,A42075,hom,ConPlan,39.294888
ZZ0_9999_9999,A42075,hwm,ConPlan,1428.0463
ZZ0_9999_9999,A42075,lwm,ConPlan,763.07025
ZZ0_9999_9999,A42075,nhi,ConPlan,231.15152
ZZ0_9999_9999,A42075,nho,ConPlan,6.360589
ZZ0_9999_9999,A42075,nlo,ConPlan,123.51479
ZZ0_9999_9999,A42075,npa,ConPlan,0
ZZ0_9999_9999,A42075,pas,ConPlan,40.45676
ZZ0_9999_9999,A42079,hom,ConPlan,19.626743
ZZ0_9999_9999,A42079,hwm,ConPlan,66.220932
ZZ0_9999_9999,A42079,lwm,ConPlan,16.95159
ZZ0_9999_9999,A42079,nhi,ConPlan,0.31044668
ZZ0_9999_9999,A42079,nho,ConPlan,9.1995917E-2
ZZ0_9999_9999,A42079,nlo,ConPlan,7.9350419E-2
ZZ0_9999_9999,A42079,npa,ConPlan,0
ZZ0_9999_9999,A42079,pas,ConPlan,28.967176
ZZ0_9999_9999,A42083,hom,ConPlan,0.85229498
ZZ0_9999_9999,A42083,hwm,ConPlan,2.2859745
ZZ0_9999_9999,A42083,lwm,ConPlan,1.5729129E-2
ZZ0_9999_9999,A42083,nhi,ConPlan,1.1471548E-5
ZZ0_9999_9999,A42083,nho,ConPlan,3.2775849E-6
ZZ0_9999_9999,A42083,nlo,ConPlan,0
ZZ0_9999_9999,A42083,npa,ConPlan,0
ZZ0_9999_9999,A42083,pas,ConPlan,2.3973975
ZZ0_9999_9999,A42105,hom,ConPlan,398.58749
ZZ0_9999_9999,A42105,hwm,ConPlan,1453.8655
ZZ0_9999_9999,A42105,lwm,ConPlan,10.00294
ZZ0_9999_9999,A42105,nhi,ConPlan,0.43479788
ZZ0_9999_9999,A42105,nho,ConPlan,0.11931061
ZZ0_9999_9999,A42105,nlo,ConPlan,3.1056993E-3
ZZ0_9999_9999,A42105,npa,ConPlan,0
ZZ0_9999_9999,A42105,pas,ConPlan,222.39156
ZZ0_9999_9999,A42107,hom,ConPlan,299.81555
ZZ0_9999_9999,A42107,hwm,ConPlan,2008.8671
ZZ0_9999_9999,A42107,lwm,ConPlan,1069.1166
ZZ0_9999_9999,A42107,nhi,ConPlan,172.64366
ZZ0_9999_9999,A42107,nho,ConPlan,25.766359
ZZ0_9999_9999,A42107,nlo,ConPlan,91.880806
ZZ0_9999_9999,A42107,npa,ConPlan,0
ZZ0_9999_9999,A42107,pas,ConPlan,162.16718
ZZ0_9999_9999,A42111,hom,ConPlan,33.831417
ZZ0_9999_9999,A42111,hwm,ConPlan,639.61157
ZZ0_9999_9999,A42111,lwm,ConPlan,306.32184
