rseg,lseg,landuse_type,shortName,Acres
ZZ0_9999_9999,A42071,nhi,ConPlan,41.367287
ZZ0_9999_9999,A42071,nho,ConPlan,3.4746215
ZZ0_9999_9999,A42071,nlo,ConPlan,8.4224672
ZZ0_9999_9999,A42071,npa,ConPlan,0
ZZ0_9999_9999,A42071,pas,ConPlan,7.9138956
ZZ0_9999_9999,A42075,hom,ConPlan,54.041245
ZZ0_9999_9999,A42075,hwm,ConPlan,2001.8209
ZZ0_9999_9999,A42075,lwm,ConPlan,1429.0344
ZZ0_9999_9999,A42075,nhi,ConPlan,497.90945
ZZ0_9999_9999,A42075,nho,ConPlan,13.441557
ZZ0_9999_9999,A42075,nlo,ConPlan,355.44135
ZZ0_9999_9999,A42075,npa,ConPlan,0
ZZ0_9999_9999,A42075,pas,ConPlan,74.333321
ZZ0_9999_9999,A42079,hom,ConPlan,43.47739
ZZ0_9999_9999,A42079,hwm,ConPlan,118.37653
ZZ0_9999_9999,A42079,lwm,ConPlan,47.050774
ZZ0_9999_9999,A42079,nhi,ConPlan,22.402689
ZZ0_9999_9999,A42079,nho,ConPlan,8.2279015
ZZ0_9999_9999,A42079,nlo,ConPlan,8.904706
ZZ0_9999_9999,A42079,npa,ConPlan,0
ZZ0_9999_9999,A42079,pas,ConPlan,35.647709
ZZ0_9999_9999,A42083,hom,ConPlan,0.88864118
ZZ0_9999_9999,A42083,hwm,ConPlan,6.3941846
ZZ0_9999_9999,A42083,lwm,ConPlan,0
ZZ0_9999_9999,A42083,nhi,ConPlan,3.8875015E-3
ZZ0_9999_9999,A42083,nho,ConPlan,5.4137508E-4
ZZ0_9999_9999,A42083,nlo,ConPlan,0
ZZ0_9999_9999,A42083,npa,ConPlan,0
ZZ0_9999_9999,A42083,pas,ConPlan,3.6761997
ZZ0_9999_9999,A42105,hom,ConPlan,771.21716
ZZ0_9999_9999,A42105,hwm,ConPlan,1795.1285
ZZ0_9999_9999,A42105,lwm,ConPlan,37.594563
ZZ0_9999_9999,A42105,nhi,ConPlan,92.368523
ZZ0_9999_9999,A42105,nho,ConPlan,39.682945
ZZ0_9999_9999,A42105,nlo,ConPlan,1.9342459
ZZ0_9999_9999,A42105,npa,ConPlan,0
ZZ0_9999_9999,A42105,pas,ConPlan,309.48792
ZZ0_9999_9999,A42107,hom,ConPlan,342.44238
ZZ0_9999_9999,A42107,hwm,ConPlan,3357.0723
ZZ0_9999_9999,A42107,lwm,ConPlan,1561.8746
ZZ0_9999_9999,A42107,nhi,ConPlan,560.77252
ZZ0_9999_9999,A42107,nho,ConPlan,57.202358
ZZ0_9999_9999,A42107,nlo,ConPlan,260.89874
ZZ0_9999_9999,A42107,npa,ConPlan,0
ZZ0_9999_9999,A42107,pas,ConPlan,242.09032
ZZ0_9999_9999,A42111,hom,ConPlan,48.584709
ZZ0_9999_9999,A42111,hwm,ConPlan,2301.1416
ZZ0_9999_9999,A42111,lwm,ConPlan,358.59085
ZZ0_9999_9999,A42111,nhi,ConPlan,55.836884
ZZ0_9999_9999,A42111,nho,ConPlan,1.178885
ZZ0_9999_9999,A42111,nlo,ConPlan,8.7011919
ZZ0_9999_9999,A42111,npa,ConPlan,0
ZZ0_9999_9999,A42111,pas,ConPlan,1605.2886
ZZ0_9999_9999,A42127,hom,ConPlan,33.43605
ZZ0_9999_9999,A42127,hwm,ConPlan,139.21336
ZZ0_9999_9999,A42127,lwm,ConPlan,86.327827
ZZ0_9999_9999,A42127,nhi,ConPlan,1.879276
ZZ0_9999_9999,A42127,nho,ConPlan,0.45134676
ZZ0_9999_9999,A42127,nlo,ConPlan,1.1653637
ZZ0_9999_9999,A42127,npa,ConPlan,0
ZZ0_9999_9999,A42127,pas,ConPlan,101.06524
EL2_4590_0001,A24011,alf,ConPlan,24.802755
EL2_4590_0001,A24011,hom,ConPlan,124.81772
EL2_4590_0001,A24011,hwm,ConPlan,643.52228
EL2_4590_0001,A24011,hyo,ConPlan,79.795975
EL2_4590_0001,A24011,hyw,ConPlan,72.324966
EL2_4590_0001,A24011,lwm,ConPlan,956.1203
EL2_4590_0001,A24011,nal,ConPlan,37.424458
EL2_4590_0001,A24011,nhi,ConPlan,970.98242
EL2_4590_0001,A24011,nho,ConPlan,188.33113
EL2_4590_0001,A24011,nhy,ConPlan,109.12859
EL2_4590_0001,A24011,nlo,ConPlan,1442.6479
EL2_4590_0001,A24011,npa,ConPlan,109.99081
EL2_4590_0001,A24011,pas,ConPlan,72.896828
EL0_4591_0000,A24011,alf,ConPlan,19.013584
EL0_4591_0000,A24011,hom,ConPlan,101.28453
EL0_4591_0000,A24011,hwm,ConPlan,522.19446
EL0_4591_0000,A24011,hyo,ConPlan,61.17038
EL0_4591_0000,A24011,hyw,ConPlan,55.443642
EL0_4591_0000,A24011,lwm,ConPlan,775.85602
EL0_4591_0000,A24011,nal,ConPlan,28.688805
EL0_4591_0000,A24011,nhi,ConPlan,787.91565
EL0_4591_0000,A24011,nho,ConPlan,152.82401
EL0_4591_0000,A24011,nhy,ConPlan,83.656052
EL0_4591_0000,A24011,nlo,ConPlan,1170.6545
EL0_4591_0000,A24011,npa,ConPlan,84.31752
EL0_4591_0000,A24011,pas,ConPlan,55.881355
EL0_4591_0000,A24019,alf,ConPlan,3.369998
EL0_4591_0000,A24019,hom,ConPlan,367.55405
EL0_4591_0000,A24019,hwm,ConPlan,891.13953
EL0_4591_0000,A24019,hyo,ConPlan,251.52516
EL0_4591_0000,A24019,hyw,ConPlan,20.983292
EL0_4591_0000,A24019,lwm,ConPlan,2497.7014
EL0_4591_0000,A24019,nal,ConPlan,5.0846186
EL0_4591_0000,A24019,nhi,ConPlan,1344.6013
EL0_4591_0000,A24019,nho,ConPlan,554.58527
EL0_4591_0000,A24019,nhy,ConPlan,31.660259
EL0_4591_0000,A24019,nlo,ConPlan,3768.6709
EL0_4591_0000,A24019,npa,ConPlan,82.751251
EL0_4591_0000,A24019,pas,ConPlan,54.843864
EL0_4592_0000,A24019,alf,ConPlan,0.64677721
EL0_4592_0000,A24019,hom,ConPlan,75.389442
EL0_4592_0000,A24019,hwm,ConPlan,182.78384
EL0_4592_0000,A24019,hyo,ConPlan,48.251194
EL0_4592_0000,A24019,hyw,ConPlan,4.0250983
EL0_4592_0000,A24019,lwm,ConPlan,512.30927
EL0_4592_0000,A24019,nal,ConPlan,0.97530669
EL0_4592_0000,A24019,nhi,ConPlan,275.7944
EL0_4592_0000,A24019,nho,ConPlan,113.75249
EL0_4592_0000,A24019,nhy,ConPlan,6.0736341
EL0_4592_0000,A24019,nlo,ConPlan,773.00104
EL0_4592_0000,A24019,npa,ConPlan,15.874683
EL0_4592_0000,A24019,pas,ConPlan,10.520779
EL0_4593_0000,A24019,alf,ConPlan,0.86857134
EL0_4593_0000,A24019,hom,ConPlan,37.932186
EL0_4593_0000,A24019,hwm,ConPlan,91.967705
EL0_4593_0000,A24019,hyo,ConPlan,64.850723
EL0_4593_0000,A24019,hyw,ConPlan,5.4102106
EL0_4593_0000,A24019,lwm,ConPlan,257.76837
EL0_4593_0000,A24019,nal,ConPlan,1.3111804
EL0_4593_0000,A24019,nhi,ConPlan,138.76578
EL0_4593_0000,A24019,nho,ConPlan,57.234642
EL0_4593_0000,A24019,nhy,ConPlan,8.1628084
EL0_4593_0000,A24019,nlo,ConPlan,388.93536
EL0_4593_0000,A24019,npa,ConPlan,21.335814
EL0_4593_0000,A24019,pas,ConPlan,14.140479
EL0_4593_0000,A24045,alf,ConPlan,0.73441774
EL0_4593_0000,A24045,hom,ConPlan,7.1977835
EL0_4593_0000,A24045,hwm,ConPlan,82.607307
EL0_4593_0000,A24045,hyo,ConPlan,32.712807
EL0_4593_0000,A24045,hyw,ConPlan,1.9706876
EL0_4593_0000,A24045,lwm,ConPlan,61.573582
EL0_4593_0000,A24045,nal,ConPlan,1.1079916
EL0_4593_0000,A24045,nhi,ConPlan,124.64194
EL0_4593_0000,A24045,nho,ConPlan,10.86008
EL0_4593_0000,A24045,nhy,ConPlan,2.9743917
EL0_4593_0000,A24045,nlo,ConPlan,92.906288
EL0_4593_0000,A24045,npa,ConPlan,3.7602186
EL0_4593_0000,A24045,pas,ConPlan,2.4921241
EL0_4594_0000,A24045,alf,ConPlan,11.228757
EL0_4594_0000,A24045,hom,ConPlan,45.033512
EL0_4594_0000,A24045,hwm,ConPlan,516.84351
EL0_4594_0000,A24045,hyo,ConPlan,500.26556
EL0_4594_0000,A24045,hyw,ConPlan,30.14393
EL0_4594_0000,A24045,lwm,ConPlan,385.24466
EL0_4594_0000,A24045,nal,ConPlan,16.943016
EL0_4594_0000,A24045,nhi,ConPlan,779.84192
EL0_4594_0000,A24045,nho,ConPlan,67.948822
EL0_4594_0000,A24045,nhy,ConPlan,45.482979
EL0_4594_0000,A24045,nlo,ConPlan,581.27838
EL0_4594_0000,A24045,npa,ConPlan,57.505886
EL0_4594_0000,A24045,pas,ConPlan,38.112362
EL0_4595_0000,A24045,alf,ConPlan,10.717113
EL0_4595_0000,A24045,hom,ConPlan,30.694254
EL0_4595_0000,A24045,hwm,ConPlan,352.27863
EL0_4595_0000,A24045,hyo,ConPlan,477.45218
EL0_4595_0000,A24045,hyw,ConPlan,28.7691
EL0_4595_0000,A24045,lwm,ConPlan,262.58127
EL0_4595_0000,A24045,nal,ConPlan,16.16992
EL0_4595_0000,A24045,nhi,ConPlan,531.53772
EL0_4595_0000,A24045,nho,ConPlan,46.31385
EL0_4595_0000,A24045,nhy,ConPlan,43.408985
EL0_4595_0000,A24045,nlo,ConPlan,396.19778
EL0_4595_0000,A24045,npa,ConPlan,54.883526
EL0_4595_0000,A24045,pas,ConPlan,36.374241
EL0_4596_0000,A24045,alf,ConPlan,1.7009114
EL0_4596_0000,A24045,hom,ConPlan,9.0871944
EL0_4596_0000,A24045,hwm,ConPlan,104.29466
EL0_4596_0000,A24045,hyo,ConPlan,75.773117
EL0_4596_0000,A24045,hyw,ConPlan,4.56563
EL0_4596_0000,A24045,lwm,ConPlan,77.73909
EL0_4596_0000,A24045,nal,ConPlan,2.5660555
EL0_4596_0000,A24045,nhi,ConPlan,157.36565
EL0_4596_0000,A24045,nho,ConPlan,13.711578
EL0_4596_0000,A24045,nhy,ConPlan,6.889328
EL0_4596_0000,A24045,nlo,ConPlan,117.29728
EL0_4596_0000,A24045,npa,ConPlan,8.7101946
EL0_4596_0000,A24045,pas,ConPlan,5.7725234
EL2_4630_0000,A24011,alf,ConPlan,1.4091028
EL2_4630_0000,A24011,hom,ConPlan,1.4722627
EL2_4630_0000,A24011,hwm,ConPlan,7.5914311
EL2_4630_0000,A24011,hyo,ConPlan,4.5338626
EL2_4630_0000,A24011,hyw,ConPlan,4.1093116
EL2_4630_0000,A24011,lwm,ConPlan,11.279187
EL2_4630_0000,A24011,nal,ConPlan,2.126384
EL2_4630_0000,A24011,nhi,ConPlan,11.453979
EL2_4630_0000,A24011,nho,ConPlan,2.2218585
EL2_4630_0000,A24011,nhy,ConPlan,6.2004437
EL2_4630_0000,A24011,nlo,ConPlan,17.018415
EL2_4630_0000,A24011,npa,ConPlan,6.2494049
EL2_4630_0000,A24011,pas,ConPlan,4.1421161
EL2_4630_0000,A24019,alf,ConPlan,0.30355933
EL2_4630_0000,A24019,hom,ConPlan,15.011497
EL2_4630_0000,A24019,hwm,ConPlan,36.396271
EL2_4630_0000,A24019,hyo,ConPlan,22.64852
EL2_4630_0000,A24019,hyw,ConPlan,1.8894119
EL2_4630_0000,A24019,lwm,ConPlan,102.01307
EL2_4630_0000,A24019,nal,ConPlan,0.45778704
EL2_4630_0000,A24019,nhi,ConPlan,54.917309
EL2_4630_0000,A24019,nho,ConPlan,22.650911
EL2_4630_0000,A24019,nhy,ConPlan,2.8510096
EL2_4630_0000,A24019,nlo,ConPlan,153.9227
EL2_4630_0000,A24019,npa,ConPlan,7.4514022
EL2_4630_0000,A24019,pas,ConPlan,4.9382248
EL2_4630_0000,A24045,alf,ConPlan,4.7002733E-2
EL2_4630_0000,A24045,hom,ConPlan,0.39658555
EL2_4630_0000,A24045,hwm,ConPlan,4.5489836
EL2_4630_0000,A24045,hyo,ConPlan,2.0857978
EL2_4630_0000,A24045,hyw,ConPlan,0.12583023
EL2_4630_0000,A24045,lwm,ConPlan,3.3905618
EL2_4630_0000,A24045,nal,ConPlan,7.0504099E-2
EL2_4630_0000,A24045,nhi,ConPlan,6.863378
EL2_4630_0000,A24045,nho,ConPlan,0.59781599
EL2_4630_0000,A24045,nhy,ConPlan,0.18947977
EL2_4630_0000,A24045,nlo,ConPlan,5.1154642
EL2_4630_0000,A24045,npa,ConPlan,0.23990978
EL2_4630_0000,A24045,pas,ConPlan,0.15863423
EL0_4633_0000,A24045,alf,ConPlan,0.51066512
EL0_4633_0000,A24045,hom,ConPlan,5.7323751
EL0_4633_0000,A24045,hwm,ConPlan,65.79306
EL0_4633_0000,A24045,hyo,ConPlan,22.731937
EL0_4633_0000,A24045,hyw,ConPlan,1.3699338
EL0_4633_0000,A24045,lwm,ConPlan,49.040989
EL0_4633_0000,A24045,nal,ConPlan,0.76966977
EL0_4633_0000,A24045,nhi,ConPlan,99.272705
EL0_4633_0000,A24045,nho,ConPlan,8.649972
EL0_4633_0000,A24045,nhy,ConPlan,2.0666516
EL0_4633_0000,A24045,nlo,ConPlan,73.99601
EL0_4633_0000,A24045,npa,ConPlan,2.6130581
EL0_4633_0000,A24045,pas,ConPlan,1.7317569
EL0_5040_0000,A24045,alf,ConPlan,10.780762
EL0_5040_0000,A24045,hom,ConPlan,37.41124
EL0_5040_0000,A24045,hwm,ConPlan,429.36264
EL0_5040_0000,A24045,hyo,ConPlan,480.30383
EL0_5040_0000,A24045,hyw,ConPlan,28.941444
EL0_5040_0000,A24045,lwm,ConPlan,320.03818
EL0_5040_0000,A24045,nal,ConPlan,16.266863
EL0_5040_0000,A24045,nhi,ConPlan,647.84601
EL0_5040_0000,A24045,nho,ConPlan,56.447834
EL0_5040_0000,A24045,nhy,ConPlan,43.667988
EL0_5040_0000,A24045,nlo,ConPlan,482.89139
EL0_5040_0000,A24045,npa,ConPlan,55.211075
EL0_5040_0000,A24045,pas,ConPlan,36.591629
EL2_5110_5270,A24045,alf,ConPlan,8.9613647
EL2_5110_5270,A24045,hom,ConPlan,33.398376
EL2_5110_5270,A24045,hwm,ConPlan,383.30728
EL2_5110_5270,A24045,hyo,ConPlan,399.23474
EL2_5110_5270,A24045,hyw,ConPlan,24.056585
EL2_5110_5270,A24045,lwm,ConPlan,285.70956
EL2_5110_5270,A24045,nal,ConPlan,13.521119
EL2_5110_5270,A24045,nhi,ConPlan,578.35492
EL2_5110_5270,A24045,nho,ConPlan,50.392807
EL2_5110_5270,A24045,nhy,ConPlan,36.297371
EL2_5110_5270,A24045,nlo,ConPlan,431.09439
EL2_5110_5270,A24045,npa,ConPlan,45.892296
EL2_5110_5270,A24045,pas,ConPlan,30.415174
EL2_5110_5270,A24047,alf,ConPlan,1.0746979
EL2_5110_5270,A24047,hom,ConPlan,9.9670277
EL2_5110_5270,A24047,hwm,ConPlan,112.78893
EL2_5110_5270,A24047,hyo,ConPlan,30.371201
EL2_5110_5270,A24047,hyw,ConPlan,3.9756479
EL2_5110_5270,A24047,lwm,ConPlan,237.15622
EL2_5110_5270,A24047,nal,ConPlan,1.6215943
EL2_5110_5270,A24047,nhi,ConPlan,170.18271
EL2_5110_5270,A24047,nho,ConPlan,15.038426
EL2_5110_5270,A24047,nhy,ConPlan,5.9982343
EL2_5110_5270,A24047,nlo,ConPlan,357.83426
EL2_5110_5270,A24047,npa,ConPlan,23.482271
EL2_5110_5270,A24047,pas,ConPlan,15.5628
EL1_5150_0001,A24019,alf,ConPlan,0.87738436
EL1_5150_0001,A24019,hom,ConPlan,97.566902
EL1_5150_0001,A24019,hwm,ConPlan,236.55252
EL1_5150_0001,A24019,hyo,ConPlan,65.483757
EL1_5150_0001,A24019,hyw,ConPlan,5.4630885
EL1_5150_0001,A24019,lwm,ConPlan,663.01324
EL1_5150_0001,A24019,nal,ConPlan,1.3239104
EL1_5150_0001,A24019,nhi,ConPlan,356.92358
EL1_5150_0001,A24019,nho,ConPlan,147.21452
EL1_5150_0001,A24019,nhy,ConPlan,8.2426147
EL1_5150_0001,A24019,nlo,ConPlan,1000.3915
EL1_5150_0001,A24019,npa,ConPlan,21.543898
EL1_5150_0001,A24019,pas,ConPlan,14.278549
EL0_5151_0000,A24019,alf,ConPlan,5.9541693
EL0_5151_0000,A24019,hom,ConPlan,391.56851
EL0_5151_0000,A24019,hwm,ConPlan,949.36365
EL0_5151_0000,A24019,hyo,ConPlan,444.38922
EL0_5151_0000,A24019,hyw,ConPlan,37.07243
EL0_5151_0000,A24019,lwm,ConPlan,2660.8938
EL0_5151_0000,A24019,nal,ConPlan,8.9833975
EL0_5151_0000,A24019,nhi,ConPlan,1432.4532
EL0_5151_0000,A24019,nho,ConPlan,590.82043
