riverseg,landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,nal,nhi,nho,nhy,nlo,npa,pas,puh,pul,trp,urs,css,wat
DE0_3380_0000,A10001,11.986,84.623,34,0,4307.766,1509.863,43.513,3897.955,174.172,92.92,307,153,6583.93,0,0,0,0,0,0,339.925,218,971,0,1.534,0,218
DE0_3410_0000,A10001,26.049,204.656,75,171,32318.801,3237.957,326.453,8359.312,421.226,224.722,388,191,14119.485,0,0,0,0,0,0,822.091,261,1387,0,3.334,0,3940
DE0_3790_0000,A10001,18.08,147.575,98,282,9370.416,2235.866,94.651,5772.252,303.74,162.044,1495,664,9749.752,0,0,0,0,0,0,592.799,1004,4527,0,2.314,0,653
DE0_3791_0001,A10001,8.441,40.469,104,52.7,7307.214,1103.306,73.81,2848.363,83.294,44.437,656,296,4811.093,0,0,0,0,0,0,162.562,457,2228,0,1.08,0,153
DE0_3840_0000,A10001,5.86,36.784,56,51.6,5017.053,747.814,50.677,1930.602,75.71,40.391,388,195,3260.928,0,0,0,0,0,0,147.761,251,1794,0,0.75,0,901
DE0_4140_0000,A10001,32.054,530.032,85,198,20034.586,3402.643,202.37,8784.477,1090.919,581.999,365,221,14837.619,0,0,0,0,0,0,2129.108,276,1577,0,4.103,0,690
DE0_4141_0001,A10001,7.959,112.476,6.8,16.2,4934.865,884.813,49.847,2284.287,231.501,123.504,29.9,22.5,3858.328,0,0,0,0,0,0,451.811,24.6,137,0,1.019,0,108
DE0_4230_0000,A10001,9.9,89.432,38,0,12085.033,1206.218,122.071,3114.049,184.069,98.2,336,143,5259.854,0,0,0,0,0,0,359.242,215,1067,0,1.267,0,758
DE0_4231_0001,A10001,1.672,20.484,0.24,0,1089.981,192.504,11.01,496.981,42.161,22.493,0.11,0.18,839.435,0,0,0,0,0,0,82.284,0.11,1.82,0,0.214,0,0
EL0_4560_4562,A10001,3.845,68.198,0.9,0,3679.245,398.46,37.164,1028.688,140.366,74.884,5.09,11.2,1737.529,0,0,0,0,0,0,273.947,4.91,91.5,0,0.492,0,2.22
EL2_4400_4590,A10001,16.855,280.91,14,0,13567.451,1784.514,137.045,4607.012,578.173,308.452,18.6,25.8,7781.578,0,0,0,0,0,0,1128.4,15.6,186,0,2.157,0,1.78
EL2_4590_0001,A10001,4.492,74.381,3,0,4420.347,476.558,44.65,1230.312,153.091,81.673,1.62,9.95,2078.087,0,0,0,0,0,0,298.783,1.72,71.5,0,0.575,0,0
EM2_3980_0001,A10001,23.651,261.175,25,39.6,24709.1,2782.295,249.587,7182.946,537.554,286.782,43.5,90.9,12132.519,0,0,0,0,0,0,1049.126,38.9,719,0,3.027,0,57.6
EM3_4326_0000,A10001,7.579,108.542,7.6,0,4724.054,839.625,47.718,2167.629,223.403,119.184,2,4.6,3661.282,0,0,0,0,0,0,436.007,2,34.8,0,0.97,0,0.22
EU2_3520_0001,A10001,9.076,65.263,6.7,0,8975.022,1140.788,90.657,2945.129,134.324,71.661,4.11,34,4974.538,0,0,0,0,0,0,262.156,3.23,267,0,1.162,0,11.3
DE0_2590_0000,A10003,0.113,5.916,9.6,0,4464.917,6.525,45.1,75.505,12.704,5.615,111,220,70.019,0,0,0,0,0,0,11.157,95.4,1364,0,0.023,0,9.56
DE0_2600_0000,A10003,1.139,146.247,19,0,6843.17,23.965,69.123,277.309,314.044,138.808,1370,444,257.162,0,0,0,0,0,0,275.807,886,3463,0,0.233,0,107
DE0_2610_0000,A10003,0.025,0.754,1.32,0,2477.511,1.74,25.025,20.134,1.618,0.715,1113,648,18.672,0,0,0,0,0,0,1.421,741,4120,0,0.005,0,157
DE0_2640_0000,A10003,0.969,146.412,15,0,7403.13,9.886,74.779,114.401,314.399,138.964,434,478,106.09,0,0,0,0,0,0,276.119,334,3450,0,0.198,0,171
DE0_2690_0000,A10003,1.436,82.626,116,0,11459.672,78.934,115.754,913.38,177.426,78.422,2025,1510,847.023,0,0,0,0,0,0,155.823,1567,10268,0,0.294,0,128
DE0_2710_0000,A10003,1.706,55.69,344,288,12779.773,114.129,129.089,1320.649,119.585,52.857,6218,2055,1224.703,0,0,0,0,0,0,105.025,4321,13583,0,0.349,0,498
DE0_2800_0000,A10003,0.005,0,17,0,750.108,0.44,7.577,5.088,0,0,703,228,4.719,0,0,0,0,0,0,0,550,1529,0,0.001,0,12.7
DE0_2850_0000,A10003,0.685,17.764,94,0,1880.315,48.048,18.993,555.99,38.147,16.861,718,262,515.598,0,0,0,0,0,0,33.502,510,1703,0,0.14,0,11.3
DE0_2870_0000,A10003,0,0,0.03,0,65.97,0.017,0.666,0.201,0,0,56.1,23.9,0.187,0,0,0,0,0,0,0,42.8,156,0,0,0,10
DE0_2920_0000,A10003,1.123,26.027,64,0,2704.607,80.239,27.319,928.48,55.889,24.703,325,192,861.027,0,0,0,0,0,0,49.084,236,1322,0,0.23,0,110
DE0_2960_0000,A10003,1.433,27.349,69,0.67,2486.889,105.113,25.12,1216.314,58.728,25.958,364,132,1127.949,0,0,0,0,0,0,51.578,218,937,0,0.293,0,26.2
DE0_2990_0000,A10003,6.093,192.518,75,118,12300.039,410.565,124.243,4750.856,413.402,182.724,138,326,4405.707,0,0,0,0,0,0,363.068,120,2339,0,1.246,0,1958
DE0_3110_0000,A10003,9.479,259.279,74,83.2,9832.937,658.004,99.323,7614.091,556.763,246.089,262,166,7060.928,0,0,0,0,0,0,488.974,202,1128,0,1.939,0,928
DE0_3260_0000,A10003,4.002,152.279,8.2,0,11749.892,257.286,118.686,2977.178,326.996,144.532,38.1,44.2,2760.887,0,0,0,0,0,0,287.182,33.2,334,0,0.819,0,573
DE0_3280_0000,A10003,0.138,0.772,0,0,1260.549,10.994,12.733,127.214,1.657,0.732,0,0,117.972,0,0,0,0,0,0,1.455,0,0,0,0.028,0,35.8
DE0_3310_0000,A10003,0.727,2.462,1.6,0,2937.929,58.765,29.676,680.001,5.287,2.337,0.71,0.75,630.599,0,0,0,0,0,0,4.644,0.63,4.81,0,0.149,0,114
DE0_3380_0000,A10003,5.971,219.784,19,0,10749.563,387.471,108.581,4483.615,471.953,208.603,98.6,49.1,4157.88,0,0,0,0,0,0,414.49,72.5,293,0,1.221,0,195
EU0_3010_0000,A10003,2.465,42.139,32,0,2256.394,183.216,22.792,2120.085,90.487,39.995,14.8,44.7,1966.06,0,0,0,0,0,0,79.47,13.6,393,0,0.504,0,15.3
EU0_3011_0000,A10003,1.142,17.186,15,0,1255.281,86.012,12.68,995.291,36.905,16.312,13.9,17.5,922.983,0,0,0,0,0,0,32.411,13,109,0,0.234,0,56.5
EU0_3201_0000,A10003,2.315,77.585,11,0,1439.208,153.833,14.537,1780.084,166.603,73.639,15.72,14.3,1650.761,0,0,0,0,0,0,146.318,12.31,86,0,0.473,0,14.2
EU0_3361_0000,A10003,1.713,49.823,0.99,0,2124.286,117.491,21.457,1359.545,106.988,47.289,0.43,3.41,1260.774,0,0,0,0,0,0,93.961,0.46,29.9,0,0.35,0,0.89
EU1_2981_0000,A10003,0.005,0,0.94,0,199.109,0.396,2.011,4.58,0,0,1.14,5.66,4.248,0,0,0,0,0,0,0,1.09,43.9,0,0.001,0,0
EU1_2983_0000,A10003,0.219,4.007,4.7,0,757.28,16.174,7.649,187.161,8.605,3.803,5.25,12.8,173.563,0,0,0,0,0,0,7.557,5.2,96.1,0,0.045,0,1.56
EU2_3520_0001,A10003,1.096,33.381,0.4,0,4597.293,74.425,46.437,861.213,71.68,31.683,0.43,1.39,798.646,0,0,0,0,0,0,62.953,0.46,17.1,0,0.224,0,3.11
DE0_4230_0000,A10005,11.132,75.887,33,0,7722.329,920.733,78.003,3227.19,355.741,150.289,254,183,5970.468,0,0,0,0,0,0,269.285,202,1375,0,0.732,0,188
DE0_4350_0000,A10005,17.213,98.385,29,4.89,14508.147,1487.718,146.547,5214.487,461.211,194.846,86.7,61.6,9647.068,0,0,0,0,0,0,349.122,78.6,456,0,1.133,0,841
DE0_4520_0000,A10005,28.731,85.398,155,182,31053.75,2749.205,313.674,9636.025,400.327,169.125,635,446,17827.145,0,0,0,0,0,0,303.035,520,2942,0,1.891,0,1421
DE0_4570_0000,A10005,2.034,1.08,33,0,5648.456,211.395,57.055,740.945,5.065,2.14,606,190,1370.787,0,0,0,0,0,0,3.834,456,1133,0,0.134,0,355
DE0_4680_0000,A10005,14.355,41.032,121,202,16384.123,1379.112,165.496,4833.817,192.351,81.262,540,455,8942.811,0,0,0,0,0,0,145.604,447,2763,0,0.945,0,1076
DE0_4800_0000,A10005,23.001,73.933,105,366,24534.889,2182.123,247.827,7648.389,346.582,146.419,503,295,14149.914,0,0,0,0,0,0,262.352,372,2339,0,1.513,0,918
DE0_4850_0000,A10005,17.937,74.105,143,131,20449.484,1646.168,206.56,5769.856,347.39,146.761,728,539,10674.529,0,0,0,0,0,0,262.963,645,3450,0,1.18,0,1660
DE0_4990_0000,A10005,4.673,26.493,13,0,4390.433,404.657,44.348,1418.332,124.193,52.467,104.7,43.7,2623.988,0,0,0,0,0,0,94.01,77.5,284,0,0.308,0,168
DE0_5020_0000,A10005,8.352,46.291,85,33.4,9142.781,726.792,92.351,2547.424,217.001,91.676,621,236,4712.865,0,0,0,0,0,0,164.263,523,1271,0,0.55,0,1608
DE0_5021_0000,A10005,1.333,7.672,2.5,33.4,615.288,115.007,6.215,403.102,35.965,15.194,12.5,13.6,745.758,0,0,0,0,0,0,27.224,11.7,82.5,0,0.088,0,14.01
DE0_5170_0000,A10005,2.598,14.856,11,0,3108.502,224.486,31.399,786.829,69.64,29.42,114,50.8,1455.675,0,0,0,0,0,0,52.715,84.8,396,0,0.171,0,11.56
EL0_4560_4562,A10005,11.455,87.898,47,0,6075.2,914.43,61.366,3205.097,412.046,174.076,205,109,5929.596,0,0,0,0,0,0,311.906,145,817,0,0.754,0,4.23
EL0_4561_4562,A10005,9.233,55.486,25,14,9682.608,788.853,97.804,2764.949,260.105,109.886,10.98,18.9,5115.298,0,0,0,0,0,0,196.891,9.03,166,0,0.608,0,6
