riverseg,landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,nal,nhi,nho,nhy,nlo,npa,pas,puh,pul,trp,urs,css,wat
JL6_7160_7440,B51009,1.42,2.675,0.55,30.9,38005.637,13.249,383.895,10.156,11.906,76.715,3.19,35.6,7.466,0,0,0,0,0,0,210.733,2.87,179,11.066,0.014,0,353
JU1_6880_7260,B51015,0.112,0.905,0.05,0,10581.953,0.543,106.888,1.549,0.809,1.185,0.11,0.87,6.057,0,0.737,0,1.344,2.885,9.821,0,0.11,6.03,0.198,0.003,0,1.56
PS2_6420_6360,B51015,0,0,0,0,481.641,0,4.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS2_6490_6420,B51015,0.34,3.801,0.07,0,15346.794,1.297,155.018,4.517,2.145,7.574,0.49,11.2,17.668,0,0.941,0,3.052,3.68,2.584,38.68,0.4,56.1,2.135,0.01,0,15.1
PS2_6660_6490,B51015,1,14.69,0.32,0,5255.231,2.61,53.083,4.828,8.207,15.215,17.1,27.6,18.885,0,6.16,0,25.849,24.092,15.244,144.228,15.1,141,8.393,0.028,0,0.67
PS2_6730_6660,B51015,1.939,23.322,1.3,0,31739.633,6.824,320.602,27.524,13.142,64.206,6.49,28.2,107.657,0,1.202,0,0.986,4.702,4.29,248.883,5.52,154,13.21,0.055,0,94.4
JU1_6300_6650,B51017,0.22,2.253,0,0,314.071,3.235,3.172,4.4,7.175,20.246,0,1.05,5.055,0,0,0,0.582,0,0.585,66.595,0,9.85,3.536,0.004,0,2.89
JU1_6340_6650,B51017,0.519,6.144,0,0,1177.222,0,11.891,0,19.569,55.867,0,0.57,0,0,0,0,0.936,0,1.277,181.942,0,4.55,9.643,0.009,0,0.89
JU3_6640_6790,B51017,9.071,106.321,0.31,0,20956.682,10.408,211.684,0,343.256,933.538,9.79,31,0,0,14.156,0,49.386,16.266,114.814,3055.626,6.89,211,162.231,0.149,0,7.58
JU3_6650_7300,B51017,28.172,327.839,0.72,0,96725.859,54.19,976.971,0,1038.433,3030.82,10.9,99.8,0,0,73.698,0,0,84.687,0.007,9775.963,8.62,722,514.525,0.462,0,749
JU4_7000_7300,B51017,0.07,0.654,0.03,0,11787.197,1.616,119.063,2.198,2.083,6.046,0.28,1.77,2.525,0,0,0,0,0,0,19.501,0.17,9.8,1.026,0.001,0,56.3
