riverseg,landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,nal,nhi,nho,nhy,nlo,npa,pas,puh,pul,trp,urs,css,wat
DE0_3380_0000,A10001,8.957,115.23,61,0,5279.864,1317.71,53.332,3775.194,50.362,205.381,349,195,5652.963,0,0,0,0,0,0,229.129,251,1179,0,1.064,0,225
DE0_3410_0000,A10001,19.748,270.221,126,171,34162.992,2879.555,345.081,8249.828,118.102,481.628,377,217,12353.266,0,0,0,0,0,0,537.319,295,1741,0,2.346,0,4130
DE0_3790_0000,A10001,13.422,193.926,188,282,10631.438,1940.747,107.388,5560.175,84.757,345.644,1621,700,8325.786,0,0,0,0,0,0,385.611,1074,4912,0,1.595,0,805
DE0_3791_0001,A10001,6.347,49.363,158,52.7,7644.719,985.407,77.219,2823.158,21.574,87.982,717,326,4227.389,0,0,0,0,0,0,98.155,490,2488,0,0.754,0,177
DE0_3840_0000,A10001,4.388,55.59,86,51.6,5389.261,646.996,54.437,1853.621,24.296,99.08,411,204,2775.605,0,0,0,0,0,0,110.537,260,1919,0,0.521,0,1005
DE0_4140_0000,A10001,24.447,785.455,146,198,23753.693,2844.576,239.936,8149.614,343.289,1399.957,396,234,12203.204,0,0,0,0,0,0,1561.835,286,1751,0,2.904,0,722
DE0_4141_0001,A10001,6.125,145.463,14.4,16.2,5621.666,794.579,56.785,2276.442,63.576,259.266,32.8,23,3408.737,0,0,0,0,0,0,289.245,26.4,142,0,0.728,0,108
DE0_4230_0000,A10001,7.629,121.082,69,0,12798.354,1085.793,129.276,3110.759,52.92,215.81,355,143,4658.042,0,0,0,0,0,0,240.764,220,1067,0,0.906,0,811
DE0_4231_0001,A10001,1.287,25.582,1.1,0,1225.051,174.896,12.374,501.072,11.181,45.596,0.11,0.18,750.302,0,0,0,0,0,0,50.868,0.11,1.82,0,0.153,0,0
EL0_4560_4562,A10001,3.047,14.547,4.01,0,3879.462,63.904,39.186,183.083,37.28,25.928,14.21,11.3,274.148,70.75,890.445,310.805,126.102,1333.349,0,169.609,11.99,92.9,0,0.362,0,2.22
EL2_4400_4590,A10001,13.088,31.324,26,0,14973.139,137.771,151.244,394.71,159.972,55.829,21.2,26,591.037,334.697,4217.548,1472.111,596.548,6315.342,0,727.812,17.4,188,0,1.555,0,2
EL2_4590_0001,A10001,3.488,8.352,5.9,0,4800.885,36.711,48.494,105.176,42.657,14.887,1.62,9.96,157.49,89.248,1123.822,392.263,159.071,1682.806,0,194.073,1.72,71.7,0,0.414,0,0
EM2_3980_0001,A10001,18.29,100.554,47,39.6,26511.793,755.073,267.796,2163.257,147.185,179.222,47.4,91.3,3239.255,236.209,5081.684,1773.732,421.008,7609.296,0,669.635,40.1,724,0,2.173,0,66.7
EM3_4326_0000,A10001,5.858,41.574,13.6,0,5338.098,226.879,53.92,650.002,60.854,74.1,7.32,4.88,973.31,97.662,1526.912,532.96,174.068,2286.394,0,276.864,5.04,36,0,0.696,0,0.22
EU2_3520_0001,A10001,6.979,17.811,12.2,0,9686.844,212.293,97.847,608.211,37.837,31.745,5.53,34.1,910.733,68.762,2348.109,819.594,122.558,3516.051,0,172.145,3.94,269,0,0.829,0,13
DE0_2590_0000,A10003,0.142,5.474,16.2,0,4473.151,6.61,45.183,60.331,1.81,16.579,121,219,60.036,0,0,0,0,0,0,12.284,104,1356,0,0.015,0,9.34
DE0_2600_0000,A10003,1.417,135.233,30,0,6831.792,23.716,69.008,216.459,44.727,409.622,1461,438,215.403,0,0,0,0,0,0,303.485,928,3420,0,0.145,0,108
DE0_2610_0000,A10003,0.028,0.697,10.95,0,2409.924,1.514,24.343,13.821,0.231,2.112,1133,650,13.754,0,0,0,0,0,0,1.565,753,4158,0,0.003,0,155
DE0_2640_0000,A10003,1.215,141.731,20,0,7372.963,6.85,74.474,62.525,46.876,429.304,450,485,62.219,0,0,0,0,0,0,318.067,344,3474,0,0.124,0,178
DE0_2690_0000,A10003,1.396,76.293,103,0,11466.848,53.24,115.827,485.937,25.233,231.092,2252,1549,483.564,0,0,0,0,0,0,171.214,1668,10696,0,0.143,0,146
DE0_2710_0000,A10003,1.299,46.861,330,288,12433.709,62.174,125.593,567.475,15.499,141.944,6682,2162,564.704,0,0,0,0,0,0,105.165,4527,14644,0,0.133,0,513
DE0_2800_0000,A10003,0.003,0,20,0,648.17,0.23,6.547,2.098,0,0,770,229,2.089,0,0,0,0,0,0,0,579,1536,0,0,0,14.5
DE0_2850_0000,A10003,0.592,17.353,82,0,1780.345,30.446,17.983,277.887,5.739,52.563,846,305,276.53,0,0,0,0,0,0,38.944,564,2114,0,0.061,0,14.9
DE0_2870_0000,A10003,0,0,0.28,0,65.789,0.018,0.665,0.161,0,0,56.1,23.9,0.16,0,0,0,0,0,0,0,42.8,156,0,0,0,10
DE0_2920_0000,A10003,1.067,21.481,69,0,2854.829,59.97,28.837,547.365,7.105,65.067,472,230,544.692,0,0,0,0,0,0,48.208,359,1583,0,0.109,0,116
DE0_2960_0000,A10003,1.411,19.035,74,0.67,2689.487,84.207,27.167,768.577,6.296,57.657,406,194,764.825,0,0,0,0,0,0,42.718,244,1462,0,0.144,0,31.4
DE0_2990_0000,A10003,6.845,183.623,96,118,13432.739,360.743,135.684,3292.597,60.732,556.196,207,452,3276.521,0,0,0,0,0,0,412.081,168,3460,0,0.701,0,2005
DE0_3110_0000,A10003,10.36,228.497,98,83.2,11583.745,571.82,117.008,5219.159,75.574,692.119,436,447,5193.677,0,0,0,0,0,0,512.785,301,3128,0,1.06,0,972
DE0_3260_0000,A10003,5.002,143.336,11.5,0,12657.58,258.829,127.854,2362.406,47.407,434.167,85.3,44.5,2350.872,0,0,0,0,0,0,321.67,49.5,335,0,0.512,0,575
DE0_3280_0000,A10003,0.172,0.714,0,0,1302.249,11.137,13.154,101.648,0.236,2.163,0,0,101.152,0,0,0,0,0,0,1.602,0,0,0,0.018,0,35.8
DE0_3310_0000,A10003,0.91,2.278,2.3,0,3158.592,59.57,31.905,543.709,0.753,6.9,0.71,0.75,541.053,0,0,0,0,0,0,5.112,0.63,4.81,0,0.093,0,115
DE0_3380_0000,A10003,7.466,204.187,27,0,12137.396,391.389,122.6,3572.312,67.533,618.485,129.6,49.7,3554.871,0,0,0,0,0,0,458.23,91.8,297,0,0.764,0,206
EU0_3010_0000,A10003,2.159,7.145,37,0,2556.868,25.477,25.827,232.535,11.656,21.641,80.1,191.8,231.399,28.097,914.481,100.192,85.106,910.016,0,79.088,83,1677,0,0.221,0,16.2
EU0_3011_0000,A10003,1.046,3.084,18,0,1463.244,12.539,14.78,114.451,5.032,9.342,52,70.1,113.892,12.129,450.099,49.314,36.738,447.901,0,34.14,51.1,589,0,0.107,0,53.3
EU0_3201_0000,A10003,2.601,12.771,18,0,1852.066,28.515,18.708,260.258,20.834,38.682,34.32,66.4,258.987,50.221,1023.507,112.137,152.12,1018.511,0,141.363,29.02,505.4,0,0.266,0,14.2
EU0_3361_0000,A10003,2.144,9.639,1.42,0,2570.713,23.958,25.967,218.673,15.727,29.198,0.43,3.41,217.605,37.91,859.967,94.22,114.829,855.77,0,106.709,0.46,29.9,0,0.219,0,0.89
EU1_2981_0000,A10003,0.004,0,1.04,0,198.477,0.051,2.005,0.462,0,0,1.68,6.12,0.46,0,1.816,0.199,0,1.807,0,0,1.66,47.3,0,0,0,0
EU1_2983_0000,A10003,0.196,0.721,4.8,0,790.523,2.274,7.985,20.755,1.176,2.183,12.02,22,20.654,2.834,81.624,8.943,8.584,81.226,0,7.977,11.78,203.4,0,0.02,0,0
EU2_3520_0001,A10003,1.372,6.197,0.57,0,4868.66,15.601,49.178,142.399,9.962,18.77,0.43,1.39,141.704,23.923,549.759,60.233,72.463,547.075,0,67.594,0.46,17.1,0,0.14,0,6.94
DE0_4230_0000,A10005,9.369,73.491,54,0,8675.587,849.716,87.632,2348.602,168.583,285.457,262,192,5787.529,0,0,0,0,0,0,334.26,208,1491,0,0.564,0,189
DE0_4350_0000,A10005,14.741,95.076,48,4.89,15697.371,1410.255,158.559,3897.924,218.096,369.297,87.6,62.5,9605.438,0,0,0,0,0,0,432.433,79.6,469,0,0.887,0,1032
DE0_4520_0000,A10005,24.581,90.552,237,182,33296.266,2594.467,336.326,7171.068,207.719,351.726,698,464,17671.264,0,0,0,0,0,0,411.858,552,3102,0,1.479,0,1477
DE0_4570_0000,A10005,1.578,4.519,54,0,5761.429,171.217,58.196,473.241,10.365,17.551,659,200,1166.181,0,0,0,0,0,0,20.552,477,1240,0,0.095,0,501
DE0_4680_0000,A10005,11.794,39.706,174,202,17066.385,1258.144,172.388,3477.492,91.081,154.225,640,545,8569.391,0,0,0,0,0,0,180.592,506,3618,0,0.71,0,1078
DE0_4800_0000,A10005,19.639,68.554,164,366,25959.586,2086.446,262.218,5766.909,157.257,266.279,588,318,14211.068,0,0,0,0,0,0,311.803,410,2577,0,1.182,0,981
DE0_4850_0000,A10005,14.713,67.287,210,131,21933.994,1506.247,221.555,4163.246,154.351,261.359,796,583,10259.253,0,0,0,0,0,0,306.042,674,3928,0,0.885,0,1682
