riverseg,landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,nal,nhi,nho,nhy,nlo,npa,pas,puh,pul,trp,urs,css,wat
DE0_3380_0000,A10001,14.842,97.201,31,0,3942.792,1768.702,39.826,3057.228,372.06,188.644,237,150,7442.687,0,0,0,0,0,0,263.819,179,948,0,0.385,0,216
DE0_3410_0000,A10001,32.225,238.873,69,171,31605.883,3780.25,319.251,6534.22,914.344,463.596,242,174,15907.27,0,0,0,0,0,0,648.339,174,1257,0,0.835,0,3945
DE0_3790_0000,A10001,22.51,179.861,89,282,8823.538,2612.578,89.127,4515.882,688.46,349.067,1404,651,10993.713,0,0,0,0,0,0,488.17,956,4401,0,0.583,0,626
DE0_3791_0001,A10001,10.559,56.471,98,52.7,7182.644,1285.595,72.552,2222.171,216.157,109.597,555,292,5409.778,0,0,0,0,0,0,153.272,397,2169,0,0.274,0,148
DE0_3840_0000,A10001,7.447,55.977,53,51.6,4975.857,871.874,50.261,1507.047,214.266,108.638,307,182,3668.84,0,0,0,0,0,0,151.93,200,1648,0,0.193,0,897
DE0_4140_0000,A10001,39.477,600.147,79,198,18287.523,3968.015,184.722,6858.775,2297.207,1164.745,320,223,16697.383,0,0,0,0,0,0,1628.893,250,1571,0,1.023,0,673
DE0_4141_0001,A10001,9.798,127.342,6,16.2,4528.437,1031.489,45.742,1782.945,487.434,247.142,26.8,22.5,4340.5,0,0,0,0,0,0,345.627,22.2,137,0,0.254,0,108
DE0_4230_0000,A10001,12.309,104.754,35,0,11827.268,1414.779,119.467,2445.467,400.971,203.303,291,139,5953.381,0,0,0,0,0,0,284.319,190,1021,0,0.319,0,644
DE0_4231_0001,A10001,2.058,23.153,0.14,0,1010.649,224.435,10.209,387.94,88.624,44.935,0.11,0.18,944.422,0,0,0,0,0,0,62.841,0.11,1.82,0,0.053,0,0
EL0_4560_4562,A10001,4.561,75.671,0.56,0,3605.199,444.762,36.416,768.778,289.65,146.86,5.09,10.8,1871.557,0,0,0,0,0,0,205.384,4.91,86.1,0,0.118,0,2.22
EL2_4400_4590,A10001,20.708,317.509,13,0,12636.659,2075.607,127.643,3587.718,1215.342,616.211,18.5,25.7,8734.144,0,0,0,0,0,0,861.769,15.5,186,0,0.537,0,1.78
EL2_4590_0001,A10001,5.492,84.071,2.7,0,4198.306,550.817,42.407,952.096,321.804,163.163,1.62,9.88,2317.836,0,0,0,0,0,0,228.183,1.72,70.5,0,0.142,0,0
EM2_3980_0001,A10001,29.077,294.92,22,39.6,23690.84,3239.779,239.301,5600.008,1128.879,572.372,40.7,90.5,13632.972,0,0,0,0,0,0,800.461,36.3,717,0,0.753,0,56.8
EM3_4326_0000,A10001,9.323,122.684,6.9,0,4334.455,978.233,43.782,1690.891,469.601,238.1,2,4.6,4116.4,0,0,0,0,0,0,332.982,2,34.8,0,0.242,0,0.22
EU2_3520_0001,A10001,11.165,73.765,6.1,0,8652.625,1329.113,87.4,2297.393,282.355,143.161,4.11,34,5592.899,0,0,0,0,0,0,200.211,3.23,267,0,0.289,0,11.3
DE0_2590_0000,A10003,0.164,7.523,8.8,0,4445.301,9.881,44.902,48.105,25.994,7.063,111,220,94.517,0,0,0,0,0,0,14.935,95.4,1364,0,0.01,0,9.56
DE0_2600_0000,A10003,1.76,187.653,18,0,6435.613,45.273,65.006,220.408,648.396,176.182,1332,426,433.061,0,0,0,0,0,0,372.549,859,3308,0,0.105,0,107
DE0_2610_0000,A10003,0.183,8.707,0.27,0,2486.264,10.875,25.114,52.945,30.085,8.175,1094,635,104.026,0,0,0,0,0,0,17.286,728,3974,0,0.011,0,153
DE0_2640_0000,A10003,1.437,191.436,14,0,6958.087,15.211,70.284,74.053,661.466,179.733,420,471,145.499,0,0,0,0,0,0,380.058,325,3389,0,0.086,0,171
DE0_2690_0000,A10003,3.061,205.305,118,0,12315.032,147.796,124.394,719.534,709.388,192.755,1630,1300,1413.749,0,0,0,0,0,0,407.592,1304,8808,0,0.183,0,126
DE0_2710_0000,A10003,3.735,248.068,346,288,14590.398,181.691,147.378,884.549,857.147,232.904,5265,1833,1737.972,0,0,0,0,0,0,492.49,3663,11948,0,0.223,0,491
DE0_2800_0000,A10003,0.089,12.346,17,0,887.696,0.666,8.967,3.242,42.658,11.591,597,223,6.37,0,0,0,0,0,0,24.51,491,1469,0,0.005,0,12.5
DE0_2850_0000,A10003,1.166,47.071,95,0,2071.34,74.018,20.923,360.35,162.644,44.193,515,246,708.02,0,0,0,0,0,0,93.45,379,1595,0,0.07,0,11.1
DE0_2870_0000,A10003,0.001,0.062,0,0,65.152,0.026,0.658,0.128,0.213,0.058,55.4,24,0.252,0,0,0,0,0,0,0.122,42.4,157,0,0,0,10.4
DE0_2920_0000,A10003,1.808,50.013,63,0,2865.576,127.914,28.945,622.741,172.809,46.956,212,156,1223.569,0,0,0,0,0,0,99.291,155,1076,0,0.108,0,106
DE0_2960_0000,A10003,2.084,41.082,68,0.67,2578.959,156.839,26.05,763.557,141.95,38.571,324,115,1500.247,0,0,0,0,0,0,81.56,185,825,0,0.124,0,24.9
DE0_2990_0000,A10003,9.126,276.437,73,118,11814.684,631.906,119.34,3076.387,955.168,259.538,118,257,6044.522,0,0,0,0,0,0,548.81,105,1849,0,0.545,0,1968
DE0_3110_0000,A10003,13.771,336.116,71,83.2,8957.74,999.719,90.482,4867.059,1161.377,315.569,215,161,9562.856,0,0,0,0,0,0,667.292,169,1075,0,0.823,0,924
DE0_3260_0000,A10003,5.782,193.957,7.9,0,11221.411,389.611,113.348,1896.795,670.179,182.101,36,44.4,3726.844,0,0,0,0,0,0,385.064,31.7,333,0,0.345,0,572
DE0_3280_0000,A10003,0.199,0.981,0,0,1257.149,16.648,12.698,81.05,3.391,0.921,0,0,159.247,0,0,0,0,0,0,1.948,0,0,0,0.012,0,35.8
DE0_3310_0000,A10003,1.049,3.131,1.6,0,2925.355,88.989,29.549,433.237,10.819,2.94,0.71,0.75,851.228,0,0,0,0,0,0,6.216,0.63,4.81,0,0.063,0,114
DE0_3380_0000,A10003,8.632,280.85,18,0,10028.792,586.633,101.301,2855.979,970.416,263.681,66.3,49.1,5611.461,0,0,0,0,0,0,557.571,53.1,290,0,0.516,0,194
EU0_3010_0000,A10003,3.589,56.842,23,0,2152.15,278.046,21.739,1353.645,196.407,53.368,12.6,37.1,2659.659,0,0,0,0,0,0,112.849,11.4,330,0,0.214,0,14.4
EU0_3011_0000,A10003,1.568,22.17,11,0,1285.16,123.004,12.981,598.834,76.602,20.814,12.8,17.3,1176.597,0,0,0,0,0,0,44.013,12.3,107,0,0.094,0,79.1
EU0_3201_0000,A10003,3.359,99.5,10,0,1167.57,233.851,11.794,1138.485,343.803,93.418,9.65,13,2236.909,0,0,0,0,0,0,197.538,6.51,79.1,0,0.201,0,14.2
EU0_3361_0000,A10003,2.474,63.357,0.95,0,1947.899,177.918,19.676,866.181,218.915,59.484,0.43,3.41,1701.884,0,0,0,0,0,0,125.782,0.46,29.9,0,0.148,0,0.89
EU1_2981_0000,A10003,0.007,0,0.7,0,201.436,0.599,2.035,2.918,0,0,1.14,5.32,5.734,0,0,0,0,0,0,0,1.09,42.1,0,0,0,0
EU1_2983_0000,A10003,0.325,6.346,4.7,0,749.347,24.493,7.569,119.242,21.928,5.958,2.61,11.2,234.288,0,0,0,0,0,0,12.599,2.39,87.1,0,0.019,0,1.56
EU2_3520_0001,A10003,1.583,42.448,0.38,0,4479.622,112.703,45.249,548.688,146.67,39.853,0.334,1.39,1078.07,0,0,0,0,0,0,84.272,0.355,17.1,0,0.095,0,3.11
DE0_4230_0000,A10005,14.817,118.698,31,0,7443.94,805.984,75.191,2225.942,715.751,302.376,242,180,6640.351,0,0,0,0,0,0,522.329,196,1316,0,0.409,0,186
DE0_4350_0000,A10005,22.814,153.212,27,4.89,14375.192,1296.867,145.204,3581.646,923.871,390.299,79.7,63.1,10684.636,0,0,0,0,0,0,674.208,73.4,461,0,0.629,0,726
DE0_4520_0000,A10005,38.188,138.95,146,182,31777.441,2393.168,320.984,6609.377,837.873,353.968,593,433,19716.852,0,0,0,0,0,0,611.45,486,2840,0,1.054,0,1390
DE0_4570_0000,A10005,2.804,2.262,30,0,5815.534,190.753,58.743,526.815,13.641,5.763,589,184,1571.578,0,0,0,0,0,0,9.955,446,1066,0,0.077,0,303
DE0_4680_0000,A10005,19.039,66.793,115,202,17107.496,1197.811,172.803,3308.076,402.761,170.151,463,421,9868.531,0,0,0,0,0,0,293.921,386,2536,0,0.525,0,1054
DE0_4800_0000,A10005,30.231,116.91,98,366,25348.869,1881.476,256.049,5196.202,704.967,297.82,453,287,15501.122,0,0,0,0,0,0,514.46,338,2222,0,0.834,0,902
DE0_4850_0000,A10005,23.82,117.982,136,131,20842.168,1433.481,210.527,3958.944,711.437,300.554,653,521,11810.18,0,0,0,0,0,0,519.182,581,3295,0,0.657,0,1647
DE0_4990_0000,A10005,6.201,41.354,12,0,4336.275,353.083,43.801,975.134,249.367,105.348,97,43.6,2908.987,0,0,0,0,0,0,181.979,73.5,279,0,0.171,0,168
DE0_5020_0000,A10005,11.226,75.198,81,33.4,9197.501,638.494,92.904,1763.373,453.443,191.562,561,222,5260.429,0,0,0,0,0,0,330.907,462,1189,0,0.31,0,1564
DE0_5021_0000,A10005,1.77,11.982,2.3,33.4,600.628,100.41,6.067,277.308,72.249,30.522,12.5,13.3,827.256,0,0,0,0,0,0,52.725,11.7,81.3,0,0.049,0,7.59
DE0_5170_0000,A10005,3.41,22.354,10,0,3098.482,194.898,31.298,538.263,134.793,56.945,113,50.9,1605.727,0,0,0,0,0,0,98.367,84,396,0,0.094,0,5.92
EL0_4560_4562,A10005,15.203,137.967,44,0,5661.964,796.341,57.192,2199.31,831.942,351.462,186,109,6560.901,0,0,0,0,0,0,607.122,138,810,0,0.419,0,4.23
EL0_4561_4562,A10005,12.16,86.374,23,14,9582.156,682.312,96.789,1884.388,520.84,220.034,9.98,19,5621.439,0,0,0,0,0,0,380.091,8.09,166,0,0.335,0,4.64
EL0_4562_0001,A10005,5.975,25.975,11,0,1226.759,366.449,12.392,1012.046,156.629,66.17,30.2,20,3019.102,0,0,0,0,0,0,114.303,23.3,114,0,0.165,0,0
EL0_4591_0000,A10005,0.673,6.08,0.63,0,215.871,35.275,2.181,97.42,36.664,15.489,0.246,0.1,290.62,0,0,0,0,0,0,26.756,0.259,0.735,0,0.019,0,0
EL0_4594_0000,A10005,4.229,22.488,4.8,0,2575.026,251.574,26.01,694.79,135.602,57.286,5.51,8.46,2072.67,0,0,0,0,0,0,98.957,5.23,45.1,0,0.117,0,3.11
EL0_4597_0000,A10005,1.319,1.681,0.22,0,153.406,88.567,1.55,244.601,10.136,4.282,0.17,0,729.686,0,0,0,0,0,0,7.397,0.05,0,0,0.036,0,0
EL0_4631_0000,A10005,10.033,67.508,11,84.5,16117.176,570.06,162.8,1574.373,407.075,171.973,20.7,29.2,4696.613,0,0,0,0,0,0,297.069,21,227,0,0.277,0,56.7
EL0_4632_0000,A10005,21.332,90.219,42,44.3,21848.188,1313.024,220.689,3626.269,544.024,229.829,179,127,10817.75,0,0,0,0,0,0,397.01,148,806,0,0.589,0,163
EL0_4633_0000,A10005,51.496,314.292,115,64.3,32799.945,2986.998,331.313,8249.398,1895.189,800.642,301,241,24609.301,0,0,0,0,0,0,1383.042,239,1701,0,1.421,0,330
EL0_5400_0001,A10005,0.775,3.679,9.6,0,437.396,46.948,4.418,129.66,22.187,9.373,51.3,28.8,386.796,0,0,0,0,0,0,16.191,38,174,0,0.021,0,0
EL2_4590_0001,A10005,14.288,150.798,20,0,11234.064,708.451,113.475,1956.577,909.313,384.148,7.84,23.9,5836.79,0,0,0,0,0,0,663.585,7.96,189,0,0.394,0,0
EL2_4630_0000,A10005,38.074,169.753,119,143,17891.6,2326.933,180.723,6426.451,1023.618,432.438,646.478,369,19171.154,0,0,0,0,0,0,747,464.272,2554,0,1.05,157.25,271
EL2_4634_0000,A10005,0.019,0,0,0,9.62,1.353,0.097,3.738,0,0,0,0,11.151,0,0,0,0,0,0,0,0,0,0,0.001,0,0
EL2_5110_5270,A10005,12.555,68.492,13,24,12213.563,743.641,123.369,2053.764,413.006,174.478,15.8,14.4,6126.713,0,0,0,0,0,0,301.397,14.3,94.5,0,0.346,0,1.56
PL0_4510_0001,A11001,0,0,0.3,0,82.578,0,0.834,0,0,0,517.444,79.5,0,0,0,0,0,0,0,0,449.706,460,0,0,60.85,0
PL1_4460_4780,A11001,0,0,0.04,0,470.57,0,4.753,0,0,0,28.7,54.5,0,0,0,0,0,0,0,0,30.2,276,0,0,0,0
PL1_4780_0001,A11001,0,0,7.4,0,2037.535,0,20.581,0,0,0,325.056,351,0,0,0,0,0,0,0,0,279.224,1936,0,0,252.72,56.3
PL2_4810_0000,A11001,0,0,23,0,1267.248,0,12.8,0,0,0,2790.422,442,0,0,0,0,0,0,0,0,2196.058,2767,0,0,181.52,161
PL2_4811_0000,A11001,0,0,0.51,0,60.567,0,0.612,0,0,0,27.1,16.6,0,0,0,0,0,0,0,0,23.6,108,0,0,0,0.22
PL2_4945_0004,A11001,0,0,0.484,0,227.507,0,2.298,0,0,0,0,103.586,0,0,0,0,0,0,0,0,0,620.871,0,0,11812.56,36
PL7_4910_0000,A11001,0,0,0.37,0,1004.318,0,10.145,0,0,0,218.881,142,0,0,0,0,0,0,0,0,180.929,750,0,0,53.19,46
PL7_4940_0000,A11001,0,0,1.3,0,22.827,0,0.231,0,0,0,334.849,63.4,0,0,0,0,0,0,0,0,210.101,474,0,0,36.05,113
PL7_4942_0000,A11001,0,0,0.14,0,4.436,0,0.045,0,0,0,9.7,12,0,0,0,0,0,0,0,0,9.06,130,0,0,0,0.67
PL7_4960_0000,A11001,0,0,0.46,0,338.54,0,3.42,0,0,0,1077,199,0,0,0,0,0,0,0,0,894,1141,0,0,0,0.89
PM7_4820_0001,A11001,0,0,2.6,0,304.923,0,3.08,0,0,0,150,116,0,0,0,0,0,0,0,0,120,600,0,0,0,14.5
PU0_3871_3690,A24001,4.754,79.238,6.1,0,30273.496,79.649,305.793,57.735,79.528,195.592,54.8,55.1,23.458,0,0,0,0,0,0,482.069,44.7,274,1.569,0.121,0,9.53
PU1_3100_3690,A24001,8.15,135.5,2.8,0,7908.949,145.503,79.888,105.469,135.997,334.47,23.3,45.3,42.854,0,0,0,0,0,0,824.358,22.5,240,2.684,0.207,0,10.2
PU1_3580_3780,A24001,11.643,191.416,0,6,12372.628,264.885,124.976,192.005,192.118,472.495,0,0,78.014,0,0,0,0,0,0,1164.543,0,0,3.791,0.296,2631.98,242
PU2_3180_3370,A24001,0.863,14.533,0.01,0,1228.446,10.632,12.409,7.707,14.586,35.873,0,0.98,3.131,0,0,0,0,0,0,88.414,0,5.81,0.288,0.022,0,0
PU2_3370_4020,A24001,25.278,428.23,0,34.7,36010.016,238.948,363.738,173.205,429.8,1057.049,58.8,59.4,70.375,0,0,0,0,0,0,2605.275,47.2,343,8.481,0.642,0,85.5
PU4_3780_3930,A24001,7.446,121.936,0,0,8776.79,182.292,88.654,132.137,122.383,300.989,121,74.1,53.689,0,0,0,0,0,0,741.838,75.6,376,2.415,0.189,0,239
PU4_3890_3990,A24001,0.289,4.429,0,0,36.981,15.139,0.374,10.973,4.445,10.933,0,0,4.459,0,0,0,0,0,0,26.945,0,0,0.088,0.007,842.91,55.1
PU4_3990_3780,A24001,0.288,4.097,0,0,33.996,23.361,0.343,16.934,4.112,10.113,0,0,6.88,0,0,0,0,0,0,24.924,0,0,0.081,0.007,911.91,50.5
