riverseg,landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,nal,nhi,nho,nhy,nlo,npa,pas,puh,pul,trp,urs,css,wat
DE0_3380_0000,A10001,12.993,103.681,32,0,4091.874,1860.228,41.332,2904.718,560.994,211.332,257,151,7098.945,0,0,0,0,0,0,261.704,190,954,0,0.384,0,217
DE0_3410_0000,A10001,28.216,253.569,71,171,31821.438,3979.632,321.429,6214.134,1372,516.847,284,179,15186.948,0,0,0,0,0,0,640.04,199,1294,0,0.835,0,3944
DE0_3790_0000,A10001,19.674,188.684,91,282,8957.088,2749.792,90.476,4293.757,1020.918,384.591,1430,654,10493.668,0,0,0,0,0,0,476.26,970,4437,0,0.582,0,633
DE0_3791_0001,A10001,9.217,57.248,99,52.7,7303.873,1354.219,73.776,2114.592,309.754,116.687,584,293,5167.93,0,0,0,0,0,0,144.5,414,2186,0,0.273,0,150
DE0_3840_0000,A10001,6.472,55.584,54,51.6,5003.889,918.253,50.544,1433.838,300.752,113.296,330,185,3504.21,0,0,0,0,0,0,140.301,215,1690,0,0.191,0,898
DE0_4140_0000,A10001,34.61,642.658,81,198,17782.357,4178.702,179.62,6524.978,3477.26,1309.921,333,222,15946.633,0,0,0,0,0,0,1622.146,258,1572,0,1.024,0,678
DE0_4141_0001,A10001,8.591,136.351,6.3,16.2,4466.04,1086.389,45.112,1696.379,737.762,277.923,27.7,22.5,4145.843,0,0,0,0,0,0,344.167,22.9,137,0,0.254,0,108
DE0_4230_0000,A10001,10.763,111.093,36,0,11861.181,1487.574,119.81,2322.823,601.094,226.438,304,140,5676.832,0,0,0,0,0,0,280.411,197,1034,0,0.318,0,677
DE0_4231_0001,A10001,1.805,24.805,0.17,0,1007.293,236.415,10.175,369.159,134.213,50.559,0.11,0.18,902.201,0,0,0,0,0,0,62.61,0.11,1.82,0,0.053,0,0
EL0_4560_4562,A10001,4.043,81.523,0.66,0,3487.427,474.434,35.227,740.82,441.102,166.168,5.09,11,1810.519,0,0,0,0,0,0,205.775,4.91,87.6,0,0.12,0,2.22
EL2_4400_4590,A10001,18.167,340.16,13,0,12367.252,2187.363,124.922,3415.534,1840.517,693.342,18.5,25.7,8347.348,0,0,0,0,0,0,858.604,15.6,186,0,0.537,0,1.78
