TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A36023,0.,1,0.03,0.3,0,50,1008.972,5,0.5,2,0,550,380.4830,5,1,8,0,300,8.111500,6,0.5,1,0,100,0,0,0,0,na,na
A36025,0.,1,0.03,0.3,0,50,1151.295,5,0.5,2,0,550,354.9535,5,1,8,0,300,8.375000,6,0.5,1,0,100,0,0,0,0,na,na
A36043,0.001000,1,0.03,0.3,0,50,549.7550,5,0.5,2,0,550,362.0175,5,1,8,0,300,8.597000,6,0.5,1,0,100,0,0,0,0,na,na
A36051,0.001000,1,0.03,0.3,0,50,1890.328,5,0.5,2,0,550,238.1125,5,1,8,0,300,4.966500,6,0.5,1,0,100,0,0,0,0,na,na
A36053,0.,1,0.03,0.3,0,50,309.0780,5,0.5,2,0,550,241.8580,5,1,8,0,300,6.420500,6,0.5,1,0,100,0,0,0,0,na,na
A36065,0.001000,1,0.03,0.3,0,50,464.3930,5,0.5,2,0,550,365.9985,5,1,8,0,300,8.362499,6,0.5,1,0,100,0,0,0,0,na,na
A36067,0.,1,0.03,0.3,0,50,418.7500,5,0.5,2,0,550,371.0230,5,1,8,0,300,8.484500,6,0.5,1,0,100,0,0,0,0,na,na
A36069,0.001000,1,0.03,0.3,0,50,1548.168,5,0.5,2,0,550,291.6450,5,1,8,0,300,6.196000,6,0.5,1,0,100,0,0,0,0,na,na
A36077,0.,1,0.03,0.3,0,50,1021.842,5,0.5,2,0,550,353.9285,5,1,8,0,300,8.071501,6,0.5,1,0,100,0,0,0,0,na,na
A36095,0.,1,0.03,0.3,0,50,1231.433,5,0.5,2,0,550,363.6530,5,1,8,0,300,8.519501,6,0.5,1,0,100,0,0,0,0,na,na
A36097,0.,1,0.03,0.3,0,50,1744.030,5,0.5,2,0,550,283.2445,5,1,8,0,300,6.060000,6,0.5,1,0,100,0,0,0,0,na,na
A36101,0.,1,0.03,0.3,0,50,1160.062,5,0.5,2,0,550,276.3085,5,1,8,0,300,5.907000,6,0.5,1,0,100,0,0,0,0,na,na
A36107,0.001000,1,0.03,0.3,0,50,1358.245,5,0.5,2,0,550,279.4055,5,1,8,0,300,6.282000,6,0.5,1,0,100,0,0,0,0,na,na
A36109,0.001000,1,0.03,0.3,0,50,2186.996,5,0.5,2,0,550,300.6945,5,1,8,0,300,6.562000,6,0.5,1,0,100,0,0,0,0,na,na
A36123,0.,1,0.03,0.3,0,50,1523.305,5,0.5,2,0,550,290.0580,5,1,8,0,300,6.142000,6,0.5,1,0,100,0,0,0,0,na,na
A37001,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37005,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37009,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37033,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37067,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37077,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37081,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37131,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37135,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37145,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37157,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37169,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37171,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37181,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37185,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37189,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A42001,0.006500,1,0.03,0.3,0,50,506.9605,5,0.5,2,0,550,72.77350,5,1,8,0,300,2.186000,6,0.5,1,0,100,0,0,0,0,na,na
A42009,0.001000,1,0.03,0.3,0,50,423.2235,5,0.5,2,0,550,306.7715,5,1,8,0,300,7.164500,6,0.5,1,0,100,0,0,0,0,na,na
A42011,0.001500,1,0.03,0.3,0,50,1625.021,5,0.5,2,0,550,323.1385,5,1,8,0,300,6.611000,6,0.5,1,0,100,0,0,0,0,na,na
A42013,0.001000,1,0.03,0.3,0,50,843.7855,5,0.5,2,0,550,363.9080,5,1,8,0,300,7.413000,6,0.5,1,0,100,0,0,0,0,na,na
A42015,0.001000,1,0.03,0.3,0,50,578.6775,5,0.5,2,0,550,225.9465,5,1,8,0,300,6.150500,6,0.5,1,0,100,0,0,0,0,na,na
A42021,0.,1,0.03,0.3,0,50,678.0520,5,0.5,2,0,550,178.6065,5,1,8,0,300,4.776000,6,0.5,1,0,100,0,0,0,0,na,na
A42023,0.,1,0.03,0.3,0,50,982.4575,5,0.5,2,0,550,166.7275,5,1,8,0,300,4.641500,6,0.5,1,0,100,0,0,0,0,na,na
A42025,0.001000,1,0.03,0.3,0,50,1972.987,5,0.5,2,0,550,330.1360,5,1,8,0,300,8.823500,6,0.5,1,0,100,0,0,0,0,na,na
A42027,0.,1,0.03,0.3,0,50,248.2130,5,0.5,2,0,550,381.0365,5,1,8,0,300,7.936000,6,0.5,1,0,100,0,0,0,0,na,na
A42029,0.002000,1,0.03,0.3,0,50,683.0900,5,0.5,2,0,550,345.0705,5,1,8,0,300,7.772500,6,0.5,1,0,100,0,0,0,0,na,na
A42033,0.001000,1,0.03,0.3,0,50,738.9280,5,0.5,2,0,550,262.5815,5,1,8,0,300,6.083500,6,0.5,1,0,100,0,0,0,0,na,na
A42035,0.,1,0.03,0.3,0,50,717.9840,5,0.5,2,0,550,296.3415,5,1,8,0,300,7.074500,6,0.5,1,0,100,0,0,0,0,na,na
A42037,0.,1,0.03,0.3,0,50,2134.785,5,0.5,2,0,550,341.1260,5,1,8,0,300,6.967000,6,0.5,1,0,100,0,0,0,0,na,na
A42041,0.004000,1,0.03,0.3,0,50,380.1835,5,0.5,2,0,550,330.5420,5,1,8,0,300,7.267500,6,0.5,1,0,100,0,0,0,0,na,na
A42043,0.002000,1,0.03,0.3,0,50,278.5065,5,0.5,2,0,550,97.66900,5,1,8,0,300,3.530000,6,0.5,1,0,100,0,0,0,0,na,na
A42047,0.001000,1,0.03,0.3,0,50,1103.005,5,0.5,2,0,550,175.1500,5,1,8,0,300,4.683000,6,0.5,1,0,100,0,0,0,0,na,na
