TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.019012,0.000100,0.,10.00000,0.019012,na,na,0.019012,0.000100,0.,10.00000,0.019012,na,na,0.002773,0.100000,0.100E-04,2.274209,0.002773,na,na,0.000100,0.100000,0.100E-04,0.943116,0.000100,71.28237,2111.251,0.0001,1.07,14028.71,4262.875,0.0001,1.07,0.466932,28.37478,0.0001,1.07,0.466932,28.37478,0.0001,1.07,11.88965,2.377931,0,0,1.07,20
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.056454,0.000100,0.,10.00000,0.056454,na,na,0.056454,0.000100,0.,10.00000,0.056454,na,na,0.008249,0.100000,0.100E-04,2.160003,0.008249,na,na,0.000100,0.100000,0.100E-04,0.698990,0.000100,31.29200,1483.024,0.0001,1.07,31957.04,6068.683,0.0001,1.07,0.390859,20.10118,0.0001,1.07,0.390859,20.10118,0.0001,1.07,4.196026,0.839207,0,0,1.07,20
A24017,0.4,11.38160131,93.82588115,60,72.46194161,79.66073934,74.2061067,75.88794563,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.000100,0.,10.00000,0.000100,na,na,0.000100,0.000100,0.,10.00000,0.000100,na,na,0.000100,0.100000,0.100E-04,1.048760,0.000100,na,na,0.000100,0.100000,0.100E-04,1.048760,0.000100,0.216518,210.0587,0.0001,1.07,50000.00,42845.17,0.0001,1.07,0.158156,27.60674,0.0001,1.07,0.158156,27.60674,0.0001,1.07,3.279872,0.655974,0,0,1.07,20
A24019,0.4,11.70814521,90.67459023,60,67.97859963,74.00500344,77.94094908,79.73221888,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.029282,0.,10.00000,0.000100,na,na,0.000100,0.001766,0.,10.00000,0.000100,na,na,0.000100,0.100000,0.100E-04,0.960370,0.000100,na,na,0.000100,0.100000,0.100E-04,0.679936,0.000100,0.100000,1799.158,0.0001,1.07,50000.00,5002.339,0.0001,1.07,0.160545,27.35070,0.0001,1.07,0.160545,27.35070,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24021,0.4,8.89553794,86.16254679,60,74.64399958,82.41340547,54.50520348,55.60980594,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.013253,0.000100,0.,10.00000,0.013253,na,na,0.013253,0.000100,0.,10.00000,0.013253,na,na,0.001943,0.100000,0.100E-04,1.669301,0.001943,na,na,0.000100,0.100000,0.100E-04,0.655589,0.000100,77.27110,597.7178,0.0001,1.07,12941.46,15057.29,0.0001,1.07,0.383095,32.55025,0.0001,1.07,0.383095,32.55025,0.0001,1.07,13.52688,2.705378,0,0,1.07,20
A24023,0.4,8.592249922,84.09700285,60,75.90991824,84.01036186,51.66532222,52.68671617,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.002012,0.000100,0.,6.222630,0.002012,na,na,0.002012,0.000100,0.,4.749743,0.002012,na,na,0.000271,0.100000,0.100E-04,1.657416,0.000271,na,na,0.000100,0.100000,0.100E-04,0.705693,0.000100,344.0588,1782.627,0.0001,1.07,2906.481,5048.731,0.0001,1.07,0.516738,48.23588,0.0001,1.07,0.516738,48.23588,0.0001,1.07,23.20604,4.641211,0,0,1.07,20
A24025,0.4,9.829871706,76.05981816,60,74.10626944,81.7350589,70.96881411,72.55580036,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.022728,0.000100,0.,10.00000,0.022728,na,na,0.022728,0.000100,0.,10.00000,0.022728,na,na,0.003252,0.049600,0.000010,2.079461,0.003252,na,na,0.000100,0.049600,0.000010,0.656124,0.000100,134.2459,1028.910,0.0001,1.07,7449.019,8747.125,0.0001,1.07,1.094121,35.01066,0.0001,1.07,1.094121,35.01066,0.0001,1.07,9.592223,1.918445,0,0,1.07,20
A24027,0.4,9.197760165,69.92606107,60,72.0840588,79.18404018,69.37935528,70.91977039,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.153114,0.000100,0.,10.00000,0.153114,na,na,0.153114,0.000100,0.,10.00000,0.153114,na,na,0.024084,0.071807,0.100E-04,2.444167,0.024084,na,na,0.000100,0.071807,0.100E-04,0.768503,0.000100,163.0184,1005.982,0.0001,1.07,6134.272,8946.480,0.0001,1.07,0.688670,23.44689,0.0001,1.07,0.688670,23.44689,0.0001,1.07,1.090716,0.218143,0,0,1.07,20
A24029,0.4,11.48586698,84.6611575,60,76.52072595,84.78089578,86.57554961,88.61981322,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.002908,0.,10.00000,0.000100,na,na,0.000100,0.000174,0.,10.00000,0.000100,na,na,0.000100,0.100000,0.100E-04,1.164901,0.000100,na,na,0.000100,0.100000,0.100E-04,1.164901,0.000100,0.100000,510.7440,0.0001,1.07,50000.00,17621.36,0.0001,1.07,0.237232,44.23361,0.0001,1.07,0.237232,44.23361,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24031,0.4,8.755937943,66.26503337,60,74.40415743,82.1108446,65.6992694,67.13185799,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.119442,0.000175,0.,10.00000,0.119442,na,na,0.119442,0.000100,0.,10.00000,0.119442,na,na,0.018211,0.081610,0.100E-04,2.451154,0.018211,na,na,0.000100,0.081610,0.100E-04,1.114912,0.000100,241.4457,646.8523,0.0001,1.07,4141.719,13913.54,0.0001,1.07,0.645527,24.77593,0.0001,1.07,0.645527,24.77593,0.0001,1.07,1.087790,0.217558,0,0,1.07,20
