TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,0.,1,0.03,0.3,0,50,45.36800,5,0.5,2,0,550,5.092500,5,1,8,0,300,0.136500,6,0.5,1,0,100,0,0,0,0,na,na
A10003,0.,1,0.03,0.3,0,50,146.2670,5,0.5,2,0,550,1.123000,5,1,8,0,300,0.068000,6,0.5,1,0,100,0,0,0,0,na,na
A10005,0.,1,0.03,0.3,0,50,44.94050,5,0.5,2,0,550,27.77800,5,1,8,0,300,1.614000,6,0.5,1,0,100,0,0,0,0,na,na
A11001,1.994000,1,0.03,0.3,0,50,57.10450,5,0.5,2,0,550,21.18250,5,1,8,0,300,1.227000,6,0.5,1,0,100,0,0,0,0,na,na
A24001,0.805000,1,0.03,0.3,0,50,271.7415,5,0.5,2,0,550,1.677500,5,1,8,0,300,0.092500,6,0.5,1,0,100,0,0,0,0,na,na
A24003,0.,1,0.03,0.3,0,50,136.1715,5,0.5,2,0,550,1.101000,5,1,8,0,300,0.075000,6,0.5,1,0,100,0,0,0,0,na,na
A24009,0.069000,1,0.03,0.3,0,50,86.35250,5,0.5,2,0,550,1.465000,5,1,8,0,300,0.070000,6,0.5,1,0,100,0,0,0,0,na,na
A24005,0.725000,1,0.03,0.3,0,50,328.0105,5,0.5,2,0,550,13.96000,5,1,8,0,300,0.418000,6,0.5,1,0,100,0,0,0,0,na,na
A24011,0.,1,0.03,0.3,0,50,161.9520,5,0.5,2,0,550,1.218000,5,1,8,0,300,0.076000,6,0.5,1,0,100,0,0,0,0,na,na
A24013,0.974500,1,0.03,0.3,0,50,287.4270,5,0.5,2,0,550,3.486000,5,1,8,0,300,0.127500,6,0.5,1,0,100,0,0,0,0,na,na
A24015,0.381000,1,0.03,0.3,0,50,306.4050,5,0.5,2,0,550,4.897500,5,1,8,0,300,0.115500,6,0.5,1,0,100,0,0,0,0,na,na
A24017,0.,1,0.03,0.3,0,50,108.6635,5,0.5,2,0,550,1.111500,5,1,8,0,300,0.048000,6,0.5,1,0,100,0,0,0,0,na,na
A24019,0.,1,0.03,0.3,0,50,160.0985,5,0.5,2,0,550,0.873000,5,1,8,0,300,0.059500,6,0.5,1,0,100,0,0,0,0,na,na
A24021,0.538500,1,0.03,0.3,0,50,239.4360,5,0.5,2,0,550,2.936000,5,1,8,0,300,0.101000,6,0.5,1,0,100,0,0,0,0,na,na
A24023,0.283500,1,0.03,0.3,0,50,209.1435,5,0.5,2,0,550,2.365000,5,1,8,0,300,0.093500,6,0.5,1,0,100,0,0,0,0,na,na
A24025,0.975500,1,0.03,0.3,0,50,258.0935,5,0.5,2,0,550,8.027000,5,1,8,0,300,0.211500,6,0.5,1,0,100,0,0,0,0,na,na
A24027,0.992000,1,0.03,0.3,0,50,316.1730,5,0.5,2,0,550,7.255500,5,1,8,0,300,0.206500,6,0.5,1,0,100,0,0,0,0,na,na
A24029,0.,1,0.03,0.3,0,50,181.6755,5,0.5,2,0,550,1.046500,5,1,8,0,300,0.054000,6,0.5,1,0,100,0,0,0,0,na,na
A24031,0.730500,1,0.03,0.3,0,50,315.7000,5,0.5,2,0,550,6.753000,5,1,8,0,300,0.171000,6,0.5,1,0,100,0,0,0,0,na,na
A24033,0.,1,0.03,0.3,0,50,102.8915,5,0.5,2,0,550,1.321500,5,1,8,0,300,0.066500,6,0.5,1,0,100,0,0,0,0,na,na
A24035,0.,1,0.03,0.3,0,50,157.8655,5,0.5,2,0,550,1.766500,5,1,8,0,300,0.056500,6,0.5,1,0,100,0,0,0,0,na,na
A24037,0.,1,0.03,0.3,0,50,130.6840,5,0.5,2,0,550,0.876000,5,1,8,0,300,0.045000,6,0.5,1,0,100,0,0,0,0,na,na
A24039,0.,1,0.03,0.3,0,50,204.4065,5,0.5,2,0,550,0.745500,5,1,8,0,300,0.049500,6,0.5,1,0,100,0,0,0,0,na,na
A24041,0.,1,0.03,0.3,0,50,175.1230,5,0.5,2,0,550,1.057000,5,1,8,0,300,0.053500,6,0.5,1,0,100,0,0,0,0,na,na
A24043,1.056500,1,0.03,0.3,0,50,59.15650,5,0.5,2,0,550,230.6375,5,1,8,0,300,6.531000,6,0.5,1,0,100,0,0,0,0,na,na
A24045,0.,1,0.03,0.3,0,50,177.0885,5,0.5,2,0,550,1.353000,5,1,8,0,300,0.066500,6,0.5,1,0,100,0,0,0,0,na,na
A24047,0.,1,0.03,0.3,0,50,162.1620,5,0.5,2,0,550,1.585500,5,1,8,0,300,0.082000,6,0.5,1,0,100,0,0,0,0,na,na
A24510,2.491500,1,0.03,0.3,0,50,93.50850,5,0.5,2,0,550,45.25500,5,1,8,0,300,3.107500,6,0.5,1,0,100,0,0,0,0,na,na
A36003,0.165500,1,0.03,0.3,0,50,71.77100,5,0.5,2,0,550,0.831000,5,1,8,0,300,0.041000,6,0.5,1,0,100,0,0,0,0,na,na
A36007,0.148000,1,0.03,0.3,0,50,117.9970,5,0.5,2,0,550,3.268500,5,1,8,0,300,0.111500,6,0.5,1,0,100,0,0,0,0,na,na
A36015,0.154500,1,0.03,0.3,0,50,156.3945,5,0.5,2,0,550,1.140000,5,1,8,0,300,0.058500,6,0.5,1,0,100,0,0,0,0,na,na
A36017,0.065500,1,0.03,0.3,0,50,90.98950,5,0.5,2,0,550,4.473000,5,1,8,0,300,0.202000,6,0.5,1,0,100,0,0,0,0,na,na
A36023,0.141500,1,0.03,0.3,0,50,69.09900,5,0.5,2,0,550,9.232500,5,1,8,0,300,0.486000,6,0.5,1,0,100,0,0,0,0,na,na
A36025,0.071500,1,0.03,0.3,0,50,117.0340,5,0.5,2,0,550,3.988000,5,1,8,0,300,0.193000,6,0.5,1,0,100,0,0,0,0,na,na
A36043,0.138500,1,0.03,0.3,0,50,73.72850,5,0.5,2,0,550,7.123000,5,1,8,0,300,0.456000,6,0.5,1,0,100,0,0,0,0,na,na
A36051,0.363500,1,0.03,0.3,0,50,92.81900,5,0.5,2,0,550,1.838000,5,1,8,0,300,0.044000,6,0.5,1,0,100,0,0,0,0,na,na
A36053,0.245000,1,0.03,0.3,0,50,93.10700,5,0.5,2,0,550,13.06300,5,1,8,0,300,0.709500,6,0.5,1,0,100,0,0,0,0,na,na
A36065,0.144000,1,0.03,0.3,0,50,81.47600,5,0.5,2,0,550,10.15000,5,1,8,0,300,0.644000,6,0.5,1,0,100,0,0,0,0,na,na
