TABLE->,PWT-PARM1,PWT-PARM1,PWT-PARM1,PWT-PARM1,PWT-PARM2,PWT-PARM2,PWT-PARM2,PWT-PARM2,PWT-PARM2,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,PWT-TEMPS,PWT-TEMPS,PWT-TEMPS,PWT-GASES,PWT-GASES,PWT-GASES,PWT-GASES,PWT-GASES,PWT-GASES
VARS->,IDV,ICV,GDV,GCV,ELEV,IDOXP,ICO2P,ADOXP,ACO2P,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,SOTMP,IOTMP,AOTMP,SODOX,SOCO2,IODOX,IOCO2,AODOX,AOCO2
A10001,1,0,1,0,48.75,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A10003,1,0,1,0,122.79,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A10005,1,0,1,0,33.43,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A11001,1,0,1,0,19.69,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24001,1,0,1,0,846.87,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24003,1,0,1,0,113.78,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24005,1,0,1,0,542.71,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24009,1,0,1,0,93.11,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24011,1,0,1,0,48.42,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24013,1,0,1,0,632.27,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24015,1,0,1,0,201.19,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24017,1,0,1,0,116.17,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24019,1,0,1,0,13.72,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24021,1,0,1,0,452.7,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
