landseg,SORGN,UORGN,LROGN,AORGN
A10001,     0.000,    52.386,     8.114,     0.759
A10003,     0.000,    45.754,     2.497,     0.517
A10005,     0.000,    46.589,    13.698,     1.327
A11001,     0.000,    18.645,     6.476,     0.667
A24001,     0.000,    88.221,     3.389,     1.053
A24003,     0.000,    46.390,     2.130,     0.818
A24005,     0.000,   105.771,    12.363,     1.137
A24009,     0.000,    38.365,     3.003,     0.817
A24011,     0.000,    64.266,     2.356,     0.851
A24013,     0.000,    85.109,     8.395,     0.952
A24015,     0.000,    97.947,     9.545,     1.102
A24017,     0.000,    38.359,     2.204,     0.420
A24019,     0.000,    57.262,     1.402,     0.591
A24021,     0.000,    83.589,     7.119,     0.618
A24023,     0.000,    48.431,     5.233,     0.746
A24025,     0.000,    83.619,    10.016,     0.882
A24027,     0.000,    98.400,    10.381,     1.160
A24029,     0.000,    55.532,     2.203,     0.480
A24031,     0.000,   102.013,    10.154,     1.113
A24033,     0.000,    43.203,     2.913,     0.660
A24035,     0.000,    52.760,     3.523,     0.424
A24037,     0.000,    45.335,     1.855,     0.340
A24039,     0.000,    68.085,     1.171,     0.505
A24041,     0.000,    53.502,     2.115,     0.471
A24043,     0.000,    56.295,    49.122,     1.918
A24045,     0.000,    64.896,     2.856,     0.646
A24047,     0.000,    63.458,     3.371,     0.697
A24510,     0.000,    31.346,    12.749,     1.592
A36003,     0.000,    15.806,     1.926,     0.357
A36007,     0.000,    28.020,     3.729,     0.461
A36015,     0.000,    35.867,     2.598,     0.485
A36017,     0.000,    21.071,     3.353,     0.447
A36023,     0.000,    16.369,     3.837,     0.377
A36025,     0.000,    25.517,     3.250,     0.671
A36043,     0.000,    16.499,     3.337,     0.610
A36051,     0.000,    20.159,     3.658,     0.281
A36053,     0.000,    20.588,     4.916,     0.489
A36065,     0.000,    18.179,     3.985,     0.541
A36067,     0.000,    20.479,     4.665,     0.585
A36069,     0.000,    40.820,     9.730,     0.614
A36077,     0.000,    21.422,     3.376,     0.564
A36095,     0.000,    19.547,     3.488,     0.684
A36097,     0.000,    23.847,     3.038,     0.461
A36101,     0.000,    36.026,     3.535,     0.369
A36107,     0.000,    27.095,     2.525,     0.435
A36109,     0.000,    15.574,     2.075,     0.370
A36123,     0.000,    38.156,     7.245,     0.545
A42001,     0.000,    65.864,     2.605,     0.775
A42009,     0.000,    88.088,     6.818,     0.845
A42011,     0.000,    36.410,     5.017,     0.828
A42013,     0.000,    87.255,     7.416,     0.836
A42015,     0.000,    78.262,     5.953,     0.893
A42021,     0.000,    66.415,     8.468,     0.598
A42023,     0.000,   162.238,     5.517,     1.004
A42025,     0.000,    35.001,     1.911,     1.738
A42027,     0.000,    79.978,    17.188,     0.907
A42029,     0.000,    73.558,     8.862,     1.124
A42033,     0.000,    71.079,    10.236,     0.630
A42035,     0.000,    81.499,    10.218,     0.756
A42037,     0.000,    83.689,     6.019,     0.804
A42041,     0.000,    73.617,    10.702,     0.920
A42043,     0.000,    46.615,     6.736,     0.807
A42047,     0.000,    35.946,     5.517,     0.545
A42055,     0.000,   101.315,    15.053,     1.042
A42057,     0.000,   105.512,     4.055,     0.826
A42061,     0.000,    87.707,     6.215,     0.870
A42063,     0.000,    50.522,     5.997,     0.583
A42065,     0.000,    53.352,     5.305,     0.679
A42067,     0.000,   130.449,    15.413,     1.681
A42069,     0.000,    86.758,    11.966,     1.991
A42071,     0.000,   132.720,    36.905,     3.338
A42075,     0.000,   118.080,    32.297,     2.824
A42079,     0.000,    75.973,     8.221,     1.469
A42081,     0.000,    74.786,     9.009,     1.058
A42083,     0.000,    23.226,     4.512,     0.509
A42087,     0.000,    93.635,     8.316,     0.843
A42093,     0.000,    89.881,     3.319,     0.825
A42097,     0.000,   101.803,    14.783,     1.426
A42099,     0.000,   109.898,     5.970,     1.128
A42105,     0.000,    56.645,     7.948,     0.557
A42107,     0.000,   108.860,     6.786,     1.135
A42109,     0.000,   130.024,     6.207,     1.561
A42111,     0.000,    88.263,     9.098,     0.753
A42113,     0.000,    53.585,     6.643,     1.842
A42115,     0.000,    65.912,     6.729,     1.336
A42117,     0.000,    81.359,     8.509,     0.834
A42119,     0.000,    98.908,     6.592,     1.063
A42127,     0.000,    50.094,     6.681,     1.248
A42131,     0.000,    86.531,     6.177,     1.264
A42133,     0.000,    81.250,     9.726,     0.966
A51001,     0.000,   147.516,     5.337,     1.496
A51003,     0.000,   109.124,    21.649,     0.913
A51005,     0.000,    75.130,     5.719,     1.482
A51007,     0.000,   191.943,     3.730,     1.168
A51009,     0.000,   107.363,    29.398,     1.685
A51011,     0.000,   107.558,    12.198,     0.729
A51013,     0.000,    49.621,     2.231,     0.683
A51015,     0.000,   152.294,    36.705,     3.990
A51017,     0.000,   116.532,     9.108,     1.937
A51019,     0.000,   114.067,    18.502,     0.763
A51023,     0.000,   127.435,     5.945,     1.553
A51029,     0.000,   149.777,     7.290,     1.007
A51031,     0.000,    96.491,    11.092,     0.636
A51033,     0.000,   111.460,    15.203,     1.013
A51036,     0.000,    83.257,     6.553,     1.080
A51041,     0.000,   125.658,    10.306,     0.989
A51043,     0.000,   123.847,    12.799,     1.555
A51045,     0.000,   118.143,    15.476,     2.228
A51047,     0.000,   121.362,    20.799,     0.938
A51049,     0.000,   177.388,     7.291,     1.211
A51053,     0.000,   148.042,     3.258,     1.017
A51057,     0.000,   126.973,    21.861,     1.396
A51059,     0.000,   123.157,    12.851,     1.197
A51061,     0.000,    63.791,     6.019,     0.810
A51065,     0.000,   118.115,    17.798,     0.865
A51069,     0.000,   125.915,    10.668,     1.464
A51071,     0.000,   103.842,    14.319,     2.191
A51073,     0.000,    84.220,     5.813,     1.065
A51075,     0.000,   109.565,    12.963,     0.739
A51079,     0.000,   145.617,    21.502,     1.365
A51085,     0.000,   108.867,    10.967,     0.857
A51087,     0.000,    82.855,     7.508,     1.178
A51091,     0.000,   112.057,     7.823,     2.169
A51093,     0.000,    46.439,    57.414,     2.859
A51095,     0.000,    73.147,     7.434,     1.278
A51097,     0.000,   100.142,    16.096,     1.125
A51099,     0.000,    87.006,    10.456,     0.970
A51101,     0.000,   115.433,    17.193,     1.110
A51103,     0.000,    69.514,     5.263,     0.808
A51107,     0.000,   101.797,    15.024,     0.746
A51109,     0.000,   115.160,     6.274,     0.860
A51113,     0.000,   138.137,    25.871,     1.012
A51115,     0.000,    85.098,     7.810,     0.990
A51119,     0.000,    85.797,     5.805,     1.103
A51121,     0.000,   136.312,    13.830,     2.107
A51125,     0.000,   110.445,    24.951,     1.418
A51127,     0.000,    80.725,     6.725,     1.258
A51131,     0.000,    33.120,     1.824,     0.573
A51133,     0.000,    81.165,     4.823,     0.983
A51135,     0.000,   165.459,     7.464,     1.153
A51137,     0.000,   120.333,    15.874,     0.777
A51139,     0.000,   189.442,    61.633,     5.755
A51145,     0.000,    70.508,     4.847,     0.766
A51147,     0.000,   108.535,     6.831,     0.781
A51149,     0.000,   102.082,    20.132,     1.611
A51153,     0.000,    75.819,     5.548,     0.900
A51157,     0.000,   104.833,    18.489,     0.915
A51159,     0.000,    99.905,    14.371,     0.960
A51161,     0.000,   150.516,    11.314,     1.838
