TABLE->,ICE-FLAG,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT2,SNOW-INIT2,SNOW-INIT2
VARS->,ICFG,LAT,ELEV,SHADE,SNOWCF,COVIND,RDCSN,TSNOW,SNOEVP,CCFACT,MWATER,MGMELT,PACK-SNOW,PACK-ICE,PACK-WATR,RDENPF,DULL,PAKTMP,COVINX,XLNMLT,SKYCLR
A36023,1,42.59485998,1256.78,0.05,1.3,2.46,0.12,32,0.13,0.5,0.03,0.03,4.128,0,0,0.15,100,30,2.46,0,0.9
A36025,1,42.19805435,1467.35,0.05,1.3,3.63,0.12,32,0.13,0.5,0.03,0.03,5.166,0,0,0.15,100,30,3.63,0,0.9
A36043,1,43.41749787,1000.00,0.05,1.3,2.99,0.12,32,0.13,0.5,0.03,0.03,4.89,0,0,0.15,100,30,2.99,0,0.9
A36051,1,42.72783023,891.31,0.05,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.452,0,0,0.15,100,30,2.7,0,0.9
A36053,1,42.91274293,1049.29,0.05,1.3,2.73,0.12,32,0.13,0.5,0.03,0.03,4.638,0,0,0.15,100,30,2.73,0,0.9
A36065,1,43.2414881,718.43,0.05,1.3,2.99,0.12,32,0.13,0.5,0.03,0.03,4.866,0,0,0.15,100,30,2.99,0,0.9
A36067,1,43.00564109,557.00,0.05,1.3,3.1,0.12,32,0.13,0.5,0.03,0.03,4.92,0,0,0.15,100,30,3.1,0,0.9
A36069,1,42.85281042,784.79,0.05,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.47,0,0,0.15,100,30,2.7,0,0.9
A36077,1,42.63366354,1347.87,0.05,1.3,3.47,0.12,32,0.13,0.5,0.03,0.03,5.148,0,0,0.15,100,30,3.47,0,0.9
A36095,1,42.58808667,1190.70,0.05,1.3,3.47,0.12,32,0.13,0.5,0.03,0.03,5.112,0,0,0.15,100,30,3.47,0,0.9
A36097,1,42.39498061,1127.20,0.05,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.32,0,0,0.15,100,30,2.7,0,0.9
A36101,1,42.26753494,1376.00,0.05,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.302,0,0,0.15,100,30,2.7,0,0.9
A36107,1,42.1701684,1002.15,0.05,1.3,2.05,0.12,32,0.13,0.5,0.03,0.03,2.382,0,0,0.15,100,30,2.05,0,0.9
A36109,1,42.45191831,937.28,0.05,1.3,2.31,0.12,32,0.13,0.5,0.03,0.03,2.91,0,0,0.15,100,30,2.31,0,0.9
A36123,1,42.6347822,958.34,0.05,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.434,0,0,0.15,100,30,2.7,0,0.9
A37001,1,36.0438799,726.90376,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37005,1,36.45358986,3231.59048,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37009,1,36.44363847,3392.0448,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37033,1,36.39331268,577.55552,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37067,1,36.13040098,854.27272,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37077,1,36.30378745,439.23136,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37081,1,36.07937454,877.21304,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37131,1,36.41780686,150.068528,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37135,1,36.06125158,690.13168,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37145,1,36.39005908,537.3296,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37157,1,36.39609502,714.86616,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37169,1,36.40181183,959.63944,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37171,1,36.41480682,1429.16488,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37181,1,36.36464773,382.21184,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37185,1,36.39652631,343.41928,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37189,1,36.23127708,3587.4344,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
