landseg,SORGN,UORGN,LROGN,AORGN
A10001,     0.000,    23.590,   111.859,     8.831
A10003,     0.000,   100.528,    16.512,     3.361
A10005,     0.000,     7.605,    97.502,     8.327
A11001,     0.000,    22.448,    37.902,     3.550
A24001,     0.000,    61.024,    30.288,     3.925
A24003,     0.000,    56.459,    12.435,     3.355
A24005,     0.000,    28.155,    54.469,     6.347
A24009,     0.000,    25.667,    19.257,     3.907
A24011,     0.000,    39.834,    38.369,     5.440
A24013,     0.000,    27.770,   100.357,     7.035
A24015,     0.000,    64.135,    51.413,     5.808
A24017,     0.000,    41.549,    11.002,     1.836
A24019,     0.000,    53.789,    29.139,     3.146
A24021,     0.000,    70.191,    35.634,     3.352
A24023,     0.000,    62.335,    26.596,     3.417
A24025,     0.000,    37.092,    56.946,     5.985
A24027,     0.000,    50.406,    34.709,     4.255
A24029,     0.000,    54.743,    17.055,     3.000
A24031,     0.000,    43.187,    34.503,     4.484
A24033,     0.000,    27.414,    28.434,     3.903
A24035,     0.000,    25.641,    70.657,     4.967
A24037,     0.000,    30.784,    12.199,     1.866
A24039,     0.000,    70.140,    18.034,     2.375
A24041,     0.000,    55.158,    29.805,     3.053
A24043,     0.000,    41.345,    78.938,     5.271
A24045,     0.000,    50.292,    20.432,     3.839
A24047,     0.000,    90.418,    18.590,     2.531
A24510,     0.000,    62.890,    40.439,     4.625
A36003,     0.000,    43.638,    52.223,     4.357
A36007,     0.000,    60.336,    28.403,     4.311
A36015,     0.000,    54.621,    33.091,     3.293
A36017,     0.000,    49.420,    55.372,     6.148
A36023,     0.000,    54.655,    32.056,     4.455
A36025,     0.000,    57.911,    30.300,     6.008
A36043,     0.000,    56.165,    47.444,     8.330
A36051,     0.000,    53.042,    43.428,     3.267
A36053,     0.000,    53.162,    38.634,     3.815
A36065,     0.000,    28.169,   112.801,     8.990
A36067,     0.000,    56.759,    38.275,     5.012
A36069,     0.000,    48.436,    50.377,     4.543
A36077,     0.000,    51.748,    36.200,     5.955
A36095,     0.000,    62.738,    31.381,     5.905
A36097,     0.000,    98.635,    34.509,     3.503
A36101,     0.000,    84.681,    27.240,     2.597
A36107,     0.000,    52.960,    23.694,     3.527
A36109,     0.000,    65.430,    14.854,     2.597
A36123,     0.000,   102.701,    30.604,     3.315
A42001,     0.000,    88.466,    48.329,     2.961
A42009,     0.000,    87.232,    35.707,     3.987
A42011,     0.000,    72.459,    21.382,     2.806
A42013,     0.000,    59.281,    37.274,     4.333
A42015,     0.000,    70.645,    29.814,     4.206
A42021,     0.000,    68.072,    31.657,     2.686
A42023,     0.000,    72.162,    23.694,     2.112
A42025,     0.000,    71.264,    10.220,     5.539
A42027,     0.000,    23.862,   137.071,     6.674
A42029,     0.000,    55.945,    29.654,     4.809
A42033,     0.000,    50.062,    46.155,     3.359
A42035,     0.000,    38.037,    27.780,     3.012
A42037,     0.000,    48.281,    69.989,     5.088
A42041,     0.000,    71.928,    33.956,     4.185
A42043,     0.000,    64.024,    33.066,     3.742
A42047,     0.000,    53.679,    21.811,     2.280
A42055,     0.000,    66.146,    60.474,     5.052
A42057,     0.000,    57.562,    28.090,     3.321
A42061,     0.000,    71.545,    22.254,     3.221
A42063,     0.000,    64.923,    16.673,     2.042
A42065,     0.000,    68.808,    18.329,     2.419
A42067,     0.000,    75.705,    46.710,     4.893
A42069,     0.000,    28.680,    45.213,     9.138
A42071,     0.000,    28.496,    48.587,     4.814
A42075,     0.000,    31.252,    61.512,     4.351
A42079,     0.000,    48.833,    39.460,     6.794
A42081,     0.000,    58.503,    38.228,     5.061
A42083,     0.000,    59.682,    20.331,     1.961
A42087,     0.000,    70.037,    31.958,     3.969
A42093,     0.000,    45.920,    59.857,     5.382
A42097,     0.000,    30.979,    99.787,     7.250
A42099,     0.000,    73.818,    29.779,     4.171
A42105,     0.000,    55.103,    39.849,     3.273
A42107,     0.000,    70.919,    27.634,     3.112
A42109,     0.000,    66.209,    30.641,     4.255
A42111,     0.000,    77.049,    28.260,     3.066
A42113,     0.000,    64.561,    33.380,     9.057
A42115,     0.000,    62.915,    19.066,     4.628
A42117,     0.000,    56.642,    46.963,     5.337
A42119,     0.000,    71.997,    37.597,     4.050
A42127,     0.000,    74.925,    25.229,     5.121
A42131,     0.000,    63.938,    31.108,     5.982
A42133,     0.000,    58.027,    62.030,     5.998
A51001,     0.000,    73.045,    16.136,     2.442
A51003,     0.000,    63.539,    58.397,     3.323
A51005,     0.000,    71.600,    29.078,     4.282
A51007,     0.000,    35.953,    13.592,     1.424
A51009,     0.000,    51.516,    58.349,     4.207
A51011,     0.000,    42.954,    19.351,     1.750
A51013,     0.000,    75.162,    13.821,     1.514
A51015,     0.000,    30.325,    48.020,     5.774
A51017,     0.000,    63.120,    21.598,     4.160
A51019,     0.000,    64.648,    42.727,     2.767
A51023,     0.000,    93.059,    27.416,     3.708
A51029,     0.000,    47.012,    18.722,     1.522
A51031,     0.000,    22.348,    21.015,     2.145
A51033,     0.000,    47.540,    31.568,     3.345
A51036,     0.000,    61.890,    15.606,     3.163
A51041,     0.000,    30.883,    30.859,     3.083
A51043,     0.000,    89.933,    49.822,     5.026
A51045,     0.000,    62.316,    30.848,     5.350
A51047,     0.000,    50.631,    35.123,     2.700
A51049,     0.000,    59.401,    15.198,     1.389
A51053,     0.000,    28.242,    15.221,     1.484
A51057,     0.000,    37.748,    62.957,     5.486
A51059,     0.000,    65.346,    21.749,     2.282
A51061,     0.000,    74.078,    28.069,     2.364
A51065,     0.000,    43.791,    38.710,     3.066
A51069,     0.000,    95.385,    47.264,     4.344
A51071,     0.000,    56.058,    21.440,     4.653
A51073,     0.000,    73.322,    17.659,     2.262
A51075,     0.000,    71.375,    20.900,     1.673
A51079,     0.000,    70.339,    29.992,     2.734
A51085,     0.000,    36.280,    21.460,     2.465
A51087,     0.000,    64.971,    15.588,     2.451
A51091,     0.000,    65.902,    15.461,     4.027
A51093,     0.000,    13.721,    24.797,     4.150
A51095,     0.000,    72.493,    17.347,     2.389
A51097,     0.000,    30.461,    41.076,     3.972
A51099,     0.000,    75.863,    19.710,     2.894
A51101,     0.000,    41.968,    35.584,     4.000
A51103,     0.000,    85.770,    18.280,     2.514
A51107,     0.000,    63.548,    35.879,     2.842
A51109,     0.000,    62.911,    16.578,     1.431
A51113,     0.000,    64.222,    53.275,     3.331
A51115,     0.000,    50.551,    15.273,     1.696
