TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A10001,50,1.000000,77.95905,1.5,20.00000,0.320681,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10003,50,1.000000,0.977971,1.5,20.00000,25.56313,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10005,50,1.000000,59.82737,1.5,20.00000,0.417869,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A11001,50,1.000000,1.241124,1.5,20.00000,20.14301,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24001,50,1.000000,1.554947,1.5,20.00000,16.07773,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24003,50,1.000000,0.938999,1.5,20.00000,26.62411,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24009,50,1.000000,44.21601,1.5,20.00000,0.565406,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24005,50,1.000000,27.16343,1.5,20.00000,0.920355,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24011,50,1.000000,0.765157,1.5,20.00000,32.67306,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24013,50,1.000000,5.175901,1.5,20.00000,4.830077,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24015,50,1.000000,2.045906,1.5,20.00000,12.21953,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24017,50,1.000000,1.935219,1.5,20.00000,12.91844,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24019,50,1.000000,0.479936,1.5,20.00000,52.09028,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24021,50,1.000000,1.031908,1.5,20.00000,24.22697,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24023,50,1.000000,0.464545,1.5,20.00000,53.81618,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24025,50,1.000000,1.077957,1.5,20.00000,23.19201,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24027,50,1.000000,0.995191,1.5,20.00000,25.12084,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24029,50,1.000000,0.574446,1.5,20.00000,43.52013,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24031,50,1.000000,4.560848,1.5,20.00000,5.481436,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24033,50,1.000000,18.66215,1.5,20.00000,1.339611,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24035,50,1.000000,1.567922,1.5,20.00000,15.94467,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24037,50,1.000000,95.82782,1.5,20.00000,0.260885,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24039,50,1.000000,0.797405,1.5,20.00000,31.35164,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24041,50,1.000000,0.716718,1.5,20.00000,34.88121,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24043,50,1.000000,100.0000,1.5,20.00000,0.194827,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24045,50,1.000000,1.773252,1.5,20.00000,14.09840,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24047,50,1.000000,2.666780,1.5,20.00000,9.374604,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24510,50,1.000000,1.141123,1.5,20.00000,21.90826,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36003,50,1.000000,1.047097,1.5,20.00000,23.87554,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36007,50,1.000000,0.507597,1.5,20.00000,49.25178,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36015,50,1.000000,0.502424,1.5,20.00000,49.75887,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36017,50,1.000000,0.614977,1.5,20.00000,40.65190,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36023,50,1.000000,1.135800,1.5,20.00000,22.01089,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36025,50,1.000000,0.549251,1.5,20.00000,45.51650,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
