TABLE->,ICE-FLAG,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT2,SNOW-INIT2,SNOW-INIT2
VARS->,ICFG,LAT,ELEV,SHADE,SNOWCF,COVIND,RDCSN,TSNOW,SNOEVP,CCFACT,MWATER,MGMELT,PACK-SNOW,PACK-ICE,PACK-WATR,RDENPF,DULL,PAKTMP,COVINX,XLNMLT,SKYCLR
A10001,1,39.09577448,43.27,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A10003,1,39.57783556,57.98,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A10005,1,38.68298606,35.70,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A11001,1,38.90463114,100.68,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24001,1,39.63393082,984.66,0.1,1.3,1.65,0.12,32,0.13,0.5,0.03,0.03,0.558,0,0,0.15,100,30,1.65,0,0.9
A24003,1,38.99395932,113.72,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24005,1,39.44290335,591.27,0.1,1.3,1.69,0.12,32,0.13,0.5,0.03,0.03,0.48,0,0,0.15,100,30,1.69,0,0.9
A24009,1,38.53458119,71.59,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24011,1,38.8714198,46.83,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24013,1,39.56297719,660.23,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24015,1,39.5623102,159.76,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24017,1,38.47365178,107.41,0.1,1.3,1.24,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.24,0,0.9
A24019,1,38.42237417,21.36,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24021,1,39.45505262,435.27,0.1,1.3,1.49,0.12,32,0.13,0.5,0.03,0.03,0.084,0,0,0.15,100,30,1.49,0,0.9
A24023,1,39.52840549,2505.92,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
