TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
VARS->,VASD,VRSD,SDOP,KEIM,JEIM,ACCSDP,REMSDP,SLDS
A51005,0,0,0,5.654090,2,0.1,0.07675,1
A51007,0,0,0,0.826059,2,0.1,0.07675,1
A51009,0,0,0,1248.522,2,0.1,0.07675,1
A51011,0,0,0,9.574781,2,0.1,0.07675,1
A51013,0,0,0,12.38127,2,0.1,0.07675,1
A51015,0,0,0,2613.160,2,0.1,0.07675,1
A51017,0,0,0,5.094063,2,0.1,0.07675,1
A51019,0,0,0,17425.78,2,0.1,0.07675,1
A51021,0,0,0,2.5,2,0.1,0.07675,1
A51023,0,0,0,915211.4,2,0.1,0.07675,1
A51025,0,0,0,2.5,2,0.1,0.07675,1
A51027,0,0,0,2.5,2,0.1,0.07675,1
A51029,0,0,0,17.26604,2,0.1,0.07675,1
A51031,0,0,0,1.881211,2,0.1,0.07675,1
A51033,0,0,0,0.106509,2,0.1,0.07675,1
A51035,0,0,0,2.5,2,0.1,0.07675,1
A51036,0,0,0,0.227703,2,0.1,0.07675,1
A51037,0,0,0,2.5,2,0.1,0.07675,1
A51041,0,0,0,0.302730,2,0.1,0.07675,1
A51043,0,0,0,0.713276,2,0.1,0.07675,1
A51045,0,0,0,19.72674,2,0.1,0.07675,1
A51047,0,0,0,6.162280,2,0.1,0.07675,1
A51049,0,0,0,1.381358,2,0.1,0.07675,1
A51051,0,0,0,2.5,2,0.1,0.07675,1
A51053,0,0,0,2.118324,2,0.1,0.07675,1
A51057,0,0,0,0.253398,2,0.1,0.07675,1
A51059,0,0,0,3.943877,2,0.1,0.07675,1
A51061,0,0,0,0.852071,2,0.1,0.07675,1
A51063,0,0,0,2.5,2,0.1,0.07675,1
A51065,0,0,0,0.727702,2,0.1,0.07675,1
A51067,0,0,0,2.5,2,0.1,0.07675,1
A51069,0,0,0,1.212849,2,0.1,0.07675,1
A51071,0,0,0,0.463108,2,0.1,0.07675,1
A51073,0,0,0,0.151728,2,0.1,0.07675,1
A51075,0,0,0,0.541760,2,0.1,0.07675,1
A51077,0,0,0,2.5,2,0.1,0.07675,1
A51079,0,0,0,1.717704,2,0.1,0.07675,1
A51081,0,0,0,2.5,2,0.1,0.07675,1
A51083,0,0,0,2.5,2,0.1,0.07675,1
A51085,0,0,0,2102.034,2,0.1,0.07675,1
A51087,0,0,0,0.303755,2,0.1,0.07675,1
A51089,0,0,0,2.5,2,0.1,0.07675,1
A51091,0,0,0,98291.91,2,0.1,0.07675,1
A51093,0,0,0,0.054343,2,0.1,0.07675,1
A51095,0,0,0,0.651553,2,0.1,0.07675,1
A51097,0,0,0,0.532E+08,2,0.1,0.07675,1
A51099,0,0,0,5.771981,2,0.1,0.07675,1
A51101,0,0,0,0.543973,2,0.1,0.07675,1
A51103,0,0,0,0.150837,2,0.1,0.07675,1
A51105,0,0,0,2.5,2,0.1,0.07675,1
A51107,0,0,0,0.895786,2,0.1,0.07675,1
A51109,0,0,0,0.222001,2,0.1,0.07675,1
A51111,0,0,0,2.5,2,0.1,0.07675,1
A51113,0,0,0,3.922395,2,0.1,0.07675,1
