TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A42061,1,0,1,0,13.09836,0.500000,1.309837,13.09836,0.500000
A42063,1,0,1,0,12.54297,0.500000,1.254297,12.54297,0.500000
A42065,1,0,1,0,12.59132,0.500000,1.259132,12.59132,0.500000
A42067,1,0,1,0,13.19331,0.500000,1.319331,13.19331,0.500000
A42069,1,0,1,0,12.78373,0.500000,1.278373,12.78373,0.500000
A42071,1,0,1,0,13.21366,0.500000,1.321366,13.21366,0.500000
A42075,1,0,1,0,13.08674,0.500000,1.308674,13.08674,0.500000
A42079,1,0,1,0,12.79028,0.500000,1.279028,12.79028,0.500000
A42081,1,0,1,0,12.92057,0.500000,1.292058,12.92057,0.500000
A42083,1,0,1,0,12.30399,0.500000,1.230400,12.30399,0.500000
A42087,1,0,1,0,12.93961,0.500000,1.293961,12.93961,0.500000
A42093,1,0,1,0,13.08773,0.500000,1.308773,13.08773,0.500000
A42097,1,0,1,0,13.11448,0.500000,1.311448,13.11448,0.500000
A42099,1,0,1,0,13.12641,0.500000,1.312642,13.12641,0.500000
A42105,1,0,1,0,12.89609,0.500000,1.289609,12.89609,0.500000
A42107,1,0,1,0,12.74010,0.500000,1.274011,12.74010,0.500000
A42109,1,0,1,0,13.12048,0.500000,1.312048,13.12048,0.500000
A42111,1,0,1,0,13.16216,0.500000,1.316216,13.16216,0.500000
A42113,1,0,1,0,12.75951,0.500000,1.275951,12.75951,0.500000
A42115,1,0,1,0,12.69919,0.500000,1.269920,12.69919,0.500000
A42117,1,0,1,0,13.58145,0.500000,1.358145,13.58145,0.500000
A42119,1,0,1,0,12.77857,0.500000,1.277857,12.77857,0.500000
A42127,1,0,1,0,12.36196,0.500000,1.236197,12.36196,0.500000
A42131,1,0,1,0,13.19710,0.500000,1.319710,13.19710,0.500000
A42133,1,0,1,0,13.40716,0.500000,1.340717,13.40716,0.500000
A47091,1,0,1,0,16.99644,0.500000,1.699644,16.99644,0.500000
A47163,1,0,1,0,22.30528,0.500000,2.230529,22.30528,0.500000
A51001,1,0,1,0,13.07797,0.500000,1.307797,13.07797,0.500000
A51003,1,0,1,0,13.56405,0.500000,1.356406,13.56405,0.500000
A51005,1,0,1,0,13.64703,0.500000,1.364704,13.64703,0.500000
A51007,1,0,1,0,13.47854,0.500000,1.347854,13.47854,0.500000
A51009,1,0,1,0,13.47791,0.500000,1.347792,13.47791,0.500000
A51011,1,0,1,0,13.58543,0.500000,1.358543,13.58543,0.500000
A51013,1,0,1,0,13.22898,0.500000,1.322899,13.22898,0.500000
A51015,1,0,1,0,13.78737,0.500000,1.378738,13.78737,0.500000
A51017,1,0,1,0,13.28274,0.500000,1.328274,13.28274,0.500000
A51019,1,0,1,0,13.46567,0.500000,1.346567,13.46567,0.500000
A51021,1,0,1,0,16.90827,0.500000,1.690827,16.90827,0.500000
A51023,1,0,1,0,13.66658,0.500000,1.366659,13.66658,0.500000
A51025,1,0,1,0,25.01327,0.500000,2.501327,25.01327,0.500000
