TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005637,0.100000,0.,10.00000,0.005637,na,na,0.004859,0.010748,0.,10.00000,0.004859,na,na,0.000486,0.001324,0.001283,0.495730,0.000486,na,na,0.000100,0.001324,0.001283,0.169733,0.000100,0.100000,50000.00,0.0001,1.07,50000.00,70.04458,0.0001,1.07,14.54697,84.64931,0.0001,1.07,14.54697,84.64931,0.0001,1.07,46.20896,9.241799,0,0,1.07,20
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.220155,0.094139,0.,10.00000,0.220155,na,na,0.195094,0.005652,0.,10.00000,0.195094,na,na,0.019509,0.000220,0.008508,0.276060,0.019509,na,na,0.000100,0.000220,0.008508,0.079265,0.000100,0.345291,36070.15,0.0001,1.07,50000.00,68.78032,0.0001,1.07,21.01722,70.93283,0.0001,1.07,21.01722,70.93283,0.0001,1.07,0.620372,0.124074,0,0,1.07,20
A24017,0.4,11.38160131,93.82588115,60,72.46194161,79.66073934,74.2061067,75.88794563,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.004732,0.010837,0.,10.00000,0.004732,na,na,0.004732,0.000651,0.,10.00000,0.004732,na,na,0.000540,0.001519,0.000800,0.344623,0.000540,na,na,0.000100,0.001519,0.000800,0.225127,0.000100,0.137259,46831.21,0.0001,1.07,50000.00,183.9808,0.0001,1.07,7.173048,75.78888,0.0001,1.07,7.173048,75.78888,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24019,0.4,11.70814521,90.67459023,60,67.97859963,74.00500344,77.94094908,79.73221888,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000905,0.009016,0.,6.742383,0.000905,na,na,0.000792,0.000542,0.,6.742383,0.000792,na,na,0.000100,0.003308,0.000407,0.451888,0.000100,na,na,0.000100,0.003308,0.000407,0.206593,0.000100,0.100000,42915.90,0.0001,1.07,50000.00,193.1566,0.0001,1.07,5.904924,87.60648,0.0001,1.07,5.904924,87.60648,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24021,0.4,8.89553794,86.16254679,60,74.64399958,82.41340547,54.50520348,55.60980594,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.040790,0.043220,0.,10.00000,0.040790,na,na,0.032455,0.002592,0.,10.00000,0.032455,na,na,0.003246,0.000572,0.003630,0.423321,0.003246,na,na,0.000100,0.000572,0.003630,0.117498,0.000100,0.100000,47735.56,0.0001,1.07,50000.00,95.77253,0.0001,1.07,19.00388,76.03595,0.0001,1.07,19.00388,76.03595,0.0001,1.07,1.896832,0.379367,0,0,1.07,20
A24023,0.4,8.592249922,84.09700285,60,75.90991824,84.01036186,51.66532222,52.68671617,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.001539,0.,10.00000,0.000100,na,na,0.000100,0.000100,0.,10.00000,0.000100,na,na,0.000100,0.000236,0.005002,0.291452,0.000100,na,na,0.000100,0.000236,0.005002,0.133277,0.000100,0.100000,28514.65,0.0001,1.07,50000.00,315.6273,0.0001,1.07,24.78271,194.6245,0.0001,1.07,24.78271,194.6245,0.0001,1.07,1.196438,0.239288,0,0,1.07,20
A24025,0.4,9.829871706,76.05981816,60,74.10626944,81.7350589,70.96881411,72.55580036,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.074070,0.057254,0.,10.00000,0.074070,na,na,0.067179,0.003436,0.,10.00000,0.067179,na,na,0.006719,0.000100,0.010000,0.232181,0.006719,na,na,0.000100,0.000100,0.010000,0.063752,0.000100,0.500615,35539.33,0.0001,1.07,50000.00,81.47357,0.0001,1.07,27.57777,108.8392,0.0001,1.07,27.57777,108.8392,0.0001,1.07,0.997066,0.199413,0,0,1.07,20
A24027,0.4,9.197760165,69.92606107,60,72.0840588,79.18404018,69.37935528,70.91977039,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.115553,0.080052,0.,10.00000,0.115553,na,na,0.112021,0.004807,0.,10.00000,0.112021,na,na,0.011203,0.000194,0.008754,0.274219,0.011203,na,na,0.000100,0.000194,0.008754,0.083643,0.000100,0.160901,10279.74,0.0001,1.07,50000.00,875.5084,0.0001,1.07,22.55106,88.98125,0.0001,1.07,22.55106,88.98125,0.0001,1.07,1.845523,0.369104,0,0,1.07,20
A24029,0.4,11.48586698,84.6611575,60,76.52072595,84.78089578,86.57554961,88.61981322,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.013860,0.021707,0.,9.712293,0.013860,na,na,0.012328,0.001305,0.,9.712293,0.012328,na,na,0.001233,0.000727,0.002205,0.274438,0.001233,na,na,0.000100,0.000727,0.002205,0.134644,0.000100,0.152301,46014.05,0.0001,1.07,50000.00,195.5924,0.0001,1.07,15.76921,91.74919,0.0001,1.07,15.76921,91.74919,0.0001,1.07,0.635661,0.127132,0,0,1.07,20
A24031,0.4,8.755937943,66.26503337,60,74.40415743,82.1108446,65.6992694,67.13185799,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.298981,0.100000,0.,10.00000,0.298981,na,na,0.288843,0.008508,0.,10.00000,0.288843,na,na,0.028884,0.000163,0.010000,0.308087,0.028884,na,na,0.000100,0.000163,0.010000,0.126828,0.000100,0.262498,49601.07,0.0001,1.07,50000.00,100.2554,0.0001,1.07,25.30153,81.06997,0.0001,1.07,25.30153,81.06997,0.0001,1.07,1.016852,0.203370,0,0,1.07,20
