TABLE->,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1
VARS->,CSNO,RTOP,UZFG,VCS,VUZ,VNN,VIFW,VIRC,VLE,FOREST,LZSN,INFILT,LSUR,SLSUR,KVARY,AGWR,PETMAX,PETMIN,INFEXP,INFILD,DEEPFR,BASETPR,AGWETP,CEPSC,UZSN,NSUR,INTFW,IRC,LZETP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,CEPS,SURS,UZS,IFWS,LZS,AGWS,GWVS
A24013,1,1,0,1,0,0,0,0,0,0,12.00000,0.052689,283,0.071,0.,0.944966,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.272629,0.300000,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24015,1,1,0,1,0,0,0,0,0,0,12.00000,0.063600,341,0.042,0.,0.958721,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.000000,0.300000,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24017,1,1,0,1,0,0,0,0,0,0,8.000000,0.041870,371,0.032,0.,0.920000,40,35,2,2,0,0,0.074218,NA,0.800000,0.25,3.496762,0.312914,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24019,1,1,0,1,0,0,0,0,0,0,8.000000,0.058475,559,0.006,0.,0.941183,40,35,2,2,0,0,0.069462,NA,0.800000,0.25,2.000000,0.468756,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24021,1,1,0,1,0,0,0,0,0,0,12.00000,0.051098,306,0.058,0.,0.950195,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.000000,0.300000,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24023,1,1,0,1,0,0,0,0,0,0,8.000000,0.075253,250,0.096,0.,0.943111,40,35,2,2,0,0,0.075000,NA,0.800000,0.25,2.417807,0.478174,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24025,1,1,0,1,0,0,0,0,0,0,12.00000,0.108080,287,0.068,0.,0.960349,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.347544,0.300948,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24027,1,1,0,1,0,0,0,0,0,0,12.00000,0.063275,291,0.066,0.,0.959213,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.037923,0.300000,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24029,1,1,0,1,0,0,0,0,0,0,12.00000,0.091761,462,0.014,0.,0.920000,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.000000,0.336429,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24031,1,1,0,1,0,0,0,0,0,0,12.00000,0.058359,302,0.059,0.,0.939492,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.008452,0.424086,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24033,1,1,0,1,0,0,0,0,0,0,12.00000,0.046372,327,0.048,0.,0.921402,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.000000,0.300000,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24035,1,1,0,1,0,0,0,0,0,0,12.00000,0.091761,518,0.008,0.,0.920000,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.000000,0.336429,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
