TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A37005,1,0,0,1,0,1,0,1,0,0.002453,0.021296,0,0.000245,0.002453,0.500000,0.000021,0.000016
A37009,1,0,0,1,0,1,0,1,0,0.003385,0.026516,0,0.000338,0.003385,0.500000,0.000026,0.000015
A37033,1,0,0,1,0,1,0,1,0,0.001403,0.020836,0,0.000140,0.001403,0.500000,0.000021,0.000027
A37067,1,0,0,1,0,1,0,1,0,0.001483,0.018813,0,0.000148,0.001483,0.500000,0.000018,0.000023
A37077,1,0,0,1,0,1,0,1,0,0.001001,0.013974,0,0.000100,0.001001,0.500000,0.000014,0.000021
A37081,1,0,0,1,0,1,0,1,0,0.001902,0.025873,0,0.000190,0.001902,0.500000,0.000026,0.000022
A37131,1,0,0,1,0,1,0,1,0,0.004366,0.036758,0,0.000437,0.004366,0.500000,0.000037,0.000056
A37135,1,0,0,1,0,1,0,1,0,0.001163,0.017011,0,0.000116,0.001163,0.500000,0.000017,0.000021
A37145,1,0,0,1,0,1,0,1,0,0.001112,0.016775,0,0.000111,0.001112,0.500000,0.000017,0.000025
A37157,1,0,0,1,0,1,0,1,0,0.001602,0.022069,0,0.000160,0.001602,0.500000,0.000022,0.000023
A37169,1,0,0,1,0,1,0,1,0,0.000914,0.012881,0,0.000091,0.000914,0.500000,0.000013,0.000017
A37171,1,0,0,1,0,1,0,1,0,0.001146,0.014209,0,0.000114,0.001146,0.500000,0.000014,0.000013
A37181,1,0,0,1,0,1,0,1,0,0.000981,0.014689,0,0.000098,0.000981,0.500000,0.000015,0.000021
A37185,1,0,0,1,0,1,0,1,0,0.001192,0.015637,0,0.000119,0.001192,0.500000,0.000015,0.000024
A37189,1,0,0,1,0,1,0,1,0,0.001110,0.011591,0,0.000111,0.001110,0.500000,0.000012,0.000011
A42001,1,0,0,1,0,1,0,1,0,0.004198,0.071493,0,0.000420,0.004198,0.500000,0.000071,0.078452
A42009,1,0,0,1,0,1,0,1,0,0.004217,0.071827,0,0.000422,0.004217,0.500000,0.000072,0.043556
A42011,1,0,0,1,0,1,0,1,0,0.002865,0.048802,0,0.000286,0.002865,0.500000,0.000049,0.040897
A42013,1,0,0,1,0,1,0,1,0,0.005436,0.092580,0,0.000543,0.005436,0.500000,0.000093,0.037185
A42015,1,0,0,1,0,1,0,1,0,0.004108,0.069958,0,0.000411,0.004108,0.500000,0.000070,0.055114
A42021,1,0,0,1,0,1,0,1,0,0.005941,0.101183,0,0.000594,0.005941,0.500000,0.000101,0.035000
A42023,1,0,0,1,0,1,0,1,0,0.005923,0.100885,0,0.000592,0.005923,0.500000,0.000101,0.039521
A42025,1,0,0,1,0,1,0,1,0,0.004673,0.079596,0,0.000467,0.004673,0.500000,0.000080,0.044828
A42027,1,0,0,1,0,1,0,1,0,0.003399,0.057898,0,0.000340,0.003399,0.500000,0.000058,0.030535
A42029,1,0,0,1,0,1,0,1,0,0.002704,0.046049,0,0.000270,0.002704,0.500000,0.000046,0.041297
A42033,1,0,0,1,0,1,0,1,0,0.017982,0.306258,0,0.001798,0.017982,0.500000,0.000306,0.030210
A42035,1,0,0,1,0,1,0,1,0,0.006550,0.111559,0,0.000655,0.006550,0.500000,0.000112,0.030283
A42037,1,0,0,1,0,1,0,1,0,0.004173,0.071079,0,0.000417,0.004173,0.500000,0.000071,0.032366
A42041,1,0,0,1,0,1,0,1,0,0.003287,0.055976,0,0.000329,0.003287,0.500000,0.000056,0.039324
A42043,1,0,0,1,0,1,0,1,0,0.004498,0.076609,0,0.000450,0.004498,0.500000,0.000077,0.055229
A42047,1,0,0,1,0,1,0,1,0,0.018588,0.316587,0,0.001858,0.018588,0.500000,0.000317,0.038114
A42055,1,0,0,1,0,1,0,1,0,0.003210,0.054666,0,0.000321,0.003210,0.500000,0.000055,0.036449
A42057,1,0,0,1,0,1,0,1,0,0.006370,0.108486,0,0.000637,0.006370,0.500000,0.000108,0.070275
A42061,1,0,0,1,0,1,0,1,0,0.003350,0.057048,0,0.000335,0.003350,0.500000,0.000057,0.043803
A42063,1,0,0,1,0,1,0,1,0,0.008293,0.141246,0,0.000829,0.008293,0.500000,0.000141,0.038528
A42065,1,0,0,1,0,1,0,1,0,0.005324,0.090669,0,0.000532,0.005324,0.500000,0.000091,0.039047
A42067,1,0,0,1,0,1,0,1,0,0.003917,0.066711,0,0.000392,0.003917,0.500000,0.000067,0.049437
A42069,1,0,0,1,0,1,0,1,0,0.010973,0.186890,0,0.001097,0.010973,0.500000,0.000187,0.029182
A42071,1,0,0,1,0,1,0,1,0,0.002559,0.043582,0,0.000256,0.002559,0.500000,0.000044,0.036205
A42075,1,0,0,1,0,1,0,1,0,0.003005,0.051173,0,0.000300,0.003005,0.500000,0.000051,0.029794
A42079,1,0,0,1,0,1,0,1,0,0.006740,0.114786,0,0.000674,0.006740,0.500000,0.000115,0.035375
A42081,1,0,0,1,0,1,0,1,0,0.003423,0.058290,0,0.000342,0.003423,0.500000,0.000058,0.030389
A42083,1,0,0,1,0,1,0,1,0,0.024161,0.411499,0,0.002416,0.024161,0.500000,0.000411,0.038740
