landseg,SORGN,UORGN,LROGN,AORGN
A10001,     0.000,    29.517,    27.198,    10.704
A10003,     0.000,    56.338,     7.814,     7.558
A10005,     0.000,    15.283,    38.509,    12.158
A11001,     0.000,    18.460,    34.949,     8.024
A24001,     0.000,    51.682,    20.094,    12.933
A24003,     0.000,    51.955,     6.022,     9.323
A24005,     0.000,    36.133,    28.051,    11.760
A24009,     0.000,    29.281,    14.406,    10.950
A24011,     0.000,    63.457,    10.431,     9.200
A24013,     0.000,    47.468,    18.644,     9.549
A24015,     0.000,    48.022,    24.202,    11.222
A24017,     0.000,    36.428,    10.109,     5.629
A24019,     0.000,    55.169,    11.896,     6.134
A24021,     0.000,    54.120,    21.024,     7.179
A24023,     0.000,    71.123,     7.570,     7.588
A24025,     0.000,    45.786,    26.438,    10.412
A24027,     0.000,    46.797,    21.586,    10.322
A24029,     0.000,    63.048,    11.383,     7.073
A24031,     0.000,    38.594,    21.550,    11.100
A24033,     0.000,    11.669,    24.284,    11.432
A24035,     0.000,    46.068,    24.208,     8.189
A24037,     0.000,    36.113,    13.908,     5.325
A24039,     0.000,    57.261,    11.649,     5.006
A24041,     0.000,    52.540,    13.628,     5.820
A24043,     0.000,     0.000,    73.165,    20.371
A24045,     0.000,    53.254,    17.544,     8.170
A24047,     0.000,    53.184,    16.927,     7.426
A24510,     0.000,    36.250,    27.842,     8.849
A36003,     0.000,    91.121,    14.247,     8.667
A36007,     0.000,   107.098,    22.097,    11.322
A36015,     0.000,    82.908,    13.025,     7.988
A36017,     0.000,   108.687,    18.863,    12.315
A36023,     0.000,    91.672,    28.204,    12.738
A36025,     0.000,   114.516,    21.951,    17.069
A36043,     0.000,    99.669,    13.870,    14.538
A36051,     0.000,    85.576,    23.989,     5.138
A36053,     0.000,    71.623,    31.513,    12.543
A36065,     0.000,    85.252,    17.936,    11.925
A36067,     0.000,    65.163,    25.002,    12.149
A36069,     0.000,    75.151,    19.625,     7.726
A36077,     0.000,    93.846,    17.042,    12.319
A36095,     0.000,    89.523,    18.437,    14.652
A36097,     0.000,    80.033,    11.615,     8.499
A36101,     0.000,    72.274,    15.035,     7.407
A36107,     0.000,   100.283,    14.250,     8.635
A36109,     0.000,    88.414,     8.669,     7.920
A36123,     0.000,    79.524,    14.014,     8.238
A42001,     0.000,    66.259,    18.031,     4.454
