 point source lrseg ,A24003WL0_4423_0000
 point source lrseg ,A24013PM1_3450_3400
 point source lrseg ,A24031PL0_5390_0000
 point source lrseg ,A24033PL0_5390_0000
 point source lrseg ,A24013WU1_3350_3490
 point source lrseg ,A24025WU1_3482_0001
 point source lrseg ,A24041EM0_4874_0000
 point source lrseg ,A24047EL3_5970_0000
 point source lrseg ,A24013WU0_3021_3020
 point source lrseg ,A24037PL0_5670_0000
 point source lrseg ,A24015DE0_2710_0000
 point source lrseg ,A24001PU4_3780_3930
 point source lrseg ,A24005WU3_3481_0001
 point source lrseg ,A24019EL0_4591_0000
 point source lrseg ,A24047EL0_5271_0000
 point source lrseg ,A24033XL3_4711_0000
 point source lrseg ,A24003WL0_4770_0000
 point source lrseg ,A24039EL0_6003_0000
 point source lrseg ,A24031PM1_4500_4580
 point source lrseg ,A24047EL3_5972_0000
 point source lrseg ,B24021PM4_4040_4410
 point source lrseg ,A24027XU0_4091_4270
 point source lrseg ,A24015EU1_2980_0000
 point source lrseg ,A24003WL0_4603_0000
 point source lrseg ,A24003XU2_4480_4650
 point source lrseg ,A24003WL0_4600_0000
 point source lrseg ,A24017PL0_5450_0000
 point source lrseg ,A24031PM7_4620_4580
 point source lrseg ,A24025SL0_2721_2720
 point source lrseg ,A24015EU0_2940_0000
 point source lrseg ,A24035EU0_4120_0000
 point source lrseg ,A24017PL0_5790_0000
 point source lrseg ,A24015EU0_3130_0000
 point source lrseg ,A24035EU0_4490_0000
 point source lrseg ,A24510WM0_3960_0000
 point source lrseg ,A24043PU6_3600_3602
 point source lrseg ,A24041EU0_4873_0000
 point source lrseg ,A24011EM3_4321_0000
 point source lrseg ,A24003XL3_4712_0000
 point source lrseg ,B24021PM4_3341_4040
 point source lrseg ,A24003XL3_4710_0000
 point source lrseg ,A24015EU0_3300_0000
 point source lrseg ,A24035EU0_4030_0000
 point source lrseg ,A24005WM3_3880_4060
 point source lrseg ,A24017PL0_5510_0001
 point source lrseg ,B24021PM3_3040_3340
 point source lrseg ,A24033PL0_5070_0001
 point source lrseg ,A24037PL0_6110_0000
 point source lrseg ,A24023PU1_3850_4190
 point source lrseg ,A24015EU1_2810_0001
 point source lrseg ,A54003PU6_3600_3602
 point source lrseg ,A24045EL0_4594_0000
 point source lrseg ,A24031PL1_4460_4780
 point source lrseg ,A24003XL3_4711_0000
 point source lrseg ,A24043PU3_3390_3730
 point source lrseg ,A24035EU0_4470_0000
 point source lrseg ,A24043PU1_3030_3440
 point source lrseg ,A24003WL0_4424_0000
 point source lrseg ,A24009XL0_4954_0000
 point source lrseg ,A24001PU5_3930_4170
 point source lrseg ,A24037PL0_5960_0000
 point source lrseg ,A24033PL1_5230_0001
 point source lrseg ,A24029EU0_3573_0000
 point source lrseg ,A24025SL2_2910_3060
 point source lrseg ,A24001PU2_3370_4020
 point source lrseg ,A24001PU0_3871_3690
 point source lrseg ,B24021PM4_3340_3341
 point source lrseg ,A24003XU3_4650_0001
 point source lrseg ,A24033XL3_4713_0000
 point source lrseg ,A24031XU2_4330_4480
 point source lrseg ,A24037PL0_6020_0000
 point source lrseg ,A24017PL0_5584_0000
 point source lrseg ,A24043PU6_4080_4180
 point source lrseg ,A24009WL0_4921_0000
 point source lrseg ,A24003WL0_4602_0000
 point source lrseg ,A24037PL0_5983_0000
 point source lrseg ,A24045EL2_5270_0001
 point source lrseg ,A24001PU1_3580_3780
 point source lrseg ,A24037PL0_6060_0000
 point source lrseg ,A24037PL0_5750_0001
 point source lrseg ,A24015EU0_3050_0000
 point source lrseg ,A24009XL3_4950_0000
