TABLE->,ICE-FLAG,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT2,SNOW-INIT2,SNOW-INIT2
VARS->,ICFG,LAT,ELEV,SHADE,SNOWCF,COVIND,RDCSN,TSNOW,SNOEVP,CCFACT,MWATER,MGMELT,PACK-SNOW,PACK-ICE,PACK-WATR,RDENPF,DULL,PAKTMP,COVINX,XLNMLT,SKYCLR
A36065,1,43.2414881,879.98,0.1,1.3,2.99,0.12,32,0.13,0.5,0.03,0.03,4.866,0,0,0.15,100,30,2.99,0,0.9
A36067,1,43.00564109,995.61,0.1,1.3,3.1,0.12,32,0.13,0.5,0.03,0.03,4.92,0,0,0.15,100,30,3.1,0,0.9
A36069,1,42.85281042,759.81,0.1,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.47,0,0,0.15,100,30,2.7,0,0.9
A36077,1,42.63366354,1498.31,0.1,1.3,3.47,0.12,32,0.13,0.5,0.03,0.03,5.148,0,0,0.15,100,30,3.47,0,0.9
A36095,1,42.58808667,1427.12,0.1,1.3,3.47,0.12,32,0.13,0.5,0.03,0.03,5.112,0,0,0.15,100,30,3.47,0,0.9
A36097,1,42.39498061,1208.49,0.1,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.32,0,0,0.15,100,30,2.7,0,0.9
A36101,1,42.26753494,1480.89,0.1,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.302,0,0,0.15,100,30,2.7,0,0.9
A36107,1,42.1701684,1270.89,0.1,1.3,2.05,0.12,32,0.13,0.5,0.03,0.03,2.382,0,0,0.15,100,30,2.05,0,0.9
A36109,1,42.45191831,1192.00,0.1,1.3,2.31,0.12,32,0.13,0.5,0.03,0.03,2.91,0,0,0.15,100,30,2.31,0,0.9
A36123,1,42.6347822,1024.57,0.1,1.3,2.7,0.12,32,0.13,0.5,0.03,0.03,4.434,0,0,0.15,100,30,2.7,0,0.9
A37001,1,36.0438799,726.90376,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37005,1,36.45358986,3231.59048,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37009,1,36.44363847,3392.0448,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37033,1,36.39331268,577.55552,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37067,1,36.13040098,854.27272,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37077,1,36.30378745,439.23136,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37081,1,36.07937454,877.21304,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37131,1,36.41780686,150.068528,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37135,1,36.06125158,690.13168,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37145,1,36.39005908,537.3296,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37157,1,36.39609502,714.86616,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37169,1,36.40181183,959.63944,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37171,1,36.41480682,1429.16488,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37181,1,36.36464773,382.21184,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37185,1,36.39652631,343.41928,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A37189,1,36.23127708,3587.4344,0.1,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A42001,1,39.86026491,576.88,0.1,1.3,2.26,0.12,32,0.13,0.5,0.03,0.03,1.572,0,0,0.15,100,30,2.26,0,0.9
A42009,1,39.9959067,1291.78,0.1,1.3,2.46,0.12,32,0.13,0.5,0.03,0.03,3.084,0,0,0.15,100,30,2.46,0,0.9
A42011,1,40.41632603,492.36,0.1,1.3,1.74,0.12,32,0.13,0.5,0.03,0.03,1.2,0,0,0.15,100,30,1.74,0,0.9
A42013,1,40.48106996,1376.46,0.1,1.3,2.81,0.12,32,0.13,0.5,0.03,0.03,3.756,0,0,0.15,100,30,2.81,0,0.9
A42015,1,41.82111742,1419.20,0.1,1.3,1.94,0.12,32,0.13,0.5,0.03,0.03,2.214,0,0,0.15,100,30,1.94,0,0.9
A42021,1,40.49517872,1935.94,0.1,1.3,3.44,0.12,32,0.13,0.5,0.03,0.03,4.26,0,0,0.15,100,30,3.44,0,0.9
A42023,1,41.43666858,1134.85,0.1,1.3,3.27,0.12,32,0.13,0.5,0.03,0.03,4.47,0,0,0.15,100,30,3.27,0,0.9
A42025,1,40.91827525,1166.38,0.1,1.3,3.29,0.12,32,0.13,0.5,0.03,0.03,4.206,0,0,0.15,100,30,3.29,0,0.9
A42027,1,40.87847946,1192.73,0.1,1.3,3.25,0.12,32,0.13,0.5,0.03,0.03,4.128,0,0,0.15,100,30,3.25,0,0.9
A42029,1,39.97306562,512.93,0.1,1.3,1.77,0.12,32,0.13,0.5,0.03,0.03,1.08,0,0,0.15,100,30,1.77,0,0.9
A42033,1,41.00008089,1630.44,0.1,1.3,2.46,0.12,32,0.13,0.5,0.03,0.03,3.534,0,0,0.15,100,30,2.46,0,0.9
A42035,1,41.29446455,1214.06,0.1,1.3,1.86,0.12,32,0.13,0.5,0.03,0.03,1.818,0,0,0.15,100,30,1.86,0,0.9
A42037,1,41.04841344,825.34,0.1,1.3,1.75,0.12,32,0.13,0.5,0.03,0.03,1.554,0,0,0.15,100,30,1.75,0,0.9
A42041,1,40.19522121,574.40,0.1,1.3,1.73,0.12,32,0.13,0.5,0.03,0.03,1.104,0,0,0.15,100,30,1.73,0,0.9
A42043,1,40.49474562,648.00,0.1,1.3,2.06,0.12,32,0.13,0.5,0.03,0.03,1.686,0,0,0.15,100,30,2.06,0,0.9
A42047,1,41.42522258,1784.26,0.1,1.3,3.01,0.12,32,0.13,0.5,0.03,0.03,4.302,0,0,0.15,100,30,3.01,0,0.9
A42055,1,39.88798673,574.59,0.1,1.3,2.77,0.12,32,0.13,0.5,0.03,0.03,3.342,0,0,0.15,100,30,2.77,0,0.9
A42057,1,39.92528409,974.38,0.1,1.3,2.39,0.12,32,0.13,0.5,0.03,0.03,2.892,0,0,0.15,100,30,2.39,0,0.9
A42061,1,40.41655524,972.68,0.1,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A42063,1,40.65184732,1401.57,0.1,1.3,3.33,0.12,32,0.13,0.5,0.03,0.03,4.152,0,0,0.15,100,30,3.33,0,0.9
A42065,1,41.12795025,1586.93,0.1,1.3,3.33,0.12,32,0.13,0.5,0.03,0.03,4.392,0,0,0.15,100,30,3.33,0,0.9
A42067,1,40.53111859,666.33,0.1,1.3,2.19,0.12,32,0.13,0.5,0.03,0.03,1.872,0,0,0.15,100,30,2.19,0,0.9
A42069,1,41.4368269,1724.17,0.1,1.3,2.22,0.12,32,0.13,0.5,0.03,0.03,2.34,0,0,0.15,100,30,2.22,0,0.9
