TABLE->,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A37005,1,0,0,1,0,1,0,1,0,0.665982,0.249927,0,0.066599,0.665982,0.500000,0.000250,0.000471
A37009,1,0,0,1,0,1,0,1,0,0.539114,0.202317,0,0.053912,0.539114,0.500000,0.000202,0.000405
A37033,1,0,0,1,0,1,0,1,0,1.021500,0.383345,0,0.102150,1.021500,0.500000,0.000383,0.001156
A37067,1,0,0,1,0,1,0,1,0,0.823132,0.308903,0,0.082313,0.823132,0.500000,0.000309,0.000809
A37077,1,0,0,1,0,1,0,1,0,0.662186,0.248503,0,0.066219,0.662186,0.500000,0.000249,0.001237
A37081,1,0,0,1,0,1,0,1,0,1.099417,0.412586,0,0.109942,1.099417,0.500000,0.000413,0.000815
A37131,1,0,0,1,0,1,0,1,0,0.987370,0.370537,0,0.098737,0.987370,0.500000,0.000371,0.001274
A37135,1,0,0,1,0,1,0,1,0,0.829061,0.311127,0,0.082906,0.829061,0.500000,0.000311,0.001288
A37145,1,0,0,1,0,1,0,1,0,0.948041,0.355778,0,0.094804,0.948041,0.500000,0.000356,0.001227
A37157,1,0,0,1,0,1,0,1,0,0.696820,0.261500,0,0.069682,0.696820,0.500000,0.000262,0.000930
A37169,1,0,0,1,0,1,0,1,0,0.934229,0.350595,0,0.093423,0.934229,0.500000,0.000351,0.000760
A37171,1,0,0,1,0,1,0,1,0,0.743179,0.278898,0,0.074318,0.743179,0.500000,0.000279,0.000577
A37181,1,0,0,1,0,1,0,1,0,0.797469,0.299271,0,0.079747,0.797469,0.500000,0.000299,0.001327
A37185,1,0,0,1,0,1,0,1,0,0.688597,0.258414,0,0.068860,0.688597,0.500000,0.000258,0.001327
A37189,1,0,0,1,0,1,0,1,0,0.464535,0.174329,0,0.046453,0.464535,0.500000,0.000175,0.000418
A42001,1,0,0,1,0,1,0,1,0,0.939353,0.528777,0,0.093935,0.939353,0.500000,0.000529,2.868979
A42009,1,0,0,1,0,1,0,1,0,0.895332,0.503996,0,0.089532,0.895332,0.500000,0.000504,1.571681
A42011,1,0,0,1,0,1,0,1,0,0.703598,0.396066,0,0.070359,0.703598,0.500000,0.000396,1.805576
A42013,1,0,0,1,0,1,0,1,0,1.162190,0.654215,0,0.116218,1.162190,0.500000,0.000654,1.433669
A42015,1,0,0,1,0,1,0,1,0,1.006633,0.566649,0,0.100662,1.006633,0.500000,0.000567,2.015414
A42021,1,0,0,1,0,1,0,1,0,1.069502,0.602039,0,0.106949,1.069502,0.500000,0.000602,1.373965
A42023,1,0,0,1,0,1,0,1,0,1.011561,0.569424,0,0.101155,1.011561,0.500000,0.000569,1.574357
A42025,1,0,0,1,0,1,0,1,0,0.666205,0.375017,0,0.066620,0.666205,0.500000,0.000375,2.053923
A42027,1,0,0,1,0,1,0,1,0,1.067211,0.600750,0,0.106720,1.067211,0.500000,0.000601,1.015114
A42029,1,0,0,1,0,1,0,1,0,0.980968,0.552202,0,0.098096,0.980968,0.500000,0.000552,1.524123
A42033,1,0,0,1,0,1,0,1,0,0.376642,0.212017,0,0.037664,0.376642,0.500000,0.000212,1.167410
A42035,1,0,0,1,0,1,0,1,0,0.986744,0.555454,0,0.098674,0.986744,0.500000,0.000555,1.151535
A42037,1,0,0,1,0,1,0,1,0,1.018542,0.573353,0,0.101853,1.018542,0.500000,0.000573,1.363037
A42041,1,0,0,1,0,1,0,1,0,0.863766,0.486227,0,0.086376,0.863766,0.500000,0.000486,1.442666
A42043,1,0,0,1,0,1,0,1,0,0.978423,0.550770,0,0.097842,0.978423,0.500000,0.000551,1.851886
A42047,1,0,0,1,0,1,0,1,0,1.122058,0.631624,0,0.112205,1.122058,0.500000,0.000632,1.517453
A42055,1,0,0,1,0,1,0,1,0,1.226393,0.690356,0,0.122638,1.226393,0.500000,0.000690,1.206251
A42057,1,0,0,1,0,1,0,1,0,0.600006,0.337753,0,0.060000,0.600006,0.500000,0.000338,2.741889
A42061,1,0,0,1,0,1,0,1,0,0.919222,0.517444,0,0.091921,0.919222,0.500000,0.000517,1.820845
A42063,1,0,0,1,0,1,0,1,0,0.626327,0.352569,0,0.062632,0.626327,0.500000,0.000353,1.639985
A42065,1,0,0,1,0,1,0,1,0,0.678203,0.381771,0,0.067820,0.678203,0.500000,0.000382,1.679314
A42067,1,0,0,1,0,1,0,1,0,1.027373,0.578324,0,0.102736,1.027373,0.500000,0.000578,1.769174
A42069,1,0,0,1,0,1,0,1,0,1.378250,0.775839,0,0.137824,1.378250,0.500000,0.000776,1.001871
A42071,1,0,0,1,0,1,0,1,0,0.793984,0.446946,0,0.079398,0.793984,0.500000,0.000447,1.225927
A42075,1,0,0,1,0,1,0,1,0,1.605697,0.903872,0,0.160568,1.605697,0.500000,0.000904,1.063670
A42079,1,0,0,1,0,1,0,1,0,1.183602,0.666268,0,0.118359,1.183602,0.500000,0.000666,1.253861
A42081,1,0,0,1,0,1,0,1,0,1.194720,0.672527,0,0.119471,1.194720,0.500000,0.000673,1.166574
A42083,1,0,0,1,0,1,0,1,0,1.028548,0.578986,0,0.102854,1.028548,0.500000,0.000579,1.619993
A42087,1,0,0,1,0,1,0,1,0,1.037701,0.584138,0,0.103769,1.037701,0.500000,0.000584,1.501945
A42093,1,0,0,1,0,1,0,1,0,0.878121,0.494308,0,0.087811,0.878121,0.500000,0.000494,2.768661
A42097,1,0,0,1,0,1,0,1,0,1.348695,0.759201,0,0.134868,1.348695,0.500000,0.000759,0.997951
A42099,1,0,0,1,0,1,0,1,0,0.733694,0.413008,0,0.073369,0.733694,0.500000,0.000413,1.589984
A42105,1,0,0,1,0,1,0,1,0,0.915639,0.515428,0,0.091563,0.915639,0.500000,0.000515,1.432818
A42107,1,0,0,1,0,1,0,1,0,0.886280,0.498901,0,0.088627,0.886280,0.500000,0.000499,1.245312
A42109,1,0,0,1,0,1,0,1,0,0.200771,0.113017,0,0.020077,0.200771,0.500000,0.000113,1.806147
A42111,1,0,0,1,0,1,0,1,0,0.720806,0.405753,0,0.072080,0.720806,0.500000,0.000406,1.490041
A42113,1,0,0,1,0,1,0,1,0,0.785716,0.442292,0,0.078571,0.785716,0.500000,0.000442,1.256814
A42115,1,0,0,1,0,1,0,1,0,0.936346,0.527084,0,0.093634,0.936346,0.500000,0.000527,1.558251
A42117,1,0,0,1,0,1,0,1,0,0.939766,0.529009,0,0.093976,0.939766,0.500000,0.000529,1.789487
A42119,1,0,0,1,0,1,0,1,0,1.068395,0.601416,0,0.106839,1.068395,0.500000,0.000601,1.342351
A42127,1,0,0,1,0,1,0,1,0,1.105378,0.622235,0,0.110537,1.105378,0.500000,0.000622,1.148185
A42131,1,0,0,1,0,1,0,1,0,1.056067,0.594477,0,0.105606,1.056067,0.500000,0.000594,1.912838
A42133,1,0,0,1,0,1,0,1,0,1.463027,0.823561,0,0.146302,1.463027,0.500000,0.000824,1.558504
A47091,1,0,0,1,0,1,0,1,0,0.731325,0.274449,0,0.073132,0.731325,0.500000,0.000274,0.000508
A47163,1,0,0,1,0,1,0,1,0,0.904657,0.339497,0,0.090466,0.904657,0.500000,0.000339,0.000427
A51001,1,0,0,1,0,1,0,1,0,1.110676,0.625217,0,0.111067,1.110676,0.500000,0.000625,1.847318
A51003,1,0,0,1,0,1,0,1,0,0.557276,0.313699,0,0.055727,0.557276,0.500000,0.000314,1.537426
A51005,1,0,0,1,0,1,0,1,0,0.655475,0.368977,0,0.065547,0.655475,0.500000,0.000369,2.148729
A51007,1,0,0,1,0,1,0,1,0,0.816978,0.459890,0,0.081697,0.816978,0.500000,0.000460,3.014475
A51009,1,0,0,1,0,1,0,1,0,0.518754,0.292015,0,0.051875,0.518754,0.500000,0.000292,1.140275
A51011,1,0,0,1,0,1,0,1,0,0.612191,0.344612,0,0.061219,0.612191,0.500000,0.000345,2.074573
A51013,1,0,0,1,0,1,0,1,0,0.559879,0.315165,0,0.055987,0.559879,0.500000,0.000315,2.476980
A51015,1,0,0,1,0,1,0,1,0,0.460749,0.259363,0,0.046074,0.460749,0.500000,0.000259,1.314511
A51017,1,0,0,1,0,1,0,1,0,0.637190,0.358684,0,0.063718,0.637190,0.500000,0.000359,2.534983
A51019,1,0,0,1,0,1,0,1,0,0.376496,0.211936,0,0.037649,0.376496,0.500000,0.000212,1.751059
A51021,1,0,0,1,0,1,0,1,0,0.372897,0.139939,0,0.037290,0.372897,0.500000,0.000140,0.000669
A51023,1,0,0,1,0,1,0,1,0,0.271140,0.152629,0,0.027114,0.271140,0.500000,0.000153,1.989041
A51025,1,0,0,1,0,1,0,1,0,0.729598,0.273801,0,0.072960,0.729598,0.500000,0.000274,0.001182
A51027,1,0,0,1,0,1,0,1,0,0.539708,0.202540,0,0.053971,0.539708,0.500000,0.000202,0.000698
A51029,1,0,0,1,0,1,0,1,0,0.605788,0.341008,0,0.060578,0.605788,0.500000,0.000341,2.425522
A51031,1,0,0,1,0,1,0,1,0,0.780394,0.439296,0,0.078039,0.780394,0.500000,0.000439,2.104737
A51033,1,0,0,1,0,1,0,1,0,1.392074,0.783620,0,0.139206,1.392074,0.500000,0.000784,1.829819
A51035,1,0,0,1,0,1,0,1,0,0.532980,0.200015,0,0.053298,0.532980,0.500000,0.000200,0.000532
A51036,1,0,0,1,0,1,0,1,0,1.412726,0.795246,0,0.141271,1.412726,0.500000,0.000795,2.004825
A51037,1,0,0,1,0,1,0,1,0,0.830061,0.311503,0,0.083006,0.830061,0.500000,0.000312,0.000906
A51041,1,0,0,1,0,1,0,1,0,1.242568,0.699461,0,0.124256,1.242568,0.500000,0.000699,1.922993
A51043,1,0,0,1,0,1,0,1,0,1.170078,0.658655,0,0.117007,1.170078,0.500000,0.000659,2.129923
A51045,1,0,0,1,0,1,0,1,0,0.619515,0.348735,0,0.061951,0.619515,0.500000,0.000349,1.429173
A51047,1,0,0,1,0,1,0,1,0,0.748844,0.421536,0,0.074884,0.748844,0.500000,0.000422,1.524775
A51049,1,0,0,1,0,1,0,1,0,0.866318,0.487664,0,0.086631,0.866318,0.500000,0.000488,2.435451
A51051,1,0,0,1,0,1,0,1,0,0.527911,0.198113,0,0.052792,0.527911,0.500000,0.000198,0.000957
A51053,1,0,0,1,0,1,0,1,0,0.694651,0.391030,0,0.069464,0.694651,0.500000,0.000391,2.769531
A51057,1,0,0,1,0,1,0,1,0,1.868361,1.051730,0,0.186835,1.868361,0.500000,0.001052,1.326650
A51059,1,0,0,1,0,1,0,1,0,0.751385,0.422966,0,0.075138,0.751385,0.500000,0.000423,2.376878
A51061,1,0,0,1,0,1,0,1,0,0.953305,0.536631,0,0.095330,0.953305,0.500000,0.000537,2.371891
A51063,1,0,0,1,0,1,0,1,0,0.778633,0.292203,0,0.077863,0.778633,0.500000,0.000292,0.000544
A51065,1,0,0,1,0,1,0,1,0,0.955122,0.537653,0,0.095511,0.955122,0.500000,0.000538,2.012687
A51067,1,0,0,1,0,1,0,1,0,0.665174,0.249624,0,0.066517,0.665174,0.500000,0.000250,0.000694
A51069,1,0,0,1,0,1,0,1,0,0.933955,0.525738,0,0.093395,0.933955,0.500000,0.000526,2.291010
A51071,1,0,0,1,0,1,0,1,0,0.911020,0.512828,0,0.091101,0.911020,0.500000,0.000513,1.646548
A51073,1,0,0,1,0,1,0,1,0,1.364028,0.767833,0,0.136402,1.364028,0.500000,0.000768,1.497393
A51075,1,0,0,1,0,1,0,1,0,1.023991,0.576420,0,0.102398,1.023991,0.500000,0.000576,2.308056
A51077,1,0,0,1,0,1,0,1,0,0.624127,0.234220,0,0.062413,0.624127,0.500000,0.000234,0.000481
A51079,1,0,0,1,0,1,0,1,0,0.732906,0.412564,0,0.073290,0.732906,0.500000,0.000413,1.755347
A51081,1,0,0,1,0,1,0,1,0,1.007772,0.378193,0,0.100777,1.007772,0.500000,0.000378,0.001280
A51083,1,0,0,1,0,1,0,1,0,0.767915,0.288181,0,0.076791,0.767915,0.500000,0.000288,0.001097
A51085,1,0,0,1,0,1,0,1,0,0.444850,0.250413,0,0.044485,0.444850,0.500000,0.000250,2.040187
A51087,1,0,0,1,0,1,0,1,0,1.348937,0.759338,0,0.134893,1.348937,0.500000,0.000759,1.971514
A51089,1,0,0,1,0,1,0,1,0,0.679235,0.254901,0,0.067923,0.679235,0.500000,0.000255,0.000770
A51091,1,0,0,1,0,1,0,1,0,0.298694,0.168140,0,0.029869,0.298694,0.500000,0.000168,2.387999
A51093,1,0,0,1,0,1,0,1,0,3.034712,1.708287,0,0.303469,3.034712,0.500000,0.001708,0.822914
A51095,1,0,0,1,0,1,0,1,0,1.227892,0.691200,0,0.122788,1.227892,0.500000,0.000691,1.362868
A51097,1,0,0,1,0,1,0,1,0,0.238619,0.134323,0,0.023861,0.238619,0.500000,0.000134,1.567951
A51099,1,0,0,1,0,1,0,1,0,0.737429,0.415110,0,0.073742,0.737429,0.500000,0.000415,1.413897
A51101,1,0,0,1,0,1,0,1,0,1.275632,0.718073,0,0.127562,1.275632,0.500000,0.000718,1.672758
A51103,1,0,0,1,0,1,0,1,0,1.259272,0.708864,0,0.125926,1.259272,0.500000,0.000709,1.803196
A51105,1,0,0,1,0,1,0,1,0,0.337910,0.126810,0,0.033791,0.337910,0.500000,0.000127,0.000703
