TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A36109,1,0,0,1,0,1,0,1,0,0.000176,0.006794,0,0.000018,0.000176,0.500000,0.679E-05,0.524E-05
A36123,1,0,0,1,0,1,0,1,0,0.000206,0.007899,0,0.000020,0.000206,0.500000,0.790E-05,0.556E-05
A37001,1,0,0,1,0,1,0,1,0,0.000465,0.011909,0,0.000046,0.000465,0.500000,0.000012,0.000010
A37005,1,0,0,1,0,1,0,1,0,0.000402,0.010321,0,0.000040,0.000402,0.500000,0.000010,0.493E-05
A37009,1,0,0,1,0,1,0,1,0,0.000452,0.011601,0,0.000045,0.000452,0.500000,0.000011,0.431E-05
A37033,1,0,0,1,0,1,0,1,0,0.000727,0.018641,0,0.000073,0.000727,0.500000,0.000018,0.000014
A37067,1,0,0,1,0,1,0,1,0,0.000840,0.021525,0,0.000084,0.000840,0.500000,0.000022,0.000011
A37077,1,0,0,1,0,1,0,1,0,0.000428,0.010984,0,0.000043,0.000428,0.500000,0.000011,0.996E-05
A37081,1,0,0,1,0,1,0,1,0,0.000864,0.022159,0,0.000086,0.000864,0.500000,0.000022,0.000011
A37131,1,0,0,1,0,1,0,1,0,0.000584,0.014953,0,0.000058,0.000584,0.500000,0.000015,0.000017
A37135,1,0,0,1,0,1,0,1,0,0.000473,0.012123,0,0.000048,0.000473,0.500000,0.000012,0.000010
A37145,1,0,0,1,0,1,0,1,0,0.000640,0.016397,0,0.000064,0.000640,0.500000,0.000016,0.000013
A37157,1,0,0,1,0,1,0,1,0,0.000778,0.019959,0,0.000078,0.000778,0.500000,0.000020,0.000012
A37169,1,0,0,1,0,1,0,1,0,0.000725,0.018584,0,0.000072,0.000725,0.500000,0.000019,0.898E-05
A37171,1,0,0,1,0,1,0,1,0,0.000449,0.011512,0,0.000045,0.000449,0.500000,0.000011,0.585E-05
A37181,1,0,0,1,0,1,0,1,0,0.000470,0.012069,0,0.000047,0.000470,0.500000,0.000012,0.000011
A37185,1,0,0,1,0,1,0,1,0,0.000509,0.013049,0,0.000051,0.000509,0.500000,0.000013,0.000011
A37189,1,0,0,1,0,1,0,1,0,0.000303,0.007749,0,0.000030,0.000303,0.500000,0.775E-05,0.408E-05
A42001,1,0,0,1,0,1,0,1,0,0.000230,0.008832,0,0.000023,0.000230,0.500000,0.897E-05,0.846E-05
A42009,1,0,0,1,0,1,0,1,0,0.000232,0.008899,0,0.000023,0.000232,0.500000,0.900E-05,0.501E-05
A42011,1,0,0,1,0,1,0,1,0,0.000148,0.005676,0,0.000015,0.000148,0.500000,0.568E-05,0.443E-05
A42013,1,0,0,1,0,1,0,1,0,0.000254,0.009782,0,0.000026,0.000254,0.500000,0.945E-05,0.425E-05
A42015,1,0,0,1,0,1,0,1,0,0.000247,0.009488,0,0.000025,0.000247,0.500000,0.930E-05,0.615E-05
A42021,1,0,0,1,0,1,0,1,0,0.000165,0.006354,0,0.000017,0.000165,0.500000,0.635E-05,0.386E-05
A42023,1,0,0,1,0,1,0,1,0,0.000134,0.005165,0,0.000013,0.000134,0.500000,0.516E-05,0.434E-05
A42025,1,0,0,1,0,1,0,1,0,0.000147,0.005660,0,0.000015,0.000147,0.500000,0.566E-05,0.488E-05
A42027,1,0,0,1,0,1,0,1,0,0.000338,0.012998,0,0.000034,0.000338,0.500000,0.000013,0.359E-05
A42029,1,0,0,1,0,1,0,1,0,0.000246,0.009462,0,0.000024,0.000246,0.500000,0.929E-05,0.462E-05
A42033,1,0,0,1,0,1,0,1,0,0.000198,0.007634,0,0.000020,0.000198,0.500000,0.763E-05,0.338E-05
A42035,1,0,0,1,0,1,0,1,0,0.000184,0.007098,0,0.000018,0.000184,0.500000,0.710E-05,0.342E-05
A42037,1,0,0,1,0,1,0,1,0,0.000173,0.006673,0,0.000017,0.000173,0.500000,0.667E-05,0.359E-05
A42041,1,0,0,1,0,1,0,1,0,0.000252,0.009697,0,0.000026,0.000252,0.500000,0.990E-05,0.452E-05
A42043,1,0,0,1,0,1,0,1,0,0.000258,0.009942,0,0.000026,0.000258,0.500000,0.953E-05,0.654E-05
A42047,1,0,0,1,0,1,0,1,0,0.000136,0.005247,0,0.000014,0.000136,0.500000,0.524E-05,0.420E-05
A42055,1,0,0,1,0,1,0,1,0,0.000363,0.013945,0,0.000036,0.000363,0.500000,0.000014,0.429E-05
A42057,1,0,0,1,0,1,0,1,0,0.000275,0.010594,0,0.000028,0.000275,0.500000,0.000010,0.786E-05
A42061,1,0,0,1,0,1,0,1,0,0.000258,0.009932,0,0.000026,0.000258,0.500000,0.952E-05,0.494E-05
A42063,1,0,0,1,0,1,0,1,0,0.000168,0.006465,0,0.000017,0.000168,0.500000,0.646E-05,0.421E-05
A42065,1,0,0,1,0,1,0,1,0,0.000156,0.006023,0,0.000016,0.000156,0.500000,0.602E-05,0.424E-05
A42067,1,0,0,1,0,1,0,1,0,0.000268,0.010294,0,0.000026,0.000268,0.500000,0.000010,0.558E-05
A42069,1,0,0,1,0,1,0,1,0,0.000256,0.009853,0,0.000026,0.000256,0.500000,0.948E-05,0.344E-05
A42071,1,0,0,1,0,1,0,1,0,0.000375,0.014422,0,0.000037,0.000375,0.500000,0.000014,0.419E-05
A42075,1,0,0,1,0,1,0,1,0,0.000335,0.012872,0,0.000034,0.000335,0.500000,0.000013,0.349E-05
A42079,1,0,0,1,0,1,0,1,0,0.000224,0.008612,0,0.000023,0.000224,0.500000,0.885E-05,0.399E-05
A42081,1,0,0,1,0,1,0,1,0,0.000179,0.006888,0,0.000018,0.000179,0.500000,0.689E-05,0.354E-05
A42083,1,0,0,1,0,1,0,1,0,0.000115,0.004392,0,0.000011,0.000115,0.500000,0.439E-05,0.421E-05
A42087,1,0,0,1,0,1,0,1,0,0.000204,0.007826,0,0.000020,0.000204,0.500000,0.783E-05,0.458E-05
A42093,1,0,0,1,0,1,0,1,0,0.000266,0.010240,0,0.000026,0.000266,0.500000,0.000010,0.755E-05
A42097,1,0,0,1,0,1,0,1,0,0.000300,0.011525,0,0.000030,0.000300,0.500000,0.000011,0.319E-05
A42099,1,0,0,1,0,1,0,1,0,0.000221,0.008526,0,0.000022,0.000221,0.500000,0.832E-05,0.444E-05
A42105,1,0,0,1,0,1,0,1,0,0.000193,0.007442,0,0.000019,0.000193,0.500000,0.744E-05,0.424E-05
