CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,7.78E+06,7.32E+06,8.26E+06,1.76E+05,2.40E+05,,,,,,
1986,7.43E+06,7.03E+06,7.85E+06,1.39E+05,2.09E+05,,,,,,
1987,6.14E+06,5.84E+06,6.45E+06,9.55E+04,1.57E+05,,,,,,
1988,5.14E+06,4.90E+06,5.40E+06,7.13E+04,1.28E+05,,,,,,
1989,8.67E+06,8.28E+06,9.07E+06,1.28E+05,2.02E+05,,,,,,
1990,7.96E+06,7.60E+06,8.32E+06,1.20E+05,1.84E+05,,,,,,
1991,5.24E+06,4.98E+06,5.50E+06,8.20E+04,1.33E+05,,,,,,
1992,3.84E+06,3.66E+06,4.03E+06,6.39E+04,9.57E+04,,,,,,
1993,9.11E+06,8.62E+06,9.63E+06,1.58E+05,2.59E+05,,,,,,
1994,8.22E+06,7.78E+06,8.68E+06,1.41E+05,2.30E+05,,,,,,
1995,5.09E+06,4.84E+06,5.35E+06,8.72E+04,1.30E+05,,,,,,
1996,1.37E+07,1.31E+07,1.44E+07,2.36E+05,3.46E+05,,,,,,
1997,6.63E+06,6.31E+06,6.97E+06,1.02E+05,1.70E+05,,,,,,
1998,8.43E+06,8.03E+06,8.84E+06,1.28E+05,2.08E+05,,,,,,
1999,4.53E+06,4.32E+06,4.75E+06,6.47E+04,1.09E+05,,,,,,
2000,4.53E+06,4.33E+06,4.74E+06,6.39E+04,1.04E+05,,,,,,
2001,3.58E+06,3.41E+06,3.76E+06,5.28E+04,8.94E+04,,,,,,
2002,4.73E+06,4.52E+06,4.95E+06,6.70E+04,1.10E+05,,,,,,
2003,1.37E+07,1.31E+07,1.43E+07,2.39E+05,3.27E+05,,,,,,
2004,1.26E+07,1.19E+07,1.33E+07,2.73E+05,3.60E+05,,,,,,
