CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,9.26E+04,7.69E+04,1.11E+05,7.89E+03,8.62E+03,,,,,,
1986,6.26E+04,5.31E+04,7.34E+04,4.55E+03,5.17E+03,,,,,,
1987,1.02E+05,8.86E+04,1.17E+05,5.98E+03,7.18E+03,,,,,,
1988,6.05E+04,5.34E+04,6.83E+04,2.95E+03,3.80E+03,,,,,,
1989,8.58E+04,7.74E+04,9.49E+04,3.27E+03,4.45E+03,,,,,,
1990,8.26E+04,7.47E+04,9.12E+04,2.75E+03,4.20E+03,,,,,,
1991,3.72E+04,3.33E+04,4.14E+04,1.23E+03,2.07E+03,,,,,,
1992,4.41E+04,4.03E+04,4.83E+04,1.27E+03,2.05E+03,,,,,,
1993,9.02E+04,8.14E+04,9.96E+04,2.85E+03,4.65E+03,,,,,,
1994,8.99E+04,8.04E+04,1.00E+05,3.00E+03,5.01E+03,,,,,,
1995,4.60E+04,4.19E+04,5.04E+04,1.36E+03,2.15E+03,,,,,,
1996,9.74E+04,8.90E+04,1.06E+05,2.98E+03,4.42E+03,,,,,,
1997,6.65E+04,6.06E+04,7.29E+04,1.96E+03,3.12E+03,,,,,,
1998,9.84E+04,8.74E+04,1.10E+05,3.71E+03,5.82E+03,,,,,,
1999,3.38E+04,3.05E+04,3.74E+04,1.02E+03,1.76E+03,,,,,,
2000,4.82E+04,4.37E+04,5.30E+04,1.56E+03,2.38E+03,,,,,,
2001,3.94E+04,3.51E+04,4.41E+04,1.46E+03,2.28E+03,,,,,,
2002,2.38E+04,2.10E+04,2.69E+04,1.06E+03,1.51E+03,,,,,,
2003,1.44E+05,1.27E+05,1.63E+05,7.73E+03,9.22E+03,,,,,,
2004,1.14E+05,9.87E+04,1.30E+05,7.08E+03,7.98E+03,,,,,,
