CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.86E+05,1.60E+05,2.15E+05,1.22E+04,1.41E+04,,,,,,
1986,1.19E+05,1.05E+05,1.34E+05,6.51E+03,7.38E+03,,,,,,
1987,2.18E+05,1.96E+05,2.43E+05,9.72E+03,1.21E+04,,,,,,
1988,1.31E+05,1.19E+05,1.44E+05,4.83E+03,6.48E+03,,,,,,
1989,2.43E+05,2.23E+05,2.63E+05,7.14E+03,1.02E+04,,,,,,
1990,2.31E+05,2.12E+05,2.51E+05,5.76E+03,9.74E+03,,,,,,
1991,1.24E+05,1.14E+05,1.35E+05,2.80E+03,5.25E+03,,,,,,
1992,1.45E+05,1.34E+05,1.56E+05,3.13E+03,5.57E+03,,,,,,
1993,3.08E+05,2.83E+05,3.35E+05,7.40E+03,1.32E+04,,,,,,
1994,3.31E+05,3.03E+05,3.60E+05,8.17E+03,1.47E+04,,,,,,
1995,2.05E+05,1.89E+05,2.22E+05,4.59E+03,8.36E+03,,,,,,
1996,3.96E+05,3.67E+05,4.26E+05,9.67E+03,1.52E+04,,,,,,
1997,2.31E+05,2.15E+05,2.49E+05,5.29E+03,8.69E+03,,,,,,
1998,3.66E+05,3.32E+05,4.03E+05,1.11E+04,1.82E+04,,,,,,
1999,1.26E+05,1.16E+05,1.37E+05,2.73E+03,5.32E+03,,,,,,
2000,1.62E+05,1.50E+05,1.75E+05,3.97E+03,6.36E+03,,,,,,
2001,1.32E+05,1.20E+05,1.45E+05,3.60E+03,6.42E+03,,,,,,
2002,7.80E+04,7.09E+04,8.56E+04,2.54E+03,3.76E+03,,,,,,
2003,4.81E+05,4.35E+05,5.32E+05,2.00E+04,2.47E+04,,,,,,
2004,2.95E+05,2.65E+05,3.29E+05,1.41E+04,1.63E+04,,,,,,
