CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,3.36E+05,3.08E+05,3.65E+05,1.33E+04,1.47E+04,,,,,,
1986,1.95E+05,1.81E+05,2.10E+05,6.55E+03,7.41E+03,,,,,,
1987,3.76E+05,3.52E+05,4.00E+05,1.02E+04,1.23E+04,,,,,,
1988,2.07E+05,1.95E+05,2.19E+05,4.63E+03,5.93E+03,,,,,,
1989,3.55E+05,3.39E+05,3.72E+05,6.25E+03,8.42E+03,,,,,,
1990,3.34E+05,3.18E+05,3.50E+05,5.13E+03,8.03E+03,,,,,,
1991,1.30E+05,1.24E+05,1.37E+05,1.93E+03,3.31E+03,,,,,,
1992,1.74E+05,1.66E+05,1.81E+05,2.22E+03,3.67E+03,,,,,,
1993,3.88E+05,3.71E+05,4.06E+05,5.66E+03,9.13E+03,,,,,,
1994,4.01E+05,3.81E+05,4.22E+05,6.34E+03,1.06E+04,,,,,,
1995,1.83E+05,1.76E+05,1.91E+05,2.47E+03,3.89E+03,,,,,,
1996,4.54E+05,4.36E+05,4.74E+05,6.71E+03,9.65E+03,,,,,,
1997,2.65E+05,2.55E+05,2.76E+05,3.56E+03,5.53E+03,,,,,,
1998,4.30E+05,4.07E+05,4.54E+05,7.61E+03,1.18E+04,,,,,,
1999,1.28E+05,1.22E+05,1.34E+05,1.66E+03,3.19E+03,,,,,,
2000,1.77E+05,1.69E+05,1.84E+05,2.61E+03,3.92E+03,,,,,,
2001,1.36E+05,1.29E+05,1.43E+05,2.30E+03,3.62E+03,,,,,,
2002,7.80E+04,7.36E+04,8.27E+04,1.60E+03,2.33E+03,,,,,,
2003,6.08E+05,5.73E+05,6.45E+05,1.55E+04,1.83E+04,,,,,,
2004,4.35E+05,4.07E+05,4.64E+05,1.28E+04,1.44E+04,,,,,,
