CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1987,1.72E+09,1.17E+09,2.45E+09,1.56E+08,3.28E+08,,,,,,
1988,1.28E+09,8.42E+08,1.88E+09,9.38E+07,2.66E+08,,,,,,
1989,3.48E+09,2.54E+09,4.67E+09,2.34E+08,5.45E+08,,,,,,
1990,3.12E+09,2.42E+09,3.97E+09,1.85E+08,3.97E+08,,,,,,
1991,1.23E+09,9.00E+08,1.63E+09,6.57E+07,1.87E+08,,,,,,
1992,1.37E+09,1.10E+09,1.68E+09,6.95E+07,1.49E+08,,,,,,
1993,7.53E+09,5.06E+09,1.08E+10,6.33E+08,1.47E+09,,,,,,
1994,5.54E+09,3.96E+09,7.55E+09,3.81E+08,9.19E+08,,,,,,
1995,1.01E+09,7.46E+08,1.35E+09,5.69E+07,1.54E+08,,,,,,
1996,7.43E+09,5.05E+09,1.05E+10,6.00E+08,1.41E+09,,,,,,
1997,9.21E+08,7.34E+08,1.14E+09,5.25E+07,1.03E+08,,,,,,
1998,3.06E+09,2.23E+09,4.10E+09,1.78E+08,4.77E+08,,,,,,
1999,1.00E+09,7.11E+08,1.37E+09,5.18E+07,1.69E+08,,,,,,
2000,1.77E+09,1.37E+09,2.25E+09,9.28E+07,2.26E+08,,,,,,
2001,8.62E+08,6.42E+08,1.13E+09,4.73E+07,1.26E+08,,,,,,
2002,1.55E+09,1.16E+09,2.03E+09,8.63E+07,2.23E+08,,,,,,
2003,4.53E+09,3.54E+09,5.72E+09,3.06E+08,5.58E+08,,,,,,
2004,7.20E+09,3.60E+09,1.29E+10,8.90E+08,2.41E+09,,,,,,
