CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,2.52E+09,3.33E+08,9.29E+09,1.83E+09,2.59E+09,,,,,,
1986,1.17E+08,3.60E+07,2.87E+08,3.58E+07,6.66E+07,,,,,,
1987,1.71E+08,5.74E+07,4.00E+08,5.08E+07,9.03E+07,,,,,,
1988,1.53E+08,6.03E+07,3.22E+08,4.01E+07,6.85E+07,,,,,,
1989,1.26E+08,7.66E+07,1.96E+08,2.04E+07,3.07E+07,,,,,,
1990,6.80E+07,3.98E+07,1.09E+08,9.73E+06,1.77E+07,,,,,,
1991,8.03E+07,3.76E+07,1.51E+08,1.57E+07,2.94E+07,,,,,,
1992,3.84E+07,2.63E+07,5.42E+07,4.33E+06,7.14E+06,,,,,,
1993,3.45E+08,1.22E+08,7.78E+08,1.13E+08,1.72E+08,,,,,,
1994,2.58E+08,1.35E+08,4.49E+08,6.24E+07,8.10E+07,,,,,,
1995,4.87E+07,2.68E+07,8.17E+07,6.88E+06,1.42E+07,,,,,,
1996,1.45E+09,3.09E+08,4.34E+09,7.75E+08,1.10E+09,,,,,,
1997,6.23E+07,3.74E+07,9.78E+07,8.99E+06,1.55E+07,,,,,,
1998,2.05E+08,1.10E+08,3.51E+08,4.56E+07,6.23E+07,,,,,,
1999,2.43E+07,1.53E+07,3.66E+07,2.80E+06,5.46E+06,,,,,,
2000,3.41E+07,1.94E+07,5.56E+07,4.21E+06,9.30E+06,,,,,,
2001,4.09E+07,2.71E+07,5.93E+07,5.03E+06,8.26E+06,,,,,,
2002,7.26E+07,4.24E+07,1.16E+08,1.14E+07,1.90E+07,,,,,,
2003,4.83E+08,2.32E+08,8.96E+08,1.31E+08,1.72E+08,,,,,,
2004,1.49E+08,8.04E+07,2.54E+08,3.18E+07,4.48E+07,,,,,,
