CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,4.16E+06,2.34E+06,6.86E+06,4.91E+05,1.16E+06,,,,,,
1986,7.42E+05,6.06E+05,8.98E+05,5.50E+04,7.46E+04,,,,,,
1987,2.76E+06,2.00E+06,3.71E+06,2.03E+05,4.37E+05,,,,,,
1988,4.98E+05,4.34E+05,5.69E+05,2.55E+04,3.46E+04,,,,,,
1989,1.82E+06,1.53E+06,2.16E+06,7.56E+04,1.61E+05,,,,,,
1990,1.31E+06,1.12E+06,1.52E+06,4.52E+04,1.01E+05,,,,,,
1991,1.01E+06,8.60E+05,1.19E+06,3.40E+04,8.35E+04,,,,,,
1992,1.06E+06,8.33E+05,1.32E+06,3.65E+04,1.26E+05,,,,,,
1993,1.43E+06,1.17E+06,1.73E+06,5.80E+04,1.45E+05,,,,,,
1994,1.16E+06,9.70E+05,1.39E+06,4.50E+04,1.07E+05,,,,,,
1995,9.76E+05,7.78E+05,1.21E+06,3.77E+04,1.10E+05,,,,,,
1996,2.07E+06,1.54E+06,2.72E+06,1.10E+05,3.02E+05,,,,,,
1997,5.60E+05,4.93E+05,6.34E+05,2.06E+04,3.62E+04,,,,,,
1998,1.55E+06,1.28E+06,1.86E+06,7.10E+04,1.48E+05,,,,,,
1999,4.41E+05,3.55E+05,5.41E+05,1.54E+04,4.75E+04,,,,,,
2000,3.89E+05,3.44E+05,4.39E+05,1.45E+04,2.44E+04,,,,,,
2001,2.95E+05,2.52E+05,3.44E+05,1.24E+04,2.35E+04,,,,,,
2002,2.99E+05,2.56E+05,3.47E+05,1.48E+04,2.31E+04,,,,,,
2003,2.00E+06,1.63E+06,2.41E+06,1.32E+05,1.98E+05,,,,,,
2004,8.63E+05,6.96E+05,1.06E+06,6.63E+04,9.25E+04,,,,,,
