CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,9.13E+05,5.93E+05,1.35E+06,7.07E+04,1.93E+05,,,,,,
1986,1.69E+06,1.16E+06,2.36E+06,1.01E+05,3.06E+05,,,,,,
1987,1.77E+06,1.30E+06,2.35E+06,9.14E+04,2.69E+05,,,,,,
1988,8.16E+05,6.32E+05,1.04E+06,3.45E+04,1.03E+05,,,,,,
1989,4.47E+06,3.49E+06,5.65E+06,2.28E+05,5.52E+05,,,,,,
1990,1.65E+06,1.17E+06,2.26E+06,7.83E+04,2.78E+05,,,,,,
1991,1.17E+06,9.08E+05,1.48E+06,5.72E+04,1.46E+05,,,,,,
1992,7.23E+05,5.91E+05,8.77E+05,4.05E+04,7.30E+04,,,,,,
1993,1.97E+06,1.37E+06,2.75E+06,1.27E+05,3.52E+05,,,,,,
1994,5.52E+06,3.37E+06,8.57E+06,4.95E+05,1.34E+06,,,,,,
1995,8.71E+05,6.58E+05,1.13E+06,5.38E+04,1.21E+05,,,,,,
1996,6.42E+06,4.38E+06,9.09E+06,4.88E+05,1.21E+06,,,,,,
1997,1.71E+06,1.32E+06,2.18E+06,1.00E+05,2.19E+05,,,,,,
1998,3.07E+06,2.12E+06,4.30E+06,2.28E+05,5.59E+05,,,,,,
1999,3.67E+06,1.31E+06,8.28E+06,4.95E+05,1.83E+06,,,,,,
2000,2.18E+06,1.52E+06,3.02E+06,1.39E+05,3.84E+05,,,,,,
2001,3.06E+06,1.61E+06,5.30E+06,3.01E+05,9.52E+05,,,,,,
2002,1.10E+06,7.64E+05,1.54E+06,9.84E+04,1.99E+05,,,,,,
2003,5.28E+06,3.96E+06,6.90E+06,5.27E+05,7.52E+05,,,,,,
2004,1.39E+06,8.44E+05,2.16E+06,1.59E+05,3.37E+05,,,,,,
