CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,2.84E+05,2.06E+05,3.81E+05,3.97E+04,4.47E+04,,,,,,
1986,9.97E+04,8.83E+04,1.12E+05,5.60E+03,6.12E+03,,,,,,
1987,2.44E+05,2.04E+05,2.91E+05,1.97E+04,2.23E+04,,,,,,
1988,1.21E+05,1.10E+05,1.32E+05,4.69E+03,5.57E+03,,,,,,
1989,2.48E+05,2.15E+05,2.84E+05,1.51E+04,1.76E+04,,,,,,
1990,2.57E+05,2.20E+05,2.98E+05,1.69E+04,1.99E+04,,,,,,
1991,1.52E+05,1.39E+05,1.65E+05,5.55E+03,6.85E+03,,,,,,
1992,2.70E+05,2.33E+05,3.10E+05,1.72E+04,1.96E+04,,,,,,
1993,2.86E+05,2.42E+05,3.36E+05,2.13E+04,2.39E+04,,,,,,
1994,2.01E+05,1.81E+05,2.22E+05,9.07E+03,1.05E+04,,,,,,
1995,3.03E+05,2.16E+05,4.14E+05,4.46E+04,5.07E+04,,,,,,
1996,4.04E+05,3.23E+05,5.00E+05,4.05E+04,4.50E+04,,,,,,
1997,1.60E+05,1.46E+05,1.75E+05,5.84E+03,7.33E+03,,,,,,
1998,3.23E+05,2.65E+05,3.91E+05,2.96E+04,3.21E+04,,,,,,
1999,1.46E+05,1.21E+05,1.75E+05,9.99E+03,1.40E+04,,,,,,
2000,8.83E+04,8.17E+04,9.53E+04,2.94E+03,3.46E+03,,,,,,
2001,8.63E+04,7.82E+04,9.50E+04,3.38E+03,4.30E+03,,,,,,
2002,6.31E+04,5.66E+04,7.02E+04,3.03E+03,3.46E+03,,,,,,
2003,4.02E+05,3.34E+05,4.79E+05,3.40E+04,3.72E+04,,,,,,
2004,2.26E+05,1.93E+05,2.63E+05,1.65E+04,1.80E+04,,,,,,
