CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,4.64E+03,3.66E+03,5.81E+03,3.08E+02,5.47E+02,,,,,,
1986,6.01E+03,4.91E+03,7.27E+03,3.30E+02,6.03E+02,,,,,,
1987,6.58E+03,5.54E+03,7.76E+03,3.06E+02,5.66E+02,,,,,,
1988,4.30E+03,3.76E+03,4.90E+03,1.57E+02,2.90E+02,,,,,,
1989,2.03E+04,1.77E+04,2.31E+04,8.09E+02,1.39E+03,,,,,,
1990,8.11E+03,6.77E+03,9.63E+03,2.82E+02,7.32E+02,,,,,,
1991,6.22E+03,5.38E+03,7.16E+03,2.18E+02,4.54E+02,,,,,,
1992,4.73E+03,4.18E+03,5.34E+03,1.85E+02,2.96E+02,,,,,,
1993,8.22E+03,6.82E+03,9.82E+03,3.66E+02,7.67E+02,,,,,,
1994,1.85E+04,1.47E+04,2.30E+04,9.67E+02,2.12E+03,,,,,,
1995,5.25E+03,4.54E+03,6.04E+03,2.25E+02,3.81E+02,,,,,,
1996,2.83E+04,2.36E+04,3.37E+04,1.35E+03,2.59E+03,,,,,,
1997,1.04E+04,8.85E+03,1.20E+04,4.25E+02,8.14E+02,,,,,,
1998,1.33E+04,1.09E+04,1.60E+04,6.59E+02,1.30E+03,,,,,,
1999,1.61E+04,9.47E+03,2.58E+04,1.27E+03,4.19E+03,,,,,,
2000,1.48E+04,1.25E+04,1.74E+04,6.34E+02,1.25E+03,,,,,,
2001,1.85E+04,1.31E+04,2.53E+04,1.16E+03,3.10E+03,,,,,,
2002,9.01E+03,7.38E+03,1.09E+04,5.45E+02,9.00E+02,,,,,,
2003,4.17E+04,3.49E+04,4.96E+04,2.97E+03,3.76E+03,,,,,,
2004,1.20E+04,9.27E+03,1.52E+04,9.67E+02,1.51E+03,,,,,,
