CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,4.71E+08,6.56E+07,1.70E+09,3.91E+08,4.69E+08,,,,,,
1986,3.84E+07,1.80E+07,7.21E+07,9.20E+06,1.40E+07,,,,,,
1987,4.42E+08,1.20E+08,1.16E+09,2.43E+08,2.79E+08,,,,,,
1988,1.55E+07,1.12E+07,2.10E+07,1.58E+06,2.50E+06,,,,,,
1989,2.27E+08,1.21E+08,3.91E+08,5.75E+07,6.96E+07,,,,,,
1990,1.18E+08,7.31E+07,1.82E+08,2.03E+07,2.80E+07,,,,,,
1991,1.25E+08,7.25E+07,2.00E+08,2.51E+07,3.29E+07,,,,,,
1992,2.64E+08,6.88E+07,7.12E+08,1.27E+08,1.73E+08,,,,,,
1993,2.29E+08,1.09E+08,4.25E+08,6.56E+07,8.18E+07,,,,,,
1994,1.68E+08,1.01E+08,2.63E+08,3.27E+07,4.16E+07,,,,,,
1995,2.42E+08,9.03E+07,5.31E+08,8.88E+07,1.15E+08,,,,,,
1996,3.84E+08,1.49E+08,8.16E+08,1.37E+08,1.74E+08,,,,,,
1997,5.80E+07,3.92E+07,8.26E+07,7.02E+06,1.11E+07,,,,,,
1998,2.83E+08,1.34E+08,5.27E+08,8.50E+07,1.02E+08,,,,,,
1999,2.51E+07,1.69E+07,3.60E+07,2.60E+06,4.90E+06,,,,,,
2000,3.21E+07,2.21E+07,4.52E+07,3.60E+06,5.92E+06,,,,,,
2001,3.30E+07,2.00E+07,5.13E+07,5.10E+06,8.02E+06,,,,,,
2002,2.73E+07,1.81E+07,3.96E+07,4.14E+06,5.51E+06,,,,,,
2003,3.25E+08,1.47E+08,6.26E+08,1.10E+08,1.24E+08,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
