CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,6.27E+04,5.04E+04,7.71E+04,5.41E+03,6.82E+03,,,,,,
1986,2.73E+04,2.31E+04,3.21E+04,1.92E+03,2.30E+03,,,,,,
1987,7.21E+04,6.12E+04,8.44E+04,4.37E+03,5.93E+03,,,,,,
1988,2.70E+04,2.39E+04,3.05E+04,1.26E+03,1.68E+03,,,,,,
1989,6.72E+04,6.00E+04,7.50E+04,2.54E+03,3.81E+03,,,,,,
1990,5.26E+04,4.71E+04,5.84E+04,1.65E+03,2.88E+03,,,,,,
1991,3.79E+04,3.34E+04,4.28E+04,1.03E+03,2.39E+03,,,,,,
1992,3.64E+04,3.26E+04,4.06E+04,8.91E+02,2.03E+03,,,,,,
1993,1.17E+05,1.04E+05,1.30E+05,3.63E+03,6.59E+03,,,,,,
1994,8.68E+04,7.66E+04,9.80E+04,2.69E+03,5.46E+03,,,,,,
1995,5.20E+04,4.74E+04,5.70E+04,1.41E+03,2.46E+03,,,,,,
1996,1.14E+05,1.02E+05,1.27E+05,3.79E+03,6.44E+03,,,,,,
1997,4.90E+04,4.43E+04,5.41E+04,1.31E+03,2.49E+03,,,,,,
1998,1.25E+05,1.10E+05,1.41E+05,4.51E+03,7.95E+03,,,,,,
1999,3.94E+04,3.41E+04,4.53E+04,1.14E+03,2.85E+03,,,,,,
2000,4.00E+04,3.57E+04,4.47E+04,1.10E+03,2.30E+03,,,,,,
2001,3.47E+04,2.97E+04,4.03E+04,1.15E+03,2.70E+03,,,,,,
2002,2.62E+04,2.27E+04,3.00E+04,1.12E+03,1.85E+03,,,,,,
2003,1.99E+05,1.72E+05,2.29E+05,1.11E+04,1.46E+04,,,,,,
2004,8.68E+04,7.36E+04,1.02E+05,5.45E+03,7.15E+03,,,,,,
