CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,8.96E+06,7.14E+06,1.11E+07,5.63E+05,1.01E+06,,,,,,
1986,2.70E+06,2.40E+06,3.04E+06,1.25E+05,1.63E+05,,,,,,
1987,8.60E+06,7.44E+06,9.89E+06,3.56E+05,6.25E+05,,,,,,
1988,2.05E+06,1.88E+06,2.22E+06,6.47E+04,8.84E+04,,,,,,
1989,7.68E+06,7.02E+06,8.38E+06,1.92E+05,3.49E+05,,,,,,
1990,5.98E+06,5.53E+06,6.47E+06,1.25E+05,2.40E+05,,,,,,
1991,4.67E+06,4.29E+06,5.09E+06,9.46E+04,2.04E+05,,,,,,
1992,4.87E+06,4.39E+06,5.39E+06,9.58E+04,2.55E+05,,,,,,
1993,6.57E+06,5.95E+06,7.23E+06,1.53E+05,3.27E+05,,,,,,
1994,5.76E+06,5.24E+06,6.31E+06,1.31E+05,2.72E+05,,,,,,
1995,4.87E+06,4.36E+06,5.42E+06,1.10E+05,2.69E+05,,,,,,
1996,9.05E+06,8.03E+06,1.02E+07,2.38E+05,5.44E+05,,,,,,
1997,3.33E+06,3.09E+06,3.59E+06,7.56E+04,1.27E+05,,,,,,
1998,7.90E+06,7.17E+06,8.70E+06,2.09E+05,3.90E+05,,,,,,
1999,2.49E+06,2.24E+06,2.77E+06,5.28E+04,1.35E+05,,,,,,
2000,2.42E+06,2.25E+06,2.61E+06,5.56E+04,9.26E+04,,,,,,
2001,1.76E+06,1.59E+06,1.94E+06,4.58E+04,8.78E+04,,,,,,
2002,1.78E+06,1.62E+06,1.96E+06,5.49E+04,8.64E+04,,,,,,
2003,1.14E+07,1.02E+07,1.26E+07,4.54E+05,5.99E+05,,,,,,
2004,5.37E+06,4.77E+06,6.01E+06,2.50E+05,3.15E+05,,,,,,
