CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,3.52E+06,3.32E+06,3.72E+06,6.59E+04,1.01E+05,,,,,,
1986,5.37E+06,5.13E+06,5.62E+06,7.86E+04,1.26E+05,,,,,,
1987,4.66E+06,4.46E+06,4.87E+06,5.57E+04,1.07E+05,,,,,,
1988,4.92E+06,4.71E+06,5.13E+06,4.76E+04,1.07E+05,,,,,,
1989,5.76E+06,5.53E+06,6.00E+06,4.93E+04,1.19E+05,,,,,,
1990,4.79E+06,4.61E+06,4.97E+06,4.31E+04,9.11E+04,,,,,,
1991,3.38E+06,3.25E+06,3.52E+06,3.56E+04,6.72E+04,,,,,,
1992,3.03E+06,2.91E+06,3.16E+06,3.42E+04,6.25E+04,,,,,,
1993,6.19E+06,5.91E+06,6.47E+06,5.74E+04,1.43E+05,,,,,,
1994,6.23E+06,5.96E+06,6.50E+06,6.05E+04,1.38E+05,,,,,,
1995,3.83E+06,3.68E+06,3.99E+06,4.21E+04,8.04E+04,,,,,,
1996,7.77E+06,7.45E+06,8.10E+06,7.62E+04,1.67E+05,,,,,,
1997,3.45E+06,3.31E+06,3.59E+06,3.85E+04,7.15E+04,,,,,,
1998,4.63E+06,4.45E+06,4.82E+06,4.72E+04,9.57E+04,,,,,,
1999,3.67E+06,3.49E+06,3.85E+06,3.69E+04,9.35E+04,,,,,,
2000,4.13E+06,3.94E+06,4.34E+06,4.17E+04,1.02E+05,,,,,,
2001,2.57E+06,2.46E+06,2.68E+06,3.25E+04,5.53E+04,,,,,,
2002,2.71E+06,2.58E+06,2.85E+06,3.69E+04,6.69E+04,,,,,,
2003,7.46E+06,7.13E+06,7.79E+06,1.13E+05,1.69E+05,,,,,,
2004,6.84E+06,6.50E+06,7.19E+06,1.24E+05,1.76E+05,,,,,,
