CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.70E+07,1.88E+06,6.71E+07,9.16E+06,1.94E+07,,,,,,
1986,7.40E+06,1.03E+06,2.67E+07,3.11E+06,7.38E+06,,,,,,
1987,1.35E+07,2.84E+06,4.06E+07,5.53E+06,1.03E+07,,,,,,
1988,3.95E+06,1.11E+06,1.02E+07,1.13E+06,2.43E+06,,,,,,
1989,1.52E+08,8.18E+06,7.51E+08,1.22E+08,2.54E+08,,,,,,
1990,1.39E+07,2.66E+06,4.37E+07,5.54E+06,1.13E+07,,,,,,
1991,6.65E+06,7.88E+05,2.56E+07,2.75E+06,7.28E+06,,,,,,
1992,7.23E+06,1.55E+06,2.15E+07,2.48E+06,5.45E+06,,,,,,
1993,2.64E+08,1.37E+07,1.31E+09,2.22E+08,4.48E+08,,,,,,
1994,7.51E+06,2.31E+06,1.85E+07,2.47E+06,4.28E+06,,,,,,
1995,7.69E+06,1.77E+06,2.21E+07,2.71E+06,5.51E+06,,,,,,
1996,8.02E+07,9.26E+06,3.11E+08,4.94E+07,8.90E+07,,,,,,
1997,4.84E+06,1.46E+06,1.20E+07,1.47E+06,2.81E+06,,,,,,
1998,1.26E+07,2.96E+06,3.59E+07,5.30E+06,8.91E+06,,,,,,
1999,6.84E+07,3.79E+06,3.34E+08,4.84E+07,1.12E+08,,,,,,
2000,4.03E+06,9.76E+05,1.13E+07,1.29E+06,2.78E+06,,,,,,
2001,5.43E+06,9.43E+05,1.78E+07,2.12E+06,4.72E+06,,,,,,
2002,2.14E+06,7.22E+05,4.99E+06,6.00E+05,1.12E+06,,,,,,
2003,1.05E+08,1.29E+07,3.96E+08,7.00E+07,1.12E+08,,,,,,
2004,1.64E+07,2.67E+06,5.54E+07,8.65E+06,1.48E+07,,,,,,
